{'短评内容': '不错，环境不错很好', '短评打分': 5}
{'短评内容': '一般吧，切实老了，电视没几个台', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '一般般吧，离宽窄巷子还是比较远的，走路还要15分钟左右，早餐不错，早餐厅的那个阿姨很好，如果要求不是特别高的，可以住', '短评打分': 4}
{'短评内容': '环境干净，空调暖和，网络快，热水暖且出水量大，赠送了早餐，交通比较方便。隔壁有银行自助机。步行到宽窄巷子要15分钟左右。如果还有机会去成都还会选择这里，很满意。', '短评打分': 5}
{'短评内容': '酒店比较干净，离宽窄巷子近！', '短评打分': 5}
{'短评内容': '那天是临时太困没办法开车了就在附近搜到这家酒店，总体来说不错，周围环境安静适合夜间休息，房间也很干净。', '短评打分': 5}
{'短评内容': '环境好，服务好，前台女孩很有亲和力，早餐也不错，值得推荐', '短评打分': 5}
{'短评内容': '服务好，态度好，周边方便，值得推荐！', '短评打分': 5}
{'短评内容': '服务员服务很不错，性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '给朋友代订，朋友不太满意，具体原因没说。', '短评打分': 5}
{'短评内容': '挺好的酒店，距离玩儿的地方也很近', '短评打分': 5}
{'短评内容': '有味道，服务不行，而且房间设施很陈旧！', '短评打分': 3}
{'短评内容': '还可以 比汉庭稍好', '短评打分': 5}
{'短评内容': '酒店设施齐全，干净卫生，地理位置非常好，不足是设施有些陈旧。', '短评打分': 4}
{'短评内容': '还不错，过两天还会入住的，早餐也很满意', '短评打分': 3}
{'短评内容': '位置比较好 离南北巷很近 是市区内 交通也很方便 总体不错', '短评打分': 4}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '酒店整体感觉一般，房间干净明亮，也挺大，卫生间太小，有些转不过身，酒店位置还可以，交通购物较方便，服务不是太好，前台只有一个服务员，房间还没有酒店服务介绍，也没有电话指南。', '短评打分': 3}
{'短评内容': '恩，房间很不错，干净，敞亮，离宽窄巷子也挺近的，值得推荐。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '节假日入住，环境不错，主要是交通非常方便，服务不错，下次还是选择这啊酒店', '短评打分': 5}
{'短评内容': '不错,就是大厅小了点', '短评打分': 3}
{'短评内容': '恩，房间很不错，干净，敞亮，离宽窄巷子也挺近的，值得推荐。', '短评打分': 5}
{'短评内容': '＋很好，非常舒适！', '短评打分': 3}
{'短评内容': '该酒店环境优雅，设施完善。但是服务质量一般，尤其是停车问题，酒店宣传有配套停车场。我们昨晚入住被拦在停车场入口处，说是酒店的专用停车位已经满了，只能停在物业车位，2小时6元，超过2小时，每小时2元。酒店不负责付费。但是后来我们下到车库发现有至少5个酒店专用车位空着，在跟他们交涉下，最终让我们停在那里。我感觉酒店这是很严重的问题，停车位是酒店应该配套的服务，和物业协调停车也是酒店该做的事，不该让顾客', '短评打分': 1}
{'短评内容': '环境很好，很干净，装修风格很棒，下回来首选', '短评打分': 3}
{'短评内容': '房间装修得很漂亮，空间布局合理。前台服务态度好。所在地安静而且交通方便，下次还会住的。', '短评打分': 5}
{'短评内容': '环境不错,设施也比较的新....\n那个浴室玻璃...\n半天没接受...', '短评打分': 5}
{'短评内容': 'good but small', '短评打分': 3}
{'短评内容': '作为连锁酒店有点象公寓式的，看到的套间给人的感觉像是从住宅项目改成酒店的样子，房屋布置和家具摆放都有点像住户，但看到单间就又有点像酒店的紧凑了。但不知道是否新装修的原因酒店里有点怪怪的味道。而且房间里是没有酒店指南的，所有东西都靠自己摸索使用及电话询问。早餐实在不能恭维\n\n地理位置还不错，去哪都方便。\n', '短评打分': 5}
{'短评内容': '房间有股维生素的味道，很不适应！早上8点去吃早餐（早餐结束时间为9点半），果盘空了，让服务员加点，得到的答复竟然是就这一盘，没了就没了。NND，真是林子大了什么鸟都有！', '短评打分': 1}
{'短评内容': '房间不错，值得一住。地理位置也还可以，附近可以去往市中心天府广场、春熙路步行街，交通便利。二楼有餐厅，可以就餐，不过饭菜品种较单一，要求不高的话可以将就。', '短评打分': 5}
{'短评内容': '环境不错，房间整洁舒适，冲凉挺舒服，交通方便。二楼中餐厅的川菜很正宗，价格实惠。', '短评打分': 5}
{'短评内容': '还算可以吧。我宁愿住连锁店。因为是远方的朋友来访，不好意思给他们住连锁店。', '短评打分': 1}
{'短评内容': '性价比不错，地理位置也挺好，下次还会住。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '入住了N次了  没啥说的了  一个字好  性价比很高的一个酒店  唯一不足  就是早餐', '短评打分': 5}
{'短评内容': '无论那方面都很好 值得推荐  很温馨  交通各方面都好', '短评打分': 5}
{'短评内容': '    不太喜欢酒店的设计风格，虽是欧式风格但设计的有点老气，不过综合来讲还是挺不错的。 ', '短评打分': 1}
{'短评内容': '性价比高  第N次入住  交通方便   干净卫生', '短评打分': 5}
{'短评内容': '总体还不错,只是结帐时前台根本不合你说刷卡的事，等你问到时才告诉你现金结完了不能用信用卡了，希望酒店能干山这方面的服务，刷一次卡又不会让酒店损失什么！！！', '短评打分': 5}
{'短评内容': '酒店不是位于市中心，但周边交通还可以，服务卫生做得也还可以，还是可以推荐的。', '短评打分': 5}
{'短评内容': '服务挺周到的，房间打扫也比较干净，设施也还行，整体感觉性价比还不错。', '短评打分': 5}
{'短评内容': '酒店看起来还比较新，卫生很好，打扫的挺干净，服务也还行。', '短评打分': 5}
{'短评内容': '环境还不错，挺干净的，服务态度也挺热情，价格也比较合适，很适合出差人士入住。', '短评打分': 5}
{'短评内容': '服务挺不错，态度挺客气的，办事也挺周到，这点很满意。', '短评打分': 5}
{'短评内容': '连住了6天.房间设施都挺好的.网线接触不良,不过这次用电脑的时间很少.', '短评打分': 3}
{'短评内容': '房间很新,设施也很好.老公非常喜欢.就是早餐的内容稍微少了点.希望多增加些菜式尤其是西式早餐.', '短评打分': 5}
{'短评内容': '酒店各方面都挺好，性价比挺高，值得推荐', '短评打分': 5}
{'短评内容': '不错  主要是比较新  性价比可以  下次还住那', '短评打分': 5}
{'短评内容': '位置还行 ，价格还好吧，态度不错，房间看起来也还行，不过感觉还是挺一般的酒店。', '短评打分': 1}
