{'短评内容': '环境很好，除了空间窄了一点！能接受', '短评打分': 5}
{'短评内容': '以前的大明堂、装修没有变动过晚上入住前台服务员睡了叫醒了很不耐烦房间设施很多都不能用', '短评打分': 3}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '设备给五星，服务给五星，卫生我给零星，为什么呢？因为我与老婆入住发现床垫被罩上全是黑色的类似体垢的东西，并且在床单上发现了体毛，我与老婆没有脱衣服。谁的？我的？神的？鬼的？', '短评打分': 4}
{'短评内容': '有特色的酒店，适合情侣', '短评打分': 5}
{'短评内容': '价格实惠，送货快，东西好！', '短评打分': 5}
{'短评内容': '价格实惠，送货快，东西好！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，酒店干净..', '短评打分': 5}
{'短评内容': '比较有特色房间，蛮不错的 ', '短评打分': 5}
{'短评内容': '住进去才发现是情趣旅馆，坑！前台临时加价，后来找了携程客服才同意按原价入住的。坑！', '短评打分': 4}
{'短评内容': '感觉适合年轻小情侣住的酒店，心理有阴影，总感觉不干净，晚上有蚊子，性价比不高，不过还是有点特色', '短评打分': 3}
{'短评内容': '还不错马上赞赞赞可以的', '短评打分': 3}
{'短评内容': '很有特色，全水床不习惯。地段好，略贵。', '短评打分': 3}
{'短评内容': '还可以吧！就是太吵了，周围都是修房子', '短评打分': 5}
{'短评内容': '以前一直住的，所以这次在京东上定了', '短评打分': 5}
{'短评内容': '还不错，交通方便，五爱市场也在旁边，出酒店门口向右走100米有一家湖南菜馆味道还不错。', '短评打分': 5}
{'短评内容': '酒店的服务人员实在太好了，酒店的自助早餐更是实惠，贴心，南北风味都应有尽有。就是房间有点小了。', '短评打分': 5}
{'短评内容': '房间超小，电视只有一个频道还都是雪花点，根本看不了，卫生间还漏水，最难过的是窗户漏风冻的一晚上没睡好，一点都不如家，是全国住过的最差如家！都不知道怎么能叫商务房的？唯一一点符合的就是床大！', '短评打分': 3}
{'短评内容': '临大批发市场，感觉乱', '短评打分': 3}
{'短评内容': ' 酒店好方便去五爱  也干净不错', '短评打分': 3}
{'短评内容': '距离五爱市场很近 交通方便 虽然特惠房无窗 但性价比高 适合商务出差', '短评打分': 5}
{'短评内容': '距离五爱市场非常近，非常方便。附近快餐店非常多。装修时间应该不是很长，客房内部，非常干净，而且院内可以停车。赞！', '短评打分': 5}
{'短评内容': '\u3000空调声音实在是很吵', '短评打分': 3}
{'短评内容': '房间有点小，卫生一般，没有别家如家干净。离五爱市场特别近。', '短评打分': 5}
{'短评内容': '对于去五爱市场的人来说地理位置绝佳，酒店服务态度和质量也很好。但是房间太小了，', '短评打分': 5}
{'短评内容': '包括位置等综合各方面还不错,也是如家一贯的', '短评打分': 5}
{'短评内容': '半夜里外面楼道里很烦，隔音不行，卫生设备一般，毛巾浴巾发黄', '短评打分': 1}
{'短评内容': '整洁,正规,温馨', '短评打分': 3}
{'短评内容': '感觉很好，也挺温馨，干净,洗澡地方在大点，卫生间有点滑，别的还可以。                                                                                                                                                                      ', '短评打分': 5}
{'短评内容': '风格特别，很不错，情侣去最好不过了，交通便利，就是洗澡的时候只有帘子隔着，感觉有些尴尬，空间也小~~', '短评打分': 5}
{'短评内容': '还可以  就是房间蛮小  设备挺先进的····', '短评打分': 5}
{'短评内容': '条件和服务都不错，房间小了点儿，摆上两张床走道很窄。', '短评打分': 5}
{'短评内容': '很舒服，比较合理，下次还会去。很舒服，比较合理，下次还会去\n', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '很好 总体感觉还是不错 可以来体会下 。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '适合情侣短时间居住，房间空间过小，住在里面觉得有些闷', '短评打分': 1}
{'短评内容': '房间是小了点儿,但是地理位置还不错,整洁干净.', '短评打分': 5}
{'短评内容': '地理位置很不错,房间整洁干净.总之是如家一贯的风格.', '短评打分': 5}
{'短评内容': '服务态度好，环境一般！', '短评打分': 3}
{'短评内容': '酒店地理位置较好，离五爱市场很近。卫生还好！', '短评打分': 5}
{'短评内容': '不错，挺干净！', '短评打分': 3}
{'短评内容': '如家快捷酒店沈阳五爱市场店，交通便利，很干净。', '短评打分': 3}
{'短评内容': '较好', '短评打分': 3}
{'短评内容': '位置比较方便，便于乘车。\r\n房间内部空间不是很大，但是，设施还不错。', '短评打分': 5}
{'短评内容': '酒店条件还好，离五爱市场近，房间隔音不是很好。', '短评打分': 3}
{'短评内容': '服务很好酒店员工都很客气。态度热情专业。', '短评打分': 5}
{'短评内容': '房间干净舒适，配置很新，环境很好的一家如家。', '短评打分': 5}
{'短评内容': '房间过于狭小，空调可控性差，隔音效果不好', '短评打分': 5}
{'短评内容': '挺舒适的，位置挺好', '短评打分': 5}
{'短评内容': '这家酒店的管理很好，服务人员个个都很热情。情绪会被带动的。住的很开心。', '短评打分': 5}
{'短评内容': '预订要用信用卡担保，冻结的部分取消预售时没有信息返馈。', '短评打分': 5}
{'短评内容': '出行购物很方便，距离沈阳繁华的五爱街很近，房间很干净，入住很舒适。', '短评打分': 5}
{'短评内容': '房间太小了，床和桌子都快挨上了。外面打车比较难，很乱。', '短评打分': 3}
{'短评内容': '房间太小，床和桌子基本紧挨着。\r\n交通很不方便，打车很难。', '短评打分': 1}
{'短评内容': '房间很干净，床有些硬，浴室内没有拖鞋有些不方便，电视遥控器的接收器位置不方便。', '短评打分': 5}
