{'短评内容': '一般般！！！', '短评打分': 4}
{'短评内容': '离市中心比较近，很方便，设施也很齐全', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '住过几次了，不错，很好很给力，666。。。', '短评打分': 5}
{'短评内容': '不错，还是蛮新的，离市中心近，方便。', '短评打分': 5}
{'短评内容': '环境可以，房间也挺大。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '装修阶段，显得比较乱', '短评打分': 3}
{'短评内容': '正在装修，比较烂，图片就算了，年代比较久了，楼道和房间设施都显得比较陈旧，不知道装修后会怎么样，还会去看看的', '短评打分': 3}
{'短评内容': '烂死了 房间漏水。成水帘洞。把我相机都淋坏了', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '房间太小了', '短评打分': 2}
{'短评内容': '垃圾', '短评打分': 2}
{'短评内容': '还行吧，我对此表示还可以吧', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，交通方便，临近商贸区，出行方便！', '短评打分': 5}
{'短评内容': '房间小，窗子小，紧贴着后面的居民房，窗子几乎不能开', '短评打分': 1}
{'短评内容': '酒店的房间有臭味，网速很慢，还出现有人有路由器，其余全部房间上不了网的现象', '短评打分': 1}
{'短评内容': '交通便利，设施较为齐全，服务态度很好。值得推荐。', '短评打分': 5}
{'短评内容': '干净整洁，服务热情。交通方便。下次还回来住。', '短评打分': 5}
{'短评内容': '交通便利，设施较为齐全，服务态度很好。值得推荐。', '短评打分': 5}
{'短评内容': '环境不错，处市中心，交通方便，且房间布置很温馨。服务态度很热情！', '短评打分': 5}
{'短评内容': ' 为什么没有电吹风呢，其他的还不错', '短评打分': 3}
{'短评内容': '就是隔音效果有点差。。。楼道的声音大。。。大家可以参考一下', '短评打分': 5}
{'短评内容': '房间不错,性价比很高!!', '短评打分': 3}
{'短评内容': '新开的酒店，管理比较乱。态度都很好，但还不懂得怎么去服务客人，需尽快提供管理水平和服务水平。', '短评打分': 1}
{'短评内容': '作为一个快捷酒店，各方面的条件还是很不错的。', '短评打分': 5}
{'短评内容': '新开的酒店，没有经验，管理比较乱。', '短评打分': 3}
{'短评内容': '这次住的还蛮好的，特别酒店对面有好吃的早餐！', '短评打分': 5}
{'短评内容': '上次第一天住的房卡坏了，要叫人开门。第二天就换了，可能不是双休日，麻将声音也听不太见，这次我又来了。。。。。。。', '短评打分': 5}
{'短评内容': '上个月住过3天，设施还不错，就是每层楼有麻将房，有客人时晚上吵得很，这与酒店无关，那是素质问题，今天要求换间相对安静之房，看看晚上的效果吧-------', '短评打分': 5}
{'短评内容': '还可以，比较满意', '短评打分': 3}
{'短评内容': '价格可以，位置还不错，环境优雅，干净卫生，下次还去住', '短评打分': 5}
{'短评内容': '很干净，不错。电视很好，床也很干净，我觉得很赞，价格也公道，嘿嘿', '短评打分': 5}
{'短评内容': '整体感觉还不错，隔音效果不好。。。细节方面有待提高！！！', '短评打分': 5}
{'短评内容': '性价比还是很高的，就是半夜打麻将声音太吵太吵。', '短评打分': 5}
{'短评内容': '房间很不错..很值得推荐', '短评打分': 3}
{'短评内容': '房间很不错，唯一一个缺陷就是应该在门口附近安个穿衣镜。。价格很值噢。', '短评打分': 5}
{'短评内容': '不错，一个很安静，舒适，的地方，服务台工作人员态度很好，值得推荐', '短评打分': 3}
{'短评内容': '酒店房间明亮，唯独我住的房间通风窗坏了，无法关紧！', '短评打分': 5}
{'短评内容': '消毒水味很重，通风后好点，服务还可以，隔音效果还可以', '短评打分': 5}
{'短评内容': '酒店很清爽，非常不错，就是搞个麻将桌子讨厌，', '短评打分': 5}
