{'短评内容': '不错，推荐', '短评打分': 5}
{'短评内容': '感觉特别好，房间住着很舒服。老板人很好很热情。还有一只聪明的狗狗。', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '一直想来丽江，这次终于得以成行，在路上想着我将要住的地方会是什么样子，会不会让我失望？来到预定好的康乃馨客栈，我发现我之前的担心都是多余的，老板热情帮我拿行李，房间性价比超高，这次入住很满意！', '短评打分': 5}
{'短评内容': '在这个价位能在丽江古城住到这样的房间还是觉得很划算的，虽然现在丽江游人不多，算是淡季吧，可是客栈的服务可没打折扣，赞一个！', '短评打分': 5}
{'短评内容': '这样的价格能在古城住到如此漂亮又舒服的房间我觉得特实惠，第一次来丽江，先不说风景如何，住的地方反正没让我失望。', '短评打分': 5}
{'短评内容': '住这家客栈晚上可以去看看古城夜景再悠闲地走回去睡觉，房间院子各方面都很好，另外一点，冬天在院子里晒太阳很舒服！', '短评打分': 5}
{'短评内容': '客栈真是货真价实，房间住着舒适又漂亮，还能欣赏古城夜景，美极了。', '短评打分': 5}
{'短评内容': '房间还是很大的，设备也齐全，这价位在这里相当的划算', '短评打分': 3}
{'短评内容': '房间温馨，价格实惠很好的一次入住', '短评打分': 3}
{'短评内容': '老板是个年轻小伙，态度非常热情', '短评打分': 3}
{'短评内容': '客栈很干净环境也好，会经常来的', '短评打分': 3}
{'短评内容': '很好房间很大很干净。', '短评打分': 3}
{'短评内容': '环境不太好，服务态度欠佳，地理位置比较偏僻，歧视广东人，广东的旅客慎重考虑！！！', '短评打分': 3}
{'短评内容': '很高兴住到这家客栈，虽然不算古城里最豪华的客栈，但是很干净，期间特意去了其他客栈做对比，客栈老板是黑龙江的，在北京工作多年，后来到丽江定居，很年轻的帅哥！帮了我们很多忙，主要是省了很多无关的费用，人超好！强力推荐下', '短评打分': 5}
{'短评内容': '位置比较好找，出入都比较方便，房间还干净。', '短评打分': 5}
{'短评内容': '客栈很棒，位置很好，游玩很方便，服务很周到，价格也不错，下次还会光顾。', '短评打分': 5}
{'短评内容': '环境挺幽静的，老板人很好，照顾的很好，房间简单大方，卫生很好，整体感觉挺不错。', '短评打分': 5}
{'短评内容': '住在这整个人都很放松，环境非常，早餐也挺丰盛，价格也挺合理的。', '短评打分': 5}
{'短评内容': '服务上很周到，小院设施的很漂亮，房间打扫挺干净，住的挺舒适。', '短评打分': 5}
{'短评内容': '位置很好，游玩很方便，服务很热情很周到，感觉很不错。', '短评打分': 5}
{'短评内容': '老板很热情，服务很贴心，小院设计的挺漂亮，卫生也不错，住的还是挺舒适。', '短评打分': 5}
{'短评内容': '房间挺简洁，卫生很好，床铺很干净很舒适。早餐也很好。', '短评打分': 3}
