{'短评内容': '如果能够把硬件升级一下就不错了，价格与硬件差距太大，100多还差不多，早餐真心觉得可以，跟吃午餐一样丰盛！', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很干净舒适 ', '短评打分': 5}
{'短评内容': '位置不错，有停车位。', '短评打分': 5}
{'短评内容': '还行还行还行还行还行还行还行还行还行还还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行行还行', '短评打分': 5}
{'短评内容': '布局很好', '短评打分': 5}
{'短评内容': '住宿条件可以，房间也干净！早餐也非常好，服务态度很好，出行非常方便、快捷，总之很值得推荐，下次有机会还会入住该酒店！', '短评打分': 4}
{'短评内容': '很好，房间很干净，交通也很便利，已经多次入住了，是家很不错的酒店，早餐也挺丰富的，总体满意!每次到哈尔滨都住这家宾馆！', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '就那样吧，一般', '短评打分': 1}
{'短评内容': '交通方便，性价比不是特别好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不错，值得推荐！', '短评打分': 5}
{'短评内容': 'Wi-Fi不好用，空调不好用。其他还不错！', '短评打分': 3}
{'短评内容': '还不错，性价比较好，房间干净。', '短评打分': 3}
{'短评内容': '很不错，价格公道', '短评打分': 5}
