{'短评内容': '小地方最好的酒店，如果还去，依旧不二的选择吧', '短评打分': 5}
{'短评内容': '干净整洁，位置方便', '短评打分': 5}
{'短评内容': '还是不错的。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '经常住的，总得很好，这次发现空调很差～维修了好点了！早餐不错！', '短评打分': 4}
{'短评内容': '性价比高，环境可以', '短评打分': 5}
{'短评内容': '非常喜欢，服务好周到，以后定点了', '短评打分': 5}
{'短评内容': '酒店早餐种类多，有泳池，很干净。', '短评打分': 5}
{'短评内容': '酒店位置很好，步行到金鹰十分钟不到，酒店附近环境也很好，停车方便。服务员亲切热情，酒店设施都不错。住的大床房夜景一流，游泳池也很棒，自助早饭很丰盛。', '短评打分': 5}
{'短评内容': '盐城数得上的酒店了，标价很高，用京东定确实划算，房间大小 卫生 服务都没啥问题，早饭很丰盛，办事很方便', '短评打分': 5}
{'短评内容': '订了两次了，这次酒店房间没确认成功', '短评打分': 5}
{'短评内容': '很不错的酒店，房间很干净，视野也很好，地理位置也不错。', '短评打分': 5}
{'短评内容': '酒店很好，价格适中，经常出差就住这家酒店', '短评打分': 5}
{'短评内容': '这个酒店感觉还是很不错的，自助餐也非常丰富，价格也不贵。性价比很高。我们过年从上海到山东来回都住在这里。', '短评打分': 5}
{'短评内容': '常客', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '房间还不错', '短评打分': 4}
{'短评内容': '喜欢金陵的，一如既往的好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店已经有点陈旧了，很难再达到五星水平，勉强四星级吧，除了位置不值得推荐', '短评打分': 5}
{'短评内容': '酒店不错…………', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'Excellent Hotel with very friendly staff. Very clean . Overall a very good Hotel in this Area', '短评打分': 4}
{'短评内容': '不错，在盐城也能住上星级酒店的感觉了。不过早晨也太中式了，有待改进。', '短评打分': 5}
{'短评内容': '淋浴房门缝不严，洗个澡卫生间地上都湿了，似乎不该是星级酒店该出现的情况！', '短评打分': 4}
{'短评内容': '我喜欢的酒店，房间卫生，大堂干净明亮。', '短评打分': 5}
{'短评内容': '就是交通不方便，自助餐建议试试。酒店设施较新', '短评打分': 5}
{'短评内容': '第一感觉，停车场很大，到底是在盐城新区，有的是地方。第二感觉，就是房间内设施也很不错，原本想改一单人大床间，没有了只能是标间，进房后两张床都很大，还提供换枕头的服务，跟其他金陵酒店一样。第三就是服务很好，昨晚入住后，我因临时有事晚上9点不到退了房，正逢酒店中央空调故障，酒店全额退了房费。如是其他酒店，不要说我这样没有投诉空调不制冷的，就算投诉，也不会全额退房费。最后一个感觉就是酒店游泳池袖珍了点儿', '短评打分': 5}
