{'短评内容': '非常好也方便', '短评打分': 5}
{'短评内容': '都还好，除了wifi', '短评打分': 5}
{'短评内容': '酒店设施比较旧，不过床铺还算干净的。住这里交通相当方便，人民公园地铁站过马路就到，楼下有家人民食堂、走出路口右转几步路还有一家张阿婆龙须面，吃也很方便。离宽窄巷子很近，步行10分钟以内即到。', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '很不错啊  位置很好  价格合理  很干净  但是蚊子有点多 &hellip;&hellip; 蓝瘦', '短评打分': 5}
{'短评内容': '酒店服务员张远辉热情，认真，服务态度好，主动征求顾客需要，尽力做到让顾客满意。前台服务员王小姐态度也非常热情。正因为该酒店让人感到宾至如归，使顾感到家的温暖，所以我们在该店住了4天后，又付费预订了12天。感谢安逸158人民公园店！            顾客李，刘二人', '短评打分': 5}
{'短评内容': '地段不错，卫生一般，不过性价比还算可以', '短评打分': 5}
{'短评内容': '123456789', '短评打分': 5}
{'短评内容': '想不到京东现在这么强? 旅行用京东，轻松', '短评打分': 5}
{'短评内容': '设施很久，位置离开宽窄巷子很近', '短评打分': 2}
{'短评内容': '位置不错，离地铁很近。在周围酒店中性价比很高。住了几次安逸158，比较满意', '短评打分': 4}
{'短评内容': '位置优越 设施齐全 服务周到', '短评打分': 5}
{'短评内容': '很满足的一次体验，位置很好，就在人民公园对面，而且性价比特别高，比周边的酒店的价格都便宜，房间卫生很干净。虽然酒店位于道路旁边，但晚上睡觉一点都不吵！很赞，下次来成都也会选择这家酒店！', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '还不错马马虎虎一般般还可以', '短评打分': 5}
{'短评内容': '酒店离人民公园地铁站很近，就在路对面，出行方便，店里很安静。', '短评打分': 5}
{'短评内容': '酒店离人民公园地铁站很近，就在路对面，出行方便，店里很安静。', '短评打分': 5}
{'短评内容': '酒店离人民公园地铁站很近，就在路对面，出行方便，店里很安静。', '短评打分': 5}
{'短评内容': '还可以吧，房价在那才这么多，要求不了太多', '短评打分': 4}
{'短评内容': '酒店位置非常好, 对面就是人民公园, 楼下吃饭也很方便。', '短评打分': 5}
{'短评内容': '非常不满意，一股昧，地毯脏，服务差。打车巨不方便。', '短评打分': 1}
{'短评内容': '适合自助游住宿，离宽窄巷子很近，在市中心，去哪都比较方便。典型的经济型酒店风格。', '短评打分': 5}
{'短评内容': '地理位置很方便，离宽窄巷子很近。步行10分钟就到了。反正属于一般类型的经济型酒店。', '短评打分': 5}
{'短评内容': '位置啊这些都很方便，也符合经济型酒店的定位。就是门口塞进来的小广告太多，一夜之间有5-6张。当然，他也提示客人不要去理会。', '短评打分': 5}
{'短评内容': ':用了消费卷为什么还是198元;住了两次,7楼和8褛,喷水头都挂不稳,要掉下来,维修简单费用低,为什么不修?', '短评打分': 3}
{'短评内容': '房间干净，在市中心，交通方便，周边安静。', '短评打分': 5}
{'短评内容': '性价比不高，房间设施陈旧，洗澡水不好，早餐也一般，位置也不好，在小巷内', '短评打分': 1}
{'短评内容': ' 环境很好，很安静，服务员态度很好', '短评打分': 3}
{'短评内容': '房间灯光太暗，网络不稳定，床单下面的垫子太薄，睡得冷死。', '短评打分': 1}
{'短评内容': '地处黄金地段，到宽窄巷子、人民公园都很近。酒店干净卫生，前台客服服务也很好。雨天还提供雨伞。 楼下有一家羊肉汤，价格不是很实惠。出了酒店王往前走20m左右有一家银树水饺，提供手工大水饺和蔬菜色拉，推荐。\n\n不足之处：有时外面有点吵', '短评打分': 5}
{'短评内容': '酒店位置很好,卫生也不错,就是靠马路这边的房间有点吵...', '短评打分': 5}
{'短评内容': '还不错，交通、吃饭、都很方便 。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错,挺干净的', '短评打分': 3}
{'短评内容': '地理位置很好。有免费停车场，唯一不足之外就是房间里的卫生间是全玻璃的。深夜开卫生间的灯，会影响到其它人的休息。', '短评打分': 5}
{'短评内容': '大床房还行吧，该有的都有但总感觉缺了点啥…设施较陈旧。', '短评打分': 3}
{'短评内容': '安逸呀！', '短评打分': 3}
{'短评内容': '干净整洁，交通方便。', '短评打分': 3}
