{'短评内容': '很好环境好', '短评打分': 5}
{'短评内容': '不错的房间和环境，房间很宽敞，热水24小时供应， 最重要的是这个价位能有这种房型，性价比实在是太高了。', '短评打分': 5}
{'短评内容': '挺好的，一直都住这里', '短评打分': 4}
{'短评内容': '环境一般！', '短评打分': 3}
{'短评内容': '酒店很不错，前台服务也不错', '短评打分': 5}
{'短评内容': '房间不错，整体感觉很很舒服，干净卫生，在携程网上订有优惠，性价比很高，不足的地方是卫生间比较差，不够干净', '短评打分': 4}
{'短评内容': '房间有足够大。设备还好。周边吃的挺多。比较方便。', '短评打分': 4}
{'短评内容': '很好，干净，在这边环境很好，旁边住的吃的很方便，很好的，不错，下次该来的，哈哈哈啊哈，一定要来哦', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '订房间之前不让看房间，就说差别在于房间大小，住进去后觉得有点后悔，卫生间环境太差了，房间墙面刷漆的，有很多黑印子，不干净', '短评打分': 4}
{'短评内容': '卫生间环境差，地板有些地方快烂掉了，黑黑的', '短评打分': 4}
{'短评内容': '很好，有个沙发', '短评打分': 5}
{'短评内容': '交通方便 离火车站2站远', '短评打分': 4}
{'短评内容': '价格不贵，还带电脑。不过床单和被子太差，不怎么干净。感觉这价格住这房间也能接受。', '短评打分': 3}
{'短评内容': '位置不错，还卫生的性价比还可以', '短评打分': 3}
{'短评内容': '环境不错，交通便利', '短评打分': 5}
