{'短评内容': '了啊我好像是别人的', '短评打分': 5}
{'短评内容': '条件差又贵', '短评打分': 1}
{'短评内容': '嗯我在这个宾馆住了有五天，各种环境卫生开非常不错啊，服务员态度也很好，希望下次有机会还去', '短评打分': 5}
{'短评内容': '还行吧，这个价格有点勉强', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '真的很坑，卫生差，床有味道，地方太小，无线网差', '短评打分': 1}
{'短评内容': '卫生很差', '短评打分': 2}
{'短评内容': '内部有不少需要改进的地方  比如部分插座的外壳缺少  有一个床的床单有烟洞   不过通风隔音之类的是挺不错   在朋友的学校附近  算是比较好的了  总体很满意  环境也很顺心了  好评了  就是说好的双早没有送  可能是需要去前台要吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '抱歉，忙了忘记了，服务很好，也蛮清静的，赞一个', '短评打分': 5}
{'短评内容': '一般吧 浴室门坏的', '短评打分': 5}
{'短评内容': '价格实惠，周边生活方便，服务还可以，但浴巾太破了。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '展会期间住的，价格算实在的了。设施老旧，床单被套有破洞。服务态度挺好！', '短评打分': 3}
