{'短评内容': '酒店不错，停车方便，下次还来住，提前在携程网订的房间，携程订单160，到店里最低180，携程旅行网靠谱', '短评打分': 5}
{'短评内容': '房间设施有些陈旧', '短评打分': 2}
{'短评内容': '服务差，不能做预售权。', '短评打分': 3}
{'短评内容': '整体感觉还好，就是设施有点陈旧了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '卫生太差，房间破旧，携程价格远远高于酒店实际价格，并且酒店隐瞒真实价格，携程180，酒店140，无法再次信任！', '短评打分': 1}
{'短评内容': '三星级？设施偏旧，停车还方便，服务态度欠佳。', '短评打分': 4}
{'短评内容': '还可以，装修陈旧了。', '短评打分': 4}
{'短评内容': '需要更新', '短评打分': 2}
{'短评内容': '态度好，酒店是老酒店了，性价比一般', '短评打分': 5}
{'短评内容': '还不错。位置很好，在额河奇石城旁边。', '短评打分': 3}
{'短评内容': '还可以吧，希望可以加早餐。网络改改。', '短评打分': 3}
{'短评内容': '网速基本跟没有一样，害我被罚200元。其他的还可以吧', '短评打分': 3}
{'短评内容': '交通方便、位置佳、吃住行很方便、推荐！', '短评打分': 3}
{'短评内容': '网络凑合，设施还可以', '短评打分': 4}
