{'descr': '很棒，位置好，服务和卫生都很棒', 'star': 5}
{'descr': '酒店位置很好，服务态度不错，中式装修，很赞', 'star': 5}
{'descr': '位置不错挺好', 'star': 5}
{'descr': '交通方便，', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '酒店不错！房间挺好的！', 'star': 5}
{'descr': '1', 'star': 5}
{'descr': '周边小吃挺多的。距离什刹海地铁站也不算远', 'star': 5}
{'descr': '位置不错 房间也不错 唯一缺点是电视看不成普通电视 乐视tv太坑爹了。别的都不错，下次可以考虑再来。', 'star': 5}
{'descr': '环境超级好、房间干净，服务也到位、可以的', 'star': 5}
{'descr': '很好啊，适合打牌，位置很优越，靠近南锣鼓巷，全是吃的，还有玩的，住的很舒服，服务人员很到位，很亲切。', 'star': 5}
{'descr': '房间布局很不错', 'star': 5}
{'descr': '服务周到，环境很好，周边很多吃的，很棒', 'star': 5}
{'descr': '服务很好，设施很好，古香古色', 'star': 5}
{'descr': '酒店服务周到，位置也非常便利，去南锣鼓巷和后海都在步行距离内。装修非常的中国风，老外住客好像还挺多的。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '好好', 'star': 5}
{'descr': '环境还可以，房间有点小，隔音稍差！新房子，有异味！', 'star': 5}
{'descr': '房间小但还算干净 设施一般但出差住几天还好了 靠近北海 酒吧胡同恭亲王府都值得看看', 'star': 4}
{'descr': '酒店位于南锣鼓巷附近，交通十分便利，服务非常好，基本上是有问必答，有求必应，房间设施比较新，比较干净，唯一的缺点就是没有窗户，有地暖的房间里', 'star': 4}
{'descr': '小！很小！电视经常收不到！ 离南锣鼓巷很近，外面吃东西非常方便。交通也挺方便。', 'star': 4}
{'descr': '离南锣鼓巷很近，但感觉交通还是不太方便。周围也不适合观光。房间还行，挺干净，还有无线可以用。', 'star': 3}
{'descr': '房间味道很大，好像是刚装修好，还算干净，但是一层很吵基本没办法休息，位置还算不错，周边也算方便，但是房间很小，以后不会考虑再来', 'star': 3}
{'descr': '没有洗漱用品，环境很差，性价比不高。唯一的好处就是无线网络很好。', 'star': 3}
{'descr': '宾馆的前厅挺有特色，到那当晚看到有很多老外在玩台球，聊天，上网。还有两台免费使用的电脑。可是房间可不太好，非常小，而且有点潮。卫生间的洗脸池的堵按上后就卡住了，后来前台的用螺丝刀撬开的。网站好像说能刷卡，但前台不能刷卡。218元性价比不高。', 'star': 1}
{'descr': '感觉挺不错的，就选择了这家酒店！在胡同里，离北海、什刹海都挺近的！去酒吧挺方便的！', 'star': 5}
{'descr': '卫生真的很差,我们住了5天,从来就没有给我们打扫过房子.服务不好,卫生间很臭.很脏,比我在贫困地区农村的旅馆还要脏.住的附近很热闹,就是不好打出租车.', 'star': 1}
{'descr': '＋还行，就是有点小。交通挺方便', 'star': 3}
{'descr': '地点在胡同里面，真的不干净很不干净，不过空调温度还行。卫生间根本让人不想洗澡。。。总之不推荐，', 'star': 1}
{'descr': '客房条件还好，因为位置方便出行，而且室内环境也不错住着感觉挺舒服的.', 'star': 5}
{'descr': '硬件设施差了些，主要还是卫生间条件差了些，不过价格便宜.位置好在鼓楼附近出行极为方便.', 'star': 3}
{'descr': '卫生间空间很小.显得挺狭小的.位置很好挺方便出行的.其它各方面一般化.', 'star': 3}
{'descr': '客房的硬件设施比较陈旧，而且客房没有暖气，有点冷.位置比较不错交通出行方便.', 'star': 5}
{'descr': '在离后海和北海旅游景点近的地方，挺好的，性价比不错。', 'star': 5}
{'descr': '房间小，家具布局乱，房门设计的不好，卫生还可以，没有浴巾。', 'star': 3}
