{'短评内容': '还可以吧吧便宜', '短评打分': 4}
{'短评内容': '真的很差劲', '短评打分': 1}
{'短评内容': '不隔音，隔壁一直唱歌，吵死了！', '短评打分': 2}
{'短评内容': '特价房是地下室，蟑螂满地跑。洗浴用品也特脏，都没敢在那里洗澡。虽然便宜，但条件太差。空调应该是被动过手脚，只吹一会就没热气了。半夜很冷。我以为是我们屋的空调坏了，早上一说别的房间里的人也说空调有问题。', '短评打分': 1}
{'短评内容': '性价比高，交通方便。性价比高，交通方便。性价比高，交通方便。性价比高，交通方便。性价比高，交通方便。', '短评打分': 5}
{'短评内容': '挺潮的', '短评打分': 4}
{'短评内容': '隔音差，房间潮，有老鼠。', '短评打分': 3}
{'短评内容': '住的地下108 房间潮湿就不说了，无法忍受的是竟然房间里有老鼠，把我们的馒头都咬了。唉，以后不会在来了', '短评打分': 3}
{'短评内容': '非常不满意，地下室潮湿墙上发霉异味，携程订单不让取消退掉，将就一晚就算了关键还没有热水大冷天，垃圾', '短评打分': 1}
{'短评内容': '这是个骗子酒店！！！用担保金来要挟顾客！本来订的特价房108元，没想到竟然是没有卫生间的只容得下一张床的潮湿的地下室。我没有同意住。老板却说我们是携程网上交了担保108元的，还不能退了。这逼得我只好选择好一点的房间，这样需要再额外交80元。而在那个所谓好一点的房间里，那简直也是惨不忍睹：室内所有东西破旧不堪，床就是弹簧床，感觉床单被罩都是脏的，枕头太恶心了，卫生间的门关不了，洗澡间的水只是一点点热', '短评打分': 1}
{'短评内容': '感觉非常不卫生', '短评打分': 2}
{'短评内容': '首先声明一点:携程服务很好，出现问题及时给予解决！在这里给客户手动点赞！但是至于酒店，一定要吐槽！晚上入住的，一开始订的没看到是在地下室，结果到了被告知房间没有卫生间！没有卫生间！逗我玩吗。然后给携程去电，协调后主动交了差额，然后...还是安排了地下室！没办法只能入住，结果进了房间就傻了……超级潮湿，即使是北方的秋天这么干燥，地下室还是很潮湿！被子像发霉的，枕头能拧出水，体验糟透了，一晚上穿着衣服', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一分钱一分货，有很重的味道；床是踏的。花洒全部是锈的。污渍很多', '短评打分': 3}
{'短评内容': '订的有窗户的大床房，结果是没窗户的标准间！没办法就加20块钱升级了房间，升级的房间很大，挺不错的，就是门是坏的。就是价钱还可以吧', '短评打分': 3}
