{'短评内容': '刚好好好好好好好', '短评打分': 5}
{'短评内容': '还行吧，不过一般\\，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，？？？？？？？', '短评打分': 4}
{'短评内容': '位置可以，环境还可以...', '短评打分': 4}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '一进屋就好暖和，暖气特别好，冬天根本不需要开空调，这点很满意。安全性也很好，进门都好检查包包等物品。', '短评打分': 5}
{'短评内容': '网稍微慢了点，吹风机在走廊，其它的都挺不错的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比还是不错的 离陶然亭地铁很近', '短评打分': 5}
{'短评内容': '还可以吧 常住这个旅馆 性价比高', '短评打分': 5}
{'短评内容': '反正环境不怎么样   前几天房价应该是跟着大流上涨了好多   大部分房间没有窗户   订的时候建议看清楚咯', '短评打分': 5}
{'短评内容': '！！！！！！！不错', '短评打分': 5}
{'短评内容': '还不错，一直住这里，值得推荐', '短评打分': 5}
{'短评内容': '房间性价比很高 就是无线网络不给力房间手机信号也比较差', '短评打分': 5}
{'短评内容': '一直住这里，感觉还可以', '短评打分': 5}
{'短评内容': '推荐入住，这个价位里边很超值了，走到地铁五分钟', '短评打分': 5}
{'短评内容': '地理位置很方便，来北京常驻这里，感觉性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '价格十分给力，这个价位的酒店就算是非常好了，离地铁站很近。', '短评打分': 5}
{'短评内容': '服务太差了', '短评打分': 1}
{'短评内容': '酒店房间特别小，不过位置方便，酒店房间隔音不是很好，手机信号差，Wi-Fi信号也不好，周边吃饭很方便，离地铁近！', '短评打分': 5}
{'短评内容': '房间挺小的，房间没有桌子可以放行李，内房没有窗户比较闷，整体还是可以的', '短评打分': 4}
{'短评内容': '适合住宿。物美价廉，咯破7亿绣十字绣早睡早起周末外婆胚胎移植所以我儿子在？。。。你可以微信群与我呜呜呜呜木樨园木工左无奈中我容易媒婆痣', '短评打分': 5}
{'短评内容': '太可怕了……房间特别潮，我是过敏体质，在屋里呆了半小时浑身起疹子，可能对霉菌灰尘之类的过敏', '短评打分': 3}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '在北京这样的酒店性价比太高了', '短评打分': 4}
{'短评内容': '很适合出差居住。但有些房间略有厕所味，隔音不好，其余的都很不错。', '短评打分': 5}
{'短评内容': '环境不错 价格便宜 去了几次了 值得推荐', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好可以', '短评打分': 4}
