{'短评内容': '不错，下次还会再来光顾的！！！', '短评打分': 5}
{'短评内容': 'wifi信号有待加强，信号时断时续。房间稍微小了一点，不过卫生还可以。离机场近，交通方便，这是最大的优势', '短评打分': 4}
{'短评内容': '没停车场，房间小得只能容下一张床，性价比太低，谁住谁后悔。', '短评打分': 2}
{'短评内容': '位置离机场稍微有点远，门口出租车都是黑车', '短评打分': 5}
{'短评内容': '环境好  离机场近', '短评打分': 5}
{'短评内容': '为了第二天起早去机场，还不错吧，也不贵。早上5点多门口就有很多出租车在等着了，晚上周围也有不少吃的。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就那样吧 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊就那样吧 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 4}
{'短评内容': '不错，喜欢京东订房。', '短评打分': 5}
{'短评内容': '来过很多次了，每次都喜欢住这里，简单干净，价格也很不错', '短评打分': 5}
{'短评内容': '还是不错，就是配套设施不是很理想。', '短评打分': 5}
{'短评内容': '一如以往的干净！！！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '离机场很近，房间简单，凑合着住，赶飞机早晨的的士车是不打表的，可见当地人素质！', '短评打分': 5}
{'短评内容': '价格实惠，值得购买！', '短评打分': 5}
{'短评内容': '还行离机场近', '短评打分': 5}
{'短评内容': '住得挺好 就是有杂音啊', '短评打分': 5}
{'短评内容': '环境不错，空间偏小一点', '短评打分': 5}
{'短评内容': '到机场很方便，周边餐饮ok', '短评打分': 5}
{'短评内容': '好，好，好，很好，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '出差预定，临街有点吵杂。', '短评打分': 5}
{'短评内容': '不错，很满意，服务周到i', '短评打分': 5}
{'短评内容': '酒店没有配备停车场这点很不开心，前台妹子帮我换了前一个有窗户的房间非常感谢…但在配上有停车的地方就比较好了。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '这个价位可以', '短评打分': 5}
{'短评内容': '位置不错！太小！', '短评打分': 4}
{'短评内容': '感觉挺好的，路上车不多，还是相对安静', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地段非常好，出行非常方便，尤其离开机场较方便', '短评打分': 5}
{'短评内容': '帮同事出差订的房间虽没有别的如家大，但是里边还是可以的，前台服务非常周到还有爱心伞和乘车便签卫生还算干净。', '短评打分': 4}
{'短评内容': '离机场也就十分钟，没有接送机。处于闹市，买东西吃饭方便，房间和全国的如家差不错，干净整洁，早餐15元每位，味道一般。', '短评打分': 4}
{'短评内容': '房间较干净，交通方便,空间小', '短评打分': 5}
{'短评内容': '房间较干净，交通比较方便', '短评打分': 5}
{'短评内容': '房间干净，交通方便，就是空间小点', '短评打分': 5}
{'短评内容': '正住着呢，不错，下次还来！环境和图片一样，刚进屋有霉味，一会就没了。', '短评打分': 5}
{'短评内容': '我定的是大床房，房间很小，放一张床就没什么空间了，但离机场还是比较近，早晨打车过去不打表，花了20块~~~·如果提供接送机服务就好了。', '短评打分': 5}
{'短评内容': '屋内异味很重……', '短评打分': 3}
{'短评内容': '离江北机场挺近的，打车几分钟就能到，对到重庆出差的人来说非常方便。价格也还合理，推荐', '短评打分': 5}
{'短评内容': '很不错的酒店，如家的连锁值得信任。离江北机场很近，出租车起步价就到了，前台有个实习的服务员服务态度超级好，而且说话声音很好听，酒店对面有很多小吃店，但好像都是我们北方的食品，重庆有特色的小吃倒是没有找到。总体来说相当不错的，如果下次有机会再到重庆还会选择如家！', '短评打分': 5}
{'短评内容': '十分近機場, 的士只是8元\n房間不錯,乾淨\n\n如果價錢可以平宜一些會更好', '短评打分': 5}
{'短评内容': '＋价格便宜，位置方便，还自动升级了', '短评打分': 3}
{'短评内容': '说是机场店，其实离机场还很远，打车绕了一段路。位置太不好找了···', '短评打分': 5}
{'短评内容': '干净，离机场很近，穿过旁边那个公园，走路到机场也就10分钟吧。附近是个小镇吃的很方便。', '短评打分': 5}
{'短评内容': '很干净很实惠。很干净很实惠。很干净很实惠。很干净很实惠。很干净很实惠。很干净很实惠。很干净很实惠。很干净很实惠。很干净很实惠。', '短评打分': 5}
{'短评内容': '住还行，比较干净，不过去机场得小心出租车宰客', '短评打分': 5}
{'短评内容': '如家快捷酒店（重庆江北机场双凤路店）酒店设施蛮新的，离机场2000米左右打车很快就到', '短评打分': 5}
{'短评内容': '十房间干净,服务态度好！离机场近。房问有一点小。', '短评打分': 3}
{'短评内容': '这个酒店确实离机场很近，交通方便，环境也不错，房间比较舒服，干净。特别是前台办理入住态度不错,下次来还会住这。祝生意顺利！', '短评打分': 5}
{'短评内容': '这里离机场很近，交通方便。温馨，舒适，的确如家。服务态度也不错。下次来还会住这。愿再接再厉！', '短评打分': 5}
{'短评内容': ' 前台办理入住态度不错 客房门锁不上 换房后还好 房间干净', '短评打分': 3}
{'短评内容': '服务态度很好。 ..............', '短评打分': 5}
{'短评内容': '这家酒店确实离飞机场很近，起步价，服务也很好！', '短评打分': 5}
{'短评内容': '离机场近,环境也不错.设备齐全.总体来说很不错的!!!', '短评打分': 5}
{'短评内容': '价格合理，环境不错，会再次入住', '短评打分': 3}
{'短评内容': '挺好的，很温馨，会推荐去住的，而且我一直都喜欢住如家的', '短评打分': 5}
{'短评内容': '机场打车，10元到达。环境尚可，电梯较怪，出了电梯到上下半层楼进房', '短评打分': 5}
{'短评内容': '非常好，干净，只是服务员有些马虎，出了一些小问题，希望下次注意', '短评打分': 5}
{'短评内容': '好                                            值这个价', '短评打分': 5}
{'短评内容': '挺好的，  蛮舒服的 。 而且看上去是装修了不久得  很新 。', '短评打分': 5}
{'短评内容': '非常好，很干净。', '短评打分': 3}
