{'descr': '房间略小', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '干净舒适', 'star': 5}
{'descr': '第一天住的标间，真心不错。第二天给儿子定了个单间，总体来看全五分！', 'star': 5}
{'descr': '适合带孩子，酒店位置方便，停车方便', 'star': 5}
{'descr': '环境优美，服务态度好', 'star': 5}
{'descr': '还可以，干净卫生，简单住住蛮好的', 'star': 5}
{'descr': '厕所门是坏的 整的很尴尬 味道有点大屋里', 'star': 3}
{'descr': '服务态度好，房间干净', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '很舒适的环境', 'star': 5}
{'descr': '很舒适的环境', 'star': 5}
{'descr': '房间好小', 'star': 4}
{'descr': '还好，就是房间太小了，无法转身，地方还可以。挺方便的，早饭太简单了，买东西吃', 'star': 5}
{'descr': '挺好的，就是吃饭的地方有点儿远', 'star': 5}
{'descr': '挺好的，就是吃饭的地方有点儿远', 'star': 5}
{'descr': '挺好的，就是吃饭的地方有点儿远', 'star': 5}
{'descr': '蛮好', 'star': 4}
{'descr': '感觉不错，回淮安一直住这家，不知道在网上可以定，还比到店里直接定便宜25元，以后会经常网上定的', 'star': 4}
{'descr': '在市中心,地理位置好,不过周围大型的超市不知道是没有还是没有找着,早餐菜色少,还有听别的入住的旅客说来着,前年住过,到现在早餐的菜就没换过', 'star': 5}
{'descr': '不错的选择，以前住过，日后还会入住。', 'star': 3}
{'descr': '还不错，网速太慢', 'star': 3}
{'descr': '住的还不错，就是周围没有什么吃饭的地方。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '周围没有什么吃的，住的还可以。。。。。。。。。。', 'star': 5}
{'descr': '房间还可以，交通比较方便，价格适中 还会选择', 'star': 3}
{'descr': '总体感觉不错，价格实惠，有点小瑕疵，酒店的网络速度有点慢', 'star': 5}
{'descr': ' 服务很好，但装修有些旧了，地段不错，就在淮安北站后面，周边商业气氛很到位。', 'star': 3}
{'descr': '前台服务语言生硬。客房安排楼层很不好。房间空旷，房间内棉被很陈旧，显得很单薄。感觉预定房间的安排和随机到店的安排待遇不是一样。', 'star': 1}
{'descr': '个人觉得比较整洁、干净，如果能再经济一点那就完美了，以后还会入住', 'star': 5}
{'descr': '房间还挺干净，设施也还不错，没有早餐，有停车位，但不是很多，交通也还挺方便的，不错', 'star': 5}
{'descr': '交通方便，房间整洁，总体都还满意。就是房间的隔音稍微差些。', 'star': 5}
{'descr': '标准房。床固定起来了。不能合并到一起。\n卫生间的地板跟下水道好像是有问题的。一踩 水全部出来了。这点希望改进，\n锦江之星的商务味道很重。呵呵 缺少了一点点温馨。还有提升的空间', 'star': 5}
{'descr': '环境和交通都不错，就是锦江的早餐有点小贵，如果以后能够提供免费早餐倒是不错。', 'star': 5}
{'descr': '比较整洁，服务很好，餐厅饭菜比较实惠，口味也还不错', 'star': 5}
{'descr': '房间不错，够大干净', 'star': 3}
{'descr': '环境不错，干净整洁，亦如锦江风格', 'star': 3}
{'descr': '交通挺方便的，地理位置不错，会议室小了点，话筒还坏了，让人感觉备份不够。', 'star': 5}
{'descr': ' 干净整洁', 'star': 3}
{'descr': '地理位置非常不错，对面就是八二医院，早餐一条街就在旁边。问题就是晾衣服的位子正好在空调底下，所以晾衣服干的慢。', 'star': 5}
{'descr': '锦江之星应该说是连锁经济型酒店里面比较不错的，整洁干净，适合商旅型客人，早餐也比较好，吃着很舒服，下次出差还会选择，性价比很高', 'star': 5}
{'descr': '酒店位置很好，附近10分钟可达汽车总站、金赢购物中心、中央国际新亚商场、乐天玛特购物中心等，很干净，而且服务不错！', 'star': 5}
{'descr': '房间整洁干净，睡觉也感觉安静，交通便利，八二医院对面就是，餐厅的饭菜挺好。就是走得匆忙，落了自带洗面奶水杯，服务员没有及时查房提醒。', 'star': 5}
{'descr': '房间干净，交通方便，周边吃的东西比较多，不错，不错！', 'star': 5}
{'descr': '第二次住了，还是很不错。\n上次住的时候还有个抽奖，这次没啦。', 'star': 5}
{'descr': '还行。。。。临时路过住的。。。全国连锁的酒店、、、、、', 'star': 5}
{'descr': '感觉该酒店整洁，干净。服务业很周到，要是价格是含早餐的话，那就更好了。', 'star': 5}
{'descr': '房间还蛮大，空调是大金的很赞，电视机虽然是CRT但是飞利浦的效果很棒。\n就是布局稍显不合理，写字台和床的距离靠的太近了。', 'star': 5}
{'descr': '非常不错！', 'star': 3}
{'descr': '房间很大，总体感觉不错', 'star': 3}
{'descr': '挺干净的，感觉蛮好的，服务也不错，以后会继续入住的', 'star': 5}
{'descr': '地点有点偏，设施没有其他城市的好，需要改进', 'star': 5}
{'descr': '干净，卫生，服务好；唯一的缺点就是临街的房间有点吵，隔音不太好。', 'star': 5}
{'descr': '虽然是汽车总站店，但事实上离汽车总站蛮远的。不过门口就有公交站，乘车出行还是蛮方便的。就是早餐总类太少。', 'star': 5}
{'descr': '环境不错,卫生也很好,服务态度也很好,满意!', 'star': 5}
{'descr': '典型的快捷酒店，位置也好，楼下好几趟公交，开车有路边停车场，服务员也很有礼貌，找不到路打电话，很耐心的告诉我们怎么走。早餐很温馨，服务员也很勤快。', 'star': 5}
{'descr': '很贴心的陈设', 'star': 3}
{'descr': '再次入住锦江之星，上次送了很多优惠券，希望锦江的服务给劲，明天结账的时候能用上', 'star': 5}
{'descr': '清爽卫生，觉得很不错的，值得推荐的房间，下次再来', 'star': 5}
{'descr': '交通便捷 卫生不错 下次还要入住 服务员也很敬业的', 'star': 5}
{'descr': '房间还比较干净，就是吃饭会不方便，附近没有什么酒店！', 'star': 5}
{'descr': '房间比较大，设施一般，我入住的时候手纸也没，服务需要提高', 'star': 5}
{'descr': '干净卫生，位置不错！曲晋祠方便，下高速住宿方便.', 'star': 5}
{'descr': ' 环境不错 价格实惠 交通方便 沿街但晚上还比较安静 ', 'star': 3}
{'descr': '不错，干净，安静，交通也方便！！！！！！！！！！！！！！！！！！1', 'star': 5}
{'descr': '酒店一如既往的，住着舒适。  就是早餐有点简陋\n锦江之心值得信赖', 'star': 5}
{'descr': '位置处于热闹地段  交通还是比较便捷的 服务也可以', 'star': 5}
{'descr': '还不错，暖气有够热！打车也方便。环境、卫生都不错！', 'star': 5}
{'descr': '很好，很干净，强烈推荐···很安静，服务很好···', 'star': 5}
{'descr': '停车场太小，要停到对面的医院里\n其他都还好', 'star': 5}
{'descr': '位置不错  酒店服务也很好 很满意 就是有点贵 呵呵  希望可以再便宜点', 'star': 5}
{'descr': '交通方便，到了定的房间没有了还换了升级的房间，服务很好，推荐。餐厅的饭也不错。', 'star': 5}
{'descr': '挺好的，就是有点吵，设施很干净，房间也大', 'star': 5}
{'descr': '环境很好，硬件设施很齐全，房间里上网很快，隔音效果不错，位置出行方便', 'star': 5}
{'descr': '卫生还可以，就是餐厅配套做的不好，这是我唯一觉得遗憾的地方！~', 'star': 5}
{'descr': '酒店距离汽车站不是很远，一公里左右的车程，出行还可以，服务员很周到热情，房间装修的比较简约，硬件设施齐全，住着蛮舒适的', 'star': 5}
{'descr': '很好的酒店\n住过锦江之星，这家算最好的了\n\n早餐非常棒，房间也大\n\n位置不错', 'star': 5}
{'descr': '苏北的锦江，好象都没有苏南的锦江好，可能是我的个人感觉吧', 'star': 5}
{'descr': '酒店距离汽车站火车站都不是很远，出行很方便，附近还有很多购物中心，另外房间隔音效果也不错，住宿环境蛮好的', 'star': 5}
{'descr': '价格还是挺优惠，房间还是蛮好的很干净，出行也很方方便，', 'star': 5}
{'descr': '大堂装修的既奢华又简单，员工很热情，环境很舒适，值得推荐', 'star': 5}
{'descr': ',很好', 'star': 5}
{'descr': '前台及保洁服务都很好，唯一环境有点差，比较吵闹', 'star': 5}
{'descr': '+还不错！', 'star': 5}
{'descr': '环境不错，挺干净的，周边饭店较多，到淮安旅游的话住锦江之星还是比较明智的', 'star': 5}
{'descr': '整个酒店几乎看不到服务员，不知道是否快捷酒店都是如此', 'star': 3}
{'descr': '典型的快捷酒店，很干净整洁，就是设施过于简单，跟房价不成正比，性价比不高，早餐不是很好，很多饭菜都是凉的', 'star': 5}
{'descr': '不错,经济又实惠!地处太原晋祠路上,很好找.', 'star': 5}
{'descr': '还不错，如果能有更详细的酒店位置说明就更好了', 'star': 3}
{'descr': '位置离晋祠比较近，好象在太原的外环，服务员感觉有些少，酒店设施还好，房间挺大，总体来说不错。如果能告诉外地客户从哪个高速口下来就更好了，找酒店费了我们不少事，在太原的绕城高速多走了不少冤枉路。', 'star': 5}
{'descr': '+平遥忠恕园古色古香,很有味道,虽离古城中心老街有点距离,但有一小院可停几台车,比较方便', 'star': 3}
{'descr': '酒店内部环境尚可，干净卫生，性价比较合理。\r\n不足：酒店标志不明显，不易被发现。', 'star': 3}
{'descr': '房间干净卫生，还不错', 'star': 5}
{'descr': '+干净整洁,很值,去晋祠很方便,推荐以后还住金广快捷', 'star': 5}
{'descr': '住过很多次，推荐，就是地点一般，厕所需要修一下，瓷砖掉了', 'star': 5}
{'descr': '酒店位置有些偏，卫生很好，就是隔音差点儿，楼道里的各种杂音房间里听的很清楚，卫生间的下水管声音很大。不过总体还是挺好的。', 'star': 3}
{'descr': '卫生间小了点，其他还可以。', 'star': 5}
{'descr': '都住了好几次了，还要评价，真麻烦，总之都不错！', 'star': 3}
{'descr': '这两个星期已经住了好几次了，各方面都很好！', 'star': 3}
{'descr': '各方面真的都不错，我现在到太原首选这里。', 'star': 5}
{'descr': '我住在202房间，隔壁是员工用房，应该是洗衣间。结果到了半夜机器还在轰鸣，严重影响睡眠。其他的还行吧。', 'star': 5}
{'descr': '确实很不错，我是第二次住，都挺好，网速快，就是周围没有卖水果的', 'star': 3}
{'descr': '都不错，就是门口没买水果的，出门好打车，也不乱！', 'star': 5}
{'descr': '地点不理想，没有餐厅，门口吃的也很少\r\n不过后面有条街多走点路还是挺有味道，一边全是歌厅，一边全是小吃', 'star': 1}
{'descr': '+网速太慢，床还好，服务一般偏下。', 'star': 5}
{'descr': '基本满意，不过入住时在装修，有点脏。', 'star': 5}
{'descr': '房间的卫生条件还不错，硬件条件有些陈旧.周边的条件差一些.早餐和午餐不能提供.其它各方面都可以.', 'star': 5}
{'descr': '靠路边的房间早晨吵，旁边有个汽车站，一早就很大声。', 'star': 5}
{'descr': '酒店的位置不错，挺方便出行的，而且硬件和软件设施也还可以，整体来讲还是不错的.', 'star': 5}
{'descr': '酒店的卫生很好，很干净。服务也很不错很热情很人性化，位置一般。', 'star': 5}
{'descr': '酒店打扫的很干净，设计的简单大方，服务也很全面，价格比较实惠，值得推荐。', 'star': 5}
{'descr': '总体感觉不错的酒店，房间很干净，设施完善，性价比蛮好，下次如果在附近出行还会入住。', 'star': 5}
{'descr': '房间的环境比较舒适，设施也比较齐全，最让我感到的是服务很热情。', 'star': 5}
