{'短评内容': '安静，舒适。平民价，很满意', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '不错  干净 方便', '短评打分': 5}
{'短评内容': '一切都还好！', '短评打分': 4}
{'短评内容': '床超级大 一家三口商务大床', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很不错，以后还会住', '短评打分': 4}
{'短评内容': '很不错的', '短评打分': 4}
{'短评内容': '住了好几天了，不错的', '短评打分': 4}
{'短评内容': '                不错的', '短评打分': 4}
{'短评内容': '还算方便和整洁，只是设施陈旧点', '短评打分': 3}
{'短评内容': '设施旧了，周边吃饭方便', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '各方面都挺到位的', '短评打分': 5}
{'短评内容': '没有什么问题，不错', '短评打分': 5}
{'短评内容': '离火车站较远，呼市经常堵车，要在附近办事住该店还可以，房间很舒适，卫生不错，周围吃饭很方便，交通也还行。', '短评打分': 1}
{'短评内容': '服务不够好，让人感觉不到温馨。早餐也不好。空间还可以', '短评打分': 1}
{'短评内容': '酒店空间挺大的，但是服务不够好，早餐也很一般。', '短评打分': 1}
{'短评内容': '酒店房间格局不错，卫生洁净，不错的酒店。就是早餐一般', '短评打分': 3}
{'短评内容': ' 金澳酒店还可以。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '卫生一般，早餐质量更差！基本没什么东西！服务员态度也很恶劣！房间很久，有霉味！以后不住了！', '短评打分': 1}
{'短评内容': '条件和服务不错', '短评打分': 3}
{'短评内容': '酒店看着还算规范，卫生很好，床单被子什么都挺干净的，用着挺放心的。', '短评打分': 3}
{'短评内容': '服务有些冷淡，卫生还好，位置挺好，出行挺方便。', '短评打分': 3}
{'短评内容': '挺好，住的挺满意，下次还会光顾。', '短评打分': 3}
{'短评内容': '房间还是蛮大蛮宽敞的，设施简单实用，总体感觉还好。', '短评打分': 3}
{'短评内容': '总的评价一般，离机场较远，房间较小，暖气也不是很热', '短评打分': 1}
{'短评内容': '不错，服务态度挺好，我的宽带不好，主动联系技术人员修好', '短评打分': 5}
{'短评内容': '呼和浩特金澳酒店条件一般，希望能够得到改善，毕竟是三星级嘛！ ', '短评打分': 3}
{'短评内容': '条件一般，希望能够得到改善，毕竟是三星级嘛！', '短评打分': 1}
{'短评内容': '除了目前位置稍稍差了一点儿，空间和设施都很好。', '短评打分': 5}
{'短评内容': '酒店的内部环境还是不错的,价格方面偏高些了.', '短评打分': 3}
{'短评内容': '8706 客房非常舒适. 就是酒店位置有些偏僻. 打出租车十多次, 没有一个司机知道这个酒店. \r\n 但是此酒店非常好.', '短评打分': 5}
