{'短评内容': '住了好多次啊非常干净，交通方便，环境好，服务热情。', '短评打分': 5}
{'短评内容': '酒店位置较靠近南昌站较方便出行，客房环境卫生一般，房间配套用品比较较旧建议需要更换，客房价挌性价比转高。', '短评打分': 4}
{'短评内容': '酒店的房间很干净，距离火车站不远。', '短评打分': 4}
{'短评内容': '不错，返程时也住了', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '房间怪怪的尿臊味，老式装修还得，留下太多老痕迹啦，这是住过的最差的格林酒店，', '短评打分': 3}
{'短评内容': '有点破，，感觉很旧了。', '短评打分': 3}
{'短评内容': '整体还是干净整洁的 其实就是格林豪泰', '短评打分': 4}
{'短评内容': '交通方便，去高铁站方便', '短评打分': 3}
{'短评内容': '垃圾宾馆！卫生不干净、前台服务更是的差！', '短评打分': 3}
{'短评内容': '格林豪泰（南昌火车站站前路快捷酒店）。房间有异味，床单有污点。', '短评打分': 3}
