{'短评内容': '电话打不通', '短评打分': 4}
{'短评内容': '总得来说没有什么特点，有些地方过于铺张浪费了。', '短评打分': 1}
{'短评内容': '很好，继续！', '短评打分': 4}
{'短评内容': '第一次住这家宾馆，房间卫生、周边环境、酒店服务都还不错，早餐品种也比较丰富，但是普通标准间都是没有窗户的，感觉房间的空气流通不够，还有就是浴室的喷头无法固定，只能手持。', '短评打分': 4}
{'短评内容': '酒店不错，值得推荐。', '短评打分': 4}
{'短评内容': '环境好、服务好', '短评打分': 5}
{'短评内容': '性价不不高，不过玉树只有他们家宾馆有吸氧的设施！去高原一定不要有高原反应！太难受了！ ', '短评打分': 4}
{'短评内容': '地方不错,但服务态度一般', '短评打分': 2}
{'短评内容': '到酒店发现比携程网上还便宜，此时我已经在携程网预付了。不然现场付钱更便宜。环境很好，服务很好。', '短评打分': 4}
{'短评内容': '基本可以，早餐一般，海拔3700的酒店算不错了。', '短评打分': 5}
{'短评内容': '酒店位置很好，房间不错。', '短评打分': 5}
{'短评内容': '周边环境一般，携程房价高且房间无窗户，无早餐，另加价后才给了早餐卷换了有窗户的房间', '短评打分': 3}
{'短评内容': '干净清爽，安全舒适、环境一流', '短评打分': 3}
{'短评内容': '卫生比较差，换床单直接在地毯上换的。', '短评打分': 3}
{'短评内容': '虽然地处偏远，虽然在强震之后，虽然全部的设施都设在活动板房内，这家酒店的服务还是能达到星级酒店的入门级服务水平。环境非常优美。 但由于道路问题，而且电话也有变化，要找到那里非常不容易。', '短评打分': 5}
{'短评内容': ' 入住。', '短评打分': 3}
