{'短评内容': '很干净 很整洁 服务超级好 ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错，下回再去', '短评打分': 5}
{'短评内容': '干净，整洁，购物方便', '短评打分': 5}
{'短评内容': '干净卫生，住得很舒服', '短评打分': 5}
{'短评内容': '还行。。。。。', '短评打分': 5}
{'短评内容': '房间不错，挺大，就是隔音不好，服务人员热情周到。。。。值得信赖', '短评打分': 5}
{'短评内容': '就是地方不好找，司机都带错到附近另一个汉庭了', '短评打分': 5}
{'短评内容': '感觉房间特别的没有感觉，都很简陋，这个价格不应该是这样的，床睡的还特别不舒服，要不是前台妹子那么细心那么耐心，评分只会更低', '短评打分': 3}
{'短评内容': '位置很好，距离泉城广场，趵突泉等地方非常近，但是隔音效果一般。', '短评打分': 4}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '汉庭新品房间布置非常好，满意', '短评打分': 5}
{'短评内容': '酒店位置交通真的很好，前台服务很热情，同边吃饭景点都很方便。下次来济南一定住这家酒店。', '短评打分': 5}
{'短评内容': '挺好，价格合适，服务也很好', '短评打分': 5}
{'短评内容': '这家店经常去，周边交通吃饭很方便', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境还可以  性价比不高', '短评打分': 5}
{'短评内容': '对面就是济南八中，距离银座很近。', '短评打分': 4}
{'短评内容': '酒店内部环境不错，紧邻银座，购物方便，但现在门口道路修整，停车不太方便。', '短评打分': 3}
{'短评内容': '还不错，挺方便的、出门还有夜市，很好，下次还会入住、', '短评打分': 5}
{'短评内容': '这酒店不错，房间很大，并干净，装璜感觉舒服，但位置在小区里，第一次来不好找！', '短评打分': 3}
{'短评内容': '噪音太大无法入眠\r\n', '短评打分': 3}
{'短评内容': '不错的酒店 服务也不错！！！！！！！！！！！！！', '短评打分': 5}
