{'短评内容': '李文文', '短评打分': 5}
{'短评内容': '早餐一般，房间挺大的，就是房间里的设备有些很不上了，酒店在一个高尔夫俱乐部里面，环境很好、有一个大停车场，', '短评打分': 3}
{'短评内容': '优点：酒店非常大，外部环境非常好，交通便利。缺点：设施陈旧，多年未进行更新，到处都显示出破旧的感觉，墙壁、家具、地板都有破损未得到修复，为节约开支，酒店内部公共区域不开空调，电梯时好时坏，几乎没有服务，整个内部给人感觉又旧又脏。', '短评打分': 3}
{'短评内容': '真的是差到了极点 坑爹的 去了后悔又影响心情', '短评打分': 1}
{'短评内容': '好啊，好啊！', '短评打分': 5}
{'短评内容': '服务真心一般一般', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '度假村酒店，硬件特一般般，幽暗潮湿，早餐垃圾。来往的亲子旅游比较多，平添很多童趣。进出不是很方便。不建议定', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店设施有点旧，人气不旺，住的的人比较少，感觉比较冷清，其他配套服务也不多，并且以前可以练习高尔夫也不开了', '短评打分': 3}
{'短评内容': '潮湿', '短评打分': 2}
{'短评内容': '很不错噢，房间的话基本都还干净整洁，服务还不错，优点是离开会地点只有5分钟距离，很方便，但是周边吃的东西不是很多，就是附近有个医院，不过没什么，有点吵，因为对面就是一座立交桥，不过还可以接受的了。下次还会选择。', '短评打分': 5}
{'短评内容': '卫生好恶劣，还这个价钱，真心失望，好旧的，灯都唔开多支，里面滴房间走廊黑黑的，吓死人', '短评打分': 2}
{'短评内容': '性价比一般，周围环境很好，隔音差了点', '短评打分': 3}
{'短评内容': '设备陈旧，在高尔夫球场旁边。吃饭往外跑。', '短评打分': 3}
{'短评内容': '很安静的一个地方，在博罗较为偏僻的一个地方，可能离惠州市还近些，酒店老旧比较严重了，这个价格还是贵了一点，服务方面需要改进。', '短评打分': 3}
{'短评内容': '酒店设计及环境可以，但设施一般，阳台门无法锁紧是最大问题。', '短评打分': 3}
{'短评内容': '酒店设施环境不错，同行的朋友们都一致好评，房间可以看到球场，空气很好，值得推荐。', '短评打分': 5}
{'短评内容': '环境还不错，但设施极不完善，连五星级酒店必备的健身房，游泳池都没有。要游泳要买七十多块钱的SPA票。', '短评打分': 5}
{'短评内容': '外部环境好~内部装修一般~早餐餐厅不好', '短评打分': 3}
{'短评内容': '经常去那里打球，还是第一次住那里的酒店呢，酒店很气派很大，环境还，不错', '短评打分': 5}
{'短评内容': '房间隔音不好，晚上休息很差，睡眠质量很不好，而且设施也略显陈旧，需及时更新了.', '短评打分': 3}
{'短评内容': '酒店的星级根本不达标，实际到达不了5星的标准，设施比较陈旧，一点也没有5星酒店的范儿.', '短评打分': 3}
{'短评内容': '房间装修卫生还可以，酒店的位置还不错还是比较容易找的，价格的话还是比较不错，整体感觉还不错。', '短评打分': 5}
{'短评内容': '客房配置老旧，不过卫生方面做得还不错，性价比蛮高的，价格适中.', '短评打分': 5}
{'短评内容': '前台服务人员不够热情，而且提前订好的房间，到了还要等房，这点很不好.给我印象不好.', '短评打分': 3}
{'短评内容': '房间新，设施好，住着舒适.', '短评打分': 5}
{'短评内容': '前台服务不够热情，订了大床房，给了双人房，换了另外一间，床还是拼的，与酒店描述的不同，电话还打不出，大老远跑过来，还要花一段时间等拿房间，觉得酒店内部较混乱，希望酒店可以改进，特别是前台服务员的素质，一点笑容都没有，冷冰冰的。房间总体来说还是可以的，值得一住，如果在细节方面做得仔细一些那就更好啦。', '短评打分': 1}
{'短评内容': '日用品配备不齐备，而且老酒店硬件设施比较陈旧.住着感觉不是很舒服，下次可能会再选择其它的酒店入住.', '短评打分': 1}
{'短评内容': '酒店有个很大的桑拿浴室，感觉很棒，其他方面也都还可以。', '短评打分': 5}
{'短评内容': '酒店卫生方面不错，房间很干净，性价比方面也不错。', '短评打分': 5}
