{'短评内容': '干净舒适，交通便利。早餐不吃，不能加床。', '短评打分': 5}
{'短评内容': '到会展中心出差，临时订了这家。交通还算方便，机场t4过来二十分钟车程。附近公交站挺多。隔壁也是游客团的酒店，出门很多大巴。 酒店大床房空间挺大，设备一般，电视机要重启才显示；卫浴一体，洗脸台在外略小；空调稍旧声音很大；外面有工地早上很早就开工很吵。', '短评打分': 4}
{'短评内容': '最惊喜的还是房间超大的空间，距离会展中心也不远，但是很令人生气的是晚班的前台服务员，我们要求加床，先是说客房服务人员下班，后面又说要一百，我们要给钱了又说也不可以，没人搞，然后两个前台人员假装忙碌的看着电脑，爱理不理的', '短评打分': 4}
{'短评内容': '床铺被子生硬，条件一般，睡觉环境比较安静，隔音比较差', '短评打分': 4}
{'短评内容': '连瓶水都舍不得放，洗手间洗手台简直等于没隔。体验差', '短评打分': 3}
{'短评内容': 'Ok', '短评打分': 5}
{'短评内容': '网络就是方便直接订好去了就不用再选了，嗯，价格也合适，挺方便的，环境，这是给别人住的，我也不太清楚', '短评打分': 5}
{'短评内容': '非常非常差差', '短评打分': 5}
{'短评内容': '很不错的体验，交通便利，住宿舒适。', '短评打分': 5}
{'短评内容': '房间还好，前台有个胖胖的服务员态度超级差！！！', '短评打分': 2}
{'短评内容': '商务出差，不过不失。', '短评打分': 3}
{'短评内容': '酒店打扫卫生的阿姨态度挺好的，只是设施简陋，小卡片乱多，这次赶上铁三附近酒店不好订订到了这里，以后应该不会再住了', '短评打分': 3}
{'短评内容': '一般般 卫生较差', '短评打分': 3}
{'短评内容': '不错，交通是很方便的，离万达起步价，离机场20分钟以内，软件园东门十字路口，普通快餐小炒方便，特色美食。', '短评打分': 3}
{'短评内容': '不错，交通是很方便的，离万达起步价，离机场20分钟以内，软件园东门十字路口，普通快餐小炒方便，特色美食。', '短评打分': 3}
{'短评内容': '不错，交通是很方便的，离万达起步价，离机场20分钟以内，软件园东门十字路口，普通快餐小炒方便，特色美食。', '短评打分': 3}
{'短评内容': '不错，交通是很方便的，离万达起步价，离机场20分钟以内，软件园东门十字路口，普通快餐小炒方便，特色美食。', '短评打分': 3}
{'短评内容': '不错，交通是很方便的，离万达起步价，离机场20分钟以内，软件园东门十字路口，普通快餐小炒方便，特色美食。', '短评打分': 3}
{'短评内容': '酒店环境不错,交通方便', '短评打分': 5}
{'短评内容': '住宿很舒服，地理位置也方便，酒店环境不错', '短评打分': 5}
{'短评内容': '软性装修太少，造成隔音不是太好，总体满意！', '短评打分': 5}
{'短评内容': '\t总体还不错～就是床有点硬～但还是不错的～给个好评吧～', '短评打分': 3}
{'短评内容': '不是本人入住的，应该还行，回来后没有听到抱怨什么的。', '短评打分': 5}
{'短评内容': '只能说一般般，房间大小还可以，淋浴差了点', '短评打分': 5}
{'短评内容': '隔音效果不好，周围吃的地方比较少，其他还不错', '短评打分': 5}
{'短评内容': '除了隔音效果不太好，其它的都还好，停车位少了点', '短评打分': 5}
{'短评内容': '还是很干净的，房间比较宽敞，有海风吹过来，就是周围没什么吃喝的地方', '短评打分': 5}
{'短评内容': '很好，很宽敞很干净，位置也很好，值得推荐', '短评打分': 5}
{'短评内容': '很不错，去观音山也很近，附近吃饭的很多，尤其是夜宵摊，，，超棒，至于酒店房间很大，还有阳台，，像家一样', '短评打分': 5}
{'短评内容': '房间很大很干净，环境挺好的.但是服务态度跟不上，总台小姐有点凶', '短评打分': 5}
{'短评内容': '自费住宿的话还是可以推荐的。酒店位置不处在闹市区，交通还算便利。房间大小还可以，设施也算新，住在高层视野挺不错，还有阳台，早晚在阳台吹吹风还是不错的。', '短评打分': 5}
{'短评内容': '宾馆新开，很干净，服务员态度也很好。就是办理退房手续用了30来分钟，前台退房的效率很慢，只管自己人闲谈开玩笑。我发火了他们才慢吞吞的给我办理退房手续。', '短评打分': 5}
{'短评内容': '酒店环境很好，就是离市中心太远。房间很大，也很安静。', '短评打分': 5}
{'短评内容': '酒店已改名成8090 city hotel。地址也改在软件园对面，碧海蓝天酒店旁。。但内部物品神马的还全部是泊捷酒店的名称。。囧！害我们找半死！房间还不错很宽敞，有宽带。带阳台。干净卫生。。床的话。。那个床垫不知道怎么搞的。躺上去感觉就像睡在铁条上。。。kè得慌啊。', '短评打分': 5}
{'短评内容': '非常干净，很不错~~~~~~~~~~~~~~~~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '住在裡面很舒服，有家的感覺。就是有點偏。公車比較少', '短评打分': 5}
{'短评内容': '还可以，离会展中心比较近。展会期间价格涨幅太大。', '短评打分': 5}
