{'短评内容': '在汽车站侧后方，房内有一些灯之类不亮了，其他还行。', '短评打分': 5}
{'短评内容': '早餐便宜实惠，很干净，服务超好。房间很安静，卫生，热水很方便，随时用随时都有，房间比较大，美中不足就是灯不是很亮，要是灯亮些就完美了。', '短评打分': 5}
{'短评内容': '卫生太不好了，让我对格林豪泰之前的影响受影响。一个天一个地', '短评打分': 3}
{'短评内容': '不错，很好。', '短评打分': 5}
{'短评内容': '出行非常方便', '短评打分': 5}
{'短评内容': '酒店位置很好，不知道早餐怎么样，不知道能不能加床。', '短评打分': 5}
{'短评内容': '很好，环境不错', '短评打分': 5}
{'短评内容': '非常方便', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '返现确认好慢啊，没人处理吗酒店都', '短评打分': 4}
{'短评内容': '可以，干净卫生。头天太累了住了7天，算下平台优惠比格林还贵，环境又不好，果断换格林。看评论还有点怀疑，入住后超出期望值。整洁干净。二楼228', '短评打分': 5}
{'短评内容': '还中', '短评打分': 5}
{'短评内容': '灯不亮，噪音有点大', '短评打分': 4}
{'短评内容': '位置好！价格便宜！环境不错！服务相当热情', '短评打分': 5}
{'短评内容': '周边环境还可以，位置不错，设施比较陈旧，服务很好', '短评打分': 3}
{'短评内容': '路过，有停车场所以就住下了，对面有烧烤摊儿，感觉比较方便。', '短评打分': 3}
{'短评内容': '很好很好，前台及店长都很热情，靠车站很近，吃住行都方便', '短评打分': 5}
{'短评内容': '卫生工作搞得不好，一进房间就觉得有臭臭的味道，可能是地毯长期使用没有搞干净的后遗症吧，建议把地毯改为地板吧，这样也方便搞卫生。', '短评打分': 1}
{'短评内容': '整体感觉还不错吧，性价比蛮高的一家宾馆，下次还会光顾的…', '短评打分': 5}
{'短评内容': '二楼窗户没有铁窗～', '短评打分': 3}
{'短评内容': '离车站很近，设施很好，很舒服。下次还会光顾的，不错不错。', '短评打分': 5}
{'短评内容': '总体感受还算不错，只是给安排的6楼没有电梯不说流体还非常的陡不太安全', '短评打分': 5}
{'短评内容': '隔音不好，早上5点被隔壁的声音吵醒，郁闷', '短评打分': 5}
{'短评内容': '交通比较方便 房间比较大 服务员比较热情 周围的炒鸡很好吃', '短评打分': 5}
{'短评内容': '此酒店交通方便，距离汽车总站和小商品城比较近。办事较方便.房间也比较新.服务员态度更加好.不错,以后还会继续入住.\n', '短评打分': 5}
{'短评内容': '入住恨满意…尤其对酒店服务感到满意…', '短评打分': 3}
{'短评内容': '房间环境还行，就是有点贵！还没有打折，希望改进！', '短评打分': 1}
{'短评内容': '该酒店可能是开业时间不是很长，硬件设施还不够完善，也不过多的评论该酒店好与坏，大家有机会自己体验就知道了。', '短评打分': 5}
{'短评内容': '酒店交通很方便 设施也很好 前台服务周到\n下次会在去  办了个VIP会员 很划得来', '短评打分': 5}
{'短评内容': '环境不错，服务态度也很好，不错！', '短评打分': 3}
{'短评内容': '酒店总体来说不错，价格便宜，环境也挺好。我住的房间是两间屋，一间屋里有点冷，洗手间也有点冷，还有电热壶有点不太好使。', '短评打分': 5}
{'短评内容': '酒店离长途车站很近。附近交通方便，马路对面就有各种饭店可供选择。前台服务人员几分钟就办好了入住手续。房间也干净，安静。美中不足的是，和其他格林豪泰店一样，浴室有下水道的气味。', '短评打分': 5}
{'短评内容': '服务差，早餐差。', '短评打分': 3}
{'短评内容': '服务不错，但卫生间有异味', '短评打分': 3}
{'短评内容': '不错这家酒店还是不错的，价格感觉也挺优惠的！', '短评打分': 5}
