{'短评内容': '房间外围在装修，早上有点吵', '短评打分': 4}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '你这个墙壁也太恐怖了吧？一个这么大的黑白人影图像。晚上醒来不是吓死？', '短评打分': 3}
{'短评内容': '实惠，舒适，还免费送矿泉水喝，不错', '短评打分': 5}
{'短评内容': '空调特别响，想说杯子上面一层灰，都不敢用', '短评打分': 3}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '很好，很好', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '挺好的，性价比超高', '短评打分': 5}
{'短评内容': '真的一般般，但比较便宜', '短评打分': 3}
{'短评内容': '环境一般般，挺小的，', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间里有异味，而且设施也不怎么好。空调基本是没有用，开着都没有效果。', '短评打分': 3}
{'短评内容': '不知道为什么到店支付的价格比网上预订的价格要高一些，酒店位置离步行街和诗墙比较近，交通便利，出行还是比较方便', '短评打分': 4}
{'短评内容': '绝对安全的 隔壁就是派出所', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '没电梯', '短评打分': 5}
{'短评内容': '面积很小空调声音有点大 还行吧总体', '短评打分': 3}
{'短评内容': '还行，就是太小', '短评打分': 5}
{'短评内容': '电视没有几个台！住在这个酒店安全！就在派出所旁边！', '短评打分': 5}
{'短评内容': '酒店可以。', '短评打分': 3}
{'短评内容': '酒店非常差，而且服务差，一个字＂烂＂', '短评打分': 3}
{'短评内容': '环境比较差。房间空间也很小，不过胜在便宜。', '短评打分': 3}
{'短评内容': '。黑店。一男服务员态度极差。我说：“上当受骗了”，竟然直接对我说：“你才知道啊”。直接秒杀我。', '短评打分': 3}
{'短评内容': '硬件有点差，房间有老鼠。位置还算不错，在市中心，离步行街也挺近的', '短评打分': 5}
{'短评内容': '感觉一般，房间网速有点慢，其它还好。', '短评打分': 3}
{'短评内容': '一般中的一般，房间太小，毛巾太旧；；；；；；；；；；；；；；；', '短评打分': 1}
{'短评内容': '总体感觉不好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '该店又破又旧，总之实在是太破了。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '还好，有无限wifi，这个很方便，有线的网速差强人意', '短评打分': 5}
{'短评内容': '房间好小，一点点大，坐在床边，脚都伸不直.\n需要自费的洁具也不标明，搞得我以为是免费的，结果收费，，，，', '短评打分': 5}
{'短评内容': '房间小，但是很干净，服务员态度很好，服务到位，下次还可能会去这家！', '短评打分': 5}
{'短评内容': '厕所排气扇没打开', '短评打分': 3}
{'短评内容': '挺整洁，挺干净，相于安静，而且离步行街很近呀，交通也很方便。', '短评打分': 5}
{'短评内容': '价格比较便宜，交通方便。但服务有些问题：我们进店时没有检查客房内的洗漱用品，结果离店时服务员检查出洗漱用品包装被撕开，要我们付钱。其实这应该是酒店应保证每个旅客进驻时，所有用品应完好。而旅客对你们的设施不熟悉，即使检查也不容易发现问题。', '短评打分': 1}
{'短评内容': '地理位子不错，就在市区。但是环境不是特别好，房间小小的，空调不太制冷，不过这个可以找工作人员解决的，哈哈。卫生用具总感觉不是很干净。价位算是比较划算的了。厕所是半透明的哟`女生们会害羞啦。', '短评打分': 5}
{'短评内容': '没有电梯，扛行李上楼 很不方便 其他都还好啦', '短评打分': 5}
{'短评内容': '一般、  房子很小、。。。。。。不是很好。', '短评打分': 1}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '亚米连锁酒店（常德武陵阁店）地理位置不错，位于广场旁边，酒店是液晶电视，不过太小了，也有电脑，网速也不错，唯一不足的就是没有停车场！总体来说还不错！对得起价位！', '短评打分': 5}
{'短评内容': '+隔音一般。浴室太大，睡房太小。', '短评打分': 5}
{'短评内容': ' 亚米连锁武陵阁店地处市中心,闹中取静。上网、打长途均免费,前台服务人员温馨热情,使人宾至如归,是一家性价比很高的旅店。徐升', '短评打分': 5}
{'短评内容': '酒店还算不错，挺安静的，就是房间小了点，刚进去有股淡淡味道，不过整体还很干净，是个性价比还不错的酒店', '短评打分': 3}
{'短评内容': '已入住，房间较小，还算干净！网速也不错！', '短评打分': 5}
{'短评内容': '地理位置不错，位于广场旁边，酒店是液晶电视，不过太小了，也有电脑，网速也不错，唯一不足的就是没有停车场！总体来说还不错！对得起价位！', '短评打分': 5}
{'短评内容': '和7天比，亚米很一般，性价比不高,唯一的好处是交通便利', '短评打分': 1}
{'短评内容': '酒店位置较好，价钱便宜，但没有停车的地方。', '短评打分': 5}
{'短评内容': '总体的感觉还不错。\r\n就是，怎么酒店内部的洗漱用品什么的还要自己出钱？', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '还不错 就是隔音效果太差了。。有点吵。。。', '短评打分': 5}
