{'短评内容': '非常好的住房体验', '短评打分': 5}
{'短评内容': '浴缸很大，服务很好', '短评打分': 5}
{'短评内容': '又是选择了君悦 每次都选这家不是没有理由的，服务真的很让人舒服那种恰到好处又不过的服务真的让人舒服！商务人士建议选择这家吧 真的服务一步到位', '短评打分': 5}
{'短评内容': '非常干净。交通方便。附近景点多', '短评打分': 5}
{'短评内容': '比某程优惠，酒店干净整洁、宽敞舒适，自助早餐很好！下次还会选择君悦酒店', '短评打分': 5}
{'短评内容': '一如既往的支持，很好物流给力', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，感觉还挺不错的，价格也便宜，很赞！酒店也很不错，房间大，服务好', '短评打分': 5}
{'短评内容': '订了房，去了没房间', '短评打分': 1}
{'短评内容': '正规快捷，而且还升级套房', '短评打分': 5}
{'短评内容': '一般订了好几家都没房', '短评打分': 5}
{'短评内容': '很好很好?????，', '短评打分': 5}
{'短评内容': '在澳门待了好几年，学校就在酒店旁边，这次回去看看，正好就住在君悦了，澳门的酒店服务跟环境是没的说的，只是酒店的景色是工地，心情不太美丽', '短评打分': 5}
{'短评内容': '酒店环境没有问题，入住办理效率低，到下午五六点才办理好入住，退房要求12点，什么道理', '短评打分': 5}
{'短评内容': '第一次入住兩日，二時辦好入住手續，但要3時才可以取房咭，之前說安排了二十三樓，取房咭時說只有十七樓這間，如果不要(就不知道等到幾時有房)，態度極差，第一次入住是地盤景，還要check in 時要看入境紙，check out 又要看身份証，我住過澳門很多酒店，没有一間這樣麻煩，不會再入住。', '短评打分': 3}
{'短评内容': '干淨 房間也挺大 出去吃飯買東西都很方便', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈江河湖海就斤斤计较斤斤计较', '短评打分': 5}
{'短评内容': 'Every thing about Grand Hyatt is the best. All staff and Irene front office Manager was very accomodating', '短评打分': 5}
{'短评内容': '意想不到的房间。值了！以后再来还是住这里。', '短评打分': 5}
{'短评内容': '价格很合适 挺好的 性价比高的', '短评打分': 5}
{'短评内容': '简直物超所值，这个价钱还能住套间！', '短评打分': 5}
{'短评内容': '订了才知道要等人送房卡过来的，等半天，大厅里坐的地方都没有！真心讲，一点安全感都没有，半夜怎么办！非常非常非常后悔，可惜不能退款！携程你这样还不如不要搞！用户体验太差！', '短评打分': 3}
{'短评内容': '每次入住都感觉很好。', '短评打分': 5}
{'短评内容': '离机场不是很远，酒店环境不错，定的是套件，还比较满意。', '短评打分': 5}
{'短评内容': '个人认为，君悦在新濠天地3家酒店中是最好的一家。酒店大堂很有气派，登记轮候有次序，客人倾向高尚一点，起码大堂没有烟味，在澳门已经很难得。入住时间3点，能准时交房。前台说全店700多房间，天天爆满，以为她说的夸张，但是看到客人真的很多很多，要知道我入住那天是周一，是正常工作天！房间很干净、整洁、设备装潢不是很夸张的豪华，但是设备齐全，也有家的感觉。床单被套、毛巾拖鞋都让人感觉舒适。我们订的是标准大床', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施非常豪华，大堂很漂亮。酒店的餐饮非常好。', '短评打分': 5}
{'短评内容': '赌场一流，环境配置设施都很不错，因为大部分时间停留在赌场其它地方的需求不是很大。', '短评打分': 5}
{'短评内容': '君悦的客房非常豪华，是我住过最好的君悦酒店，房间宽敞舒适。', '短评打分': 5}
{'短评内容': '酒店的服务非常好，效率非常高，态度热情专业。', '短评打分': 5}
{'短评内容': '上次在澳门停留了几天，选择了这家酒店，对酒店印象非常好，整体的体制都非常豪华。', '短评打分': 5}
{'短评内容': '床上用品的质量很不错，值得提的是酒廊俱乐部，很有个性！', '短评打分': 5}
{'短评内容': '酒店既豪华端庄又不失简约时尚，设计独特，很夺人眼球哦', '短评打分': 5}
{'短评内容': '员工的工作效率很高，办理入住很快，前后不到5分钟就进房间了，很不错', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间干净，配套设施完善，服务也不错，性价比较高，下次还会入住。', '短评打分': 5}
{'短评内容': '赌场很大，很壮观，玩的很不错，开眼界了啊，赞', '短评打分': 5}
{'短评内容': '整个君悦的条件还是不错的.服务很周到，硬件条件也不错.市中心位置交通很方便.', '短评打分': 5}
{'短评内容': '整个君悦的条件还是不错的.服务很周到，硬件条件也不错.市中心位置交通很方便.', '短评打分': 5}
