{'短评内容': '只是方便吧，有车到机场接送', '短评打分': 4}
{'短评内容': '不该自己打车过去，多花了90元打的费，因为的士不能抄近道', '短评打分': 5}
{'短评内容': '小巧', '短评打分': 5}
{'短评内容': '送机超级方便，还安排最早班车送机，叫醒很贴心，有个大叔看我抱小孩还帮我拿行李，不能再满意了，性价比高，赶飞机很好，离机场很近15分钟', '短评打分': 5}
{'短评内容': '硬件软件都很不错', '短评打分': 5}
{'短评内容': '处理很快，还不错', '短评打分': 5}
{'短评内容': '好好好好，这种价住品尚简直超值', '短评打分': 5}
{'短评内容': '环境好，服务态度好。', '短评打分': 5}
{'短评内容': '非常好，与描述的完全一致，非常满意,真的很喜欢', '短评打分': 5}
{'短评内容': '酒店的接机服务很好，然后是很卫生整洁。服务人员态度也很好~', '短评打分': 5}
{'短评内容': '住了几天还是很不错的吧，有一些细节做得好，唯一不足就是没有矿泉水和吃的东西~', '短评打分': 5}
{'短评内容': '服务态度不好', '短评打分': 1}
{'短评内容': '酒店挺好的，接送机服务到位。推荐你们来住喔。', '短评打分': 5}
{'短评内容': '方便快捷，在机场附近可以了，就这个价位，还接送机', '短评打分': 5}
{'短评内容': '因为一早的飞机，将就的住吧，主要是看中有接送机服务，整体还行', '短评打分': 3}
{'短评内容': '我和朋友三个人入住的，到杭州已经是凌晨了，酒店有接机服务 特别贴心，很早就在机场等候了，不用等 到酒店后，房间特别干净，没有异味', '短评打分': 5}
{'短评内容': '挺好，接机也给力', '短评打分': 5}
{'短评内容': '每次去都到这家酒店很好很好', '短评打分': 5}
{'短评内容': '还可以 就是离机场近 吵的', '短评打分': 4}
{'短评内容': '卫生不错，整个房间装修的都是很清新的淡绿色，其实也没有评论说的那么吵挺清净的，出门去吃了趟早餐，发现真他喵亲民，酒店环境比我订的汉庭好，到的时候凌晨一点多司机来接我电话打不通，还是他到处喊的，总而言之大家不用太担心了，大家还是挺热情的，比较冷建议大家多带衣服。', '短评打分': 5}
{'短评内容': '环境不错，来机场接的我们，早上又把我们送到机场，过几天还要住一次', '短评打分': 5}
{'短评内容': '酒店在机场附近，开车10几分钟。设置比较干净，空调也好用。缺点就是，接机，我们等了一个小时才到。浪费了我们的时间', '短评打分': 4}
{'短评内容': '离机场近，可以接送机，为了赶早班机或转机住在这里还是不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，干净，床品都很新', '短评打分': 5}
{'短评内容': '比较干净，提供免费接机，服务也不错，价位也还好', '短评打分': 5}
{'短评内容': '感觉不错，酒店各个设施都还挺新的。', '短评打分': 5}
