{'短评内容': '很适合周末度假的酒店，值得一去。下次有机会去。', '短评打分': 5}
{'短评内容': '酒店设施不是很新，洗澡水不太大，三人间面积还行，服务态度一般，所有娱乐配套设施都单收费再加百分之十五的服务费，租个泳圈十元再加2元服务费。游泳池晚8点进去时说晚十二点关门，到9点多就清场。一层中餐的菜价与菜品适宜公款。入住时没讲三层有包房KTV，从晚8点多开始酒足饭饱吃公款的人大声高歌，酒店隔音不好加之酒后，根本无法睡觉，本来是全家度假休息。在多次电话与前台交涉无果下，直倒忍无可忍亲自去前台理论，', '短评打分': 1}
{'短评内容': '这个酒店很不错，特别是外面的环境。建议春、夏、秋季去，景色怡人，度个小假的不错选择。', '短评打分': 5}
{'短评内容': '环境优美，可惜只是路过投宿，没空欣赏。下次有机会好好在那里度个周末。', '短评打分': 5}
{'短评内容': '酒店的周围环境非常优越，配置硬件设施也很好。', '短评打分': 5}
{'短评内容': '酒店的硬件很好，尤其是床很舒适，和适合休闲度假入住。', '短评打分': 5}
{'短评内容': '软硬件都很不错，环境也很好，周围也很漂亮。价格来讲还是高了些，其它都还好。', '短评打分': 5}
{'短评内容': '服务很好，员工都是周到热情的服务。感觉很温馨很舒适。', '短评打分': 5}
{'短评内容': '房间舒适感觉很上档次，配置硬件设施各方面都很不错。', '短评打分': 5}
{'短评内容': '环境很好，有水有别墅，里面也设计的很新颖，挺舒服的。', '短评打分': 5}
{'短评内容': '我的房间位置不错，能看到外面的风景，太阳晒进来暖洋洋的。', '短评打分': 5}
{'短评内容': '很满意房间里的设施，床又大又舒服，光线也好。', '短评打分': 5}
{'短评内容': '服务生穿的很整洁，干起活来也很利索，服务周到。', '短评打分': 5}
{'短评内容': '公司组织来度假的，泡了泡温泉，很舒服，还能打保龄球和游泳，下次还能来就好了。', '短评打分': 5}
