{'短评内容': '酒店很大，位置也不错，就是稍微有点吵，设备有些旧了', '短评打分': 5}
{'短评内容': '就是所处位置比较好。但是三星级酒店里面设施太陈旧，住的那间房子好大一股味道。这个价格不值，还不如住七天。', '短评打分': 5}
{'短评内容': '一直没入住过该酒店，第一次感觉一般。但很便宜。瑞士brugg集团成员 布鲁克', '短评打分': 3}
{'短评内容': '位置好，就在新华广场对面。卫生还好，服务也行，但是设施一般，有点旧，而且卫生间里面有点简陋，不太符合三星级的宾馆。', '短评打分': 5}
{'短评内容': '，客房环境还挺好的！', '短评打分': 3}
{'短评内容': '酒店比较陈旧，花200多住感觉不值。好在还干净。', '短评打分': 3}
{'短评内容': '已住8403房', '短评打分': 3}
{'短评内容': ',酒店地段挺好的，出行挺方便的', '短评打分': 3}
{'短评内容': '性价比较高，位置不错，就是房间较小，也比较旧，还算可以', '短评打分': 5}
{'短评内容': '除了地理位置好 其它都不值得推荐\n设备陈旧 空调不管用 超级冷', '短评打分': 1}
{'短评内容': '还不错，就是房小了点，摆设有点陈旧了，不过服务很好！', '短评打分': 5}
{'短评内容': '该酒店交通方便，马路对面即是机场大巴的始发站！', '短评打分': 5}
{'短评内容': '还可以，挺干净的，就是床有点硬', '短评打分': 3}
{'短评内容': '房间设施比较老旧，房间小。地理位置很方便。如果价格合适，值得住。', '短评打分': 5}
{'短评内容': '房间比较小，设施比较旧。但位置还可以。离火车站还有市中心都不远。', '短评打分': 5}
{'短评内容': '近火车站与机场大巴总站，交通购物便利，方圆200米内银行有近10家，大款住的话提款方便啊哈哈', '短评打分': 5}
{'短评内容': ' 对面新华广场，搭机场大巴方便。北边是火车站，南边有购物商场。', '短评打分': 3}
{'短评内容': ':环境不错,设备还好用,热水出水小点,宽带刚刚够用.', '短评打分': 3}
{'短评内容': '住的很舒心，房间里又加了两个大衣柜', '短评打分': 3}
{'短评内容': '服务周到', '短评打分': 3}
{'短评内容': '位置很好，对面就是机场大巴，对于要坐飞机的人很适合，因为在呼市打到车如同中彩票。', '短评打分': 5}
{'短评内容': '电脑房的电脑很好，运行速度很快，桌面系统很全。餐食一般，巴彦塔拉饭店一楼的餐厅很不错。', '短评打分': 5}
{'短评内容': '很好的酒店 下次还会入住！！每次都住在这里！很方便！性价比是比较高的酒店！！服务也很好！！还有为什么这个点评需要写50字以上？？？简短的点评不是更好？', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店设备陈旧', '短评打分': 3}
{'短评内容': '酒店的位置很好，位于繁华的商业中心，马路对面有机场大巴的乘车点是我订这家店的主要原因，房内的条件也可以，家居稍老了些', '短评打分': 5}
{'短评内容': '不错很好，每次开会都到这里，很方便,我向大家推荐', '短评打分': 5}
{'短评内容': '什么广场景观房那是相当的吵，卫生条件很差根本不值这个价钱，停车要收十块钱，网速很慢，早餐十元钱意味着早餐很差，不会再去住了。', '短评打分': 1}
{'短评内容': '地毯很脏，停车要收钱，卫生间墙上还有客人留下的头发，服务人员倒还是很热情。', '短评打分': 1}
{'短评内容': '太差了，服务员态度也差，最后开发票时把金额居然也给开错了', '短评打分': 1}
{'短评内容': ' 迎宾商务大床房不值那个价钱，不过前台的服务态度很好！', '短评打分': 1}
{'短评内容': '入住的是贵宾楼标间，电视频道信号较差，数量较少，没体育频道，枕头很舒服，性价比还可以。', '短评打分': 3}
{'短评内容': '酒店还是不错的 主要是位置好 紧邻机场大巴站', '短评打分': 5}
{'短评内容': '位置不错，房间偏小，略显陈旧', '短评打分': 3}
{'短评内容': '你想享受无马桶垫圈入厕的生活吗？本来有，因为坏了，提意见了，干脆撤了。你想找气受吗，来住此店吧。', '短评打分': 1}
{'短评内容': '本来选择这家酒店就是看到对点评还不错，住过之后，我对自己评判酒店的标准产生了怀疑。由于酒店前台收银员的一个过错，导致餐厅（可能是外包，因为服务员说她们是另一单位的）服务员不让我和父母、孩子吃晚饭，必须让我当场去临街大堂解释清楚，拿出收据都不行，吃完饭再去也不行。真是气死人！酒店就这种管理水平，一定是中间环节有问题，怎么跟服务员解释都不行，我暗示我去大堂一定会吵他们的，服务员似乎很幸灾乐祸。无语，有', '短评打分': 1}
{'短评内容': '交通位置很好，处于市中心，房间一般，卫生间比较小，早餐不是太好，只有咸菜，还有我住的是单人间，窗户正好对的是消防楼梯，经常有人进出打电话，不是太方便', '短评打分': 5}
{'短评内容': 'good 但是室内装修有些陈旧，浴巾和小毛巾都旧了。 希望贵酒店尽快更新', '短评打分': 5}
{'短评内容': '该酒店交通很方便！性价比也不错，惟独不足的地方就是早餐很寒惨。', '短评打分': 3}
{'短评内容': '在这个价位已经不错了，而且坐飞机对面就是机场大巴，很方便！', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '环境不错值得推荐', '短评打分': 3}
{'短评内容': '还不错，就是有些旧，酒店的饭店的口味有些咸，有点吃不惯，地点挺好，靠近市中心，去买东西挺方便的', '短评打分': 5}
{'短评内容': '  ok', '短评打分': 3}
{'短评内容': '总体还行 房间味道太大！', '短评打分': 3}
{'短评内容': '地理位置好，房间提供电脑可上网，但是房间较小，有点潮；\n', '短评打分': 1}
{'短评内容': '酒店位置很好，很方便出行，门口就有公交车到机场，房间设施比较齐全。', '短评打分': 5}
{'短评内容': '走廊装修很好，灯光很有感觉，房间里面有点旧和小，总体经济型还算可以。', '短评打分': 5}
{'短评内容': '总体还好,就是屋里有点潮', '短评打分': 3}
{'短评内容': '还行,挺好的。贵宾楼安静。就是床睡着不舒服，席梦思需要更换咯', '短评打分': 5}
{'短评内容': '酒店在市中心，在新华广场的东边，很方便，如果你晚上想在广场玩儿。另外离火车站很近，如果打不着车，步行一会儿也就到了。\n', '短评打分': 5}
{'短评内容': '床太小了，晚上骚扰电话太准时了。 刚回屋不到30秒，电话开响', '短评打分': 5}
{'短评内容': '性价比挺好，地理位置不错', '短评打分': 3}
{'短评内容': '酒店在市中心，在新华广场的东边，很方便，如果你晚上想在广场玩儿。另外离火车站很近，如果打不着车，步行一会儿也就到了。', '短评打分': 5}
{'短评内容': '房间很干净，前台的服务人员也很热情，位置很好。建议入住。', '短评打分': 5}
{'短评内容': '位置还可以，就在市中心，离火车站很近，价格还可以，但是还有特价房，每晚才有130元', '短评打分': 5}
{'短评内容': '性格比很高，环境也很好。周边有很多大商场。', '短评打分': 5}
{'短评内容': '不错不错不错，性价比高交通方便，购物方便，去火车站 去机场都方便', '短评打分': 5}
{'短评内容': '酒店位置不错，方便，干净，但没有早餐很不方便', '短评打分': 5}
{'短评内容': '性价比不错,态度挺好,为客人着想,,,,,,,,印象挺好的,,,出差住这还行', '短评打分': 5}
{'短评内容': '还行吧,服务员态度比较亲切.老住的了..不错不错,,,', '短评打分': 5}
{'短评内容': '前台较亲切,就是网上价与前台价差别有点大,,', '短评打分': 5}
{'短评内容': '经济类酒店，还不错', '短评打分': 3}
{'短评内容': '房间环境不错，就是空间有点小，帮别人定的，反馈不错。', '短评打分': 5}
{'短评内容': '算是不错的，刚开始入住的房间网络不行，换了房间网络可以了，服务态度还是有点生硬，应该有提升的空间', '短评打分': 5}
{'短评内容': '总体还行，性价比不错。缺点窗帘质地比较薄，影响早上的睡眠。', '短评打分': 5}
