{'短评内容': '物有所值，性价比高', '短评打分': 5}
{'短评内容': '环境不错，前台的服务员服务热情', '短评打分': 5}
{'短评内容': '较为实惠性价比高！', '短评打分': 4}
{'短评内容': '热水来很快，房间也上档次', '短评打分': 5}
{'短评内容': '酒店房间隔音不好，隔壁说话都听的见！大堂和楼层走道灯光太昏暗了！房间里面的设施还是听齐全的，其它一切都还好', '短评打分': 5}
{'短评内容': '1234567890987654321', '短评打分': 5}
{'短评内容': '一般般八', '短评打分': 4}
{'短评内容': '服务不好 前台态度恶劣', '短评打分': 4}
{'短评内容': '还不错，交通方便吃得多', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '非常好，民风淳朴，价格给力', '短评打分': 5}
{'短评内容': '房间设施老化，环境不怎么好，房间有霉味', '短评打分': 5}
{'短评内容': '酒店的装修风格我很喜欢，比较现代洋气。因为预定的风尚大床房，就是在楼中间没有窗户，估计是通风系统不够到位，房间里总是有股散不去的味道。好在我们是赶路路过，累了睡一觉就走…………', '短评打分': 3}
{'短评内容': '环境不错，交通便利，舒适', '短评打分': 3}
{'短评内容': '还不错，地理位置好.', '短评打分': 3}
{'短评内容': '总体感觉还行，房间可能是设施比较旧点的缘故，有点异味，灯光比较暗。', '短评打分': 3}
{'短评内容': ' 房间里面还是挺干净的，不错。住过两次了', '短评打分': 3}
{'短评内容': '环境还不错，就房间小了点', '短评打分': 3}
{'短评内容': '酒店的装修比较现代 床很软比较舒服 不足之处是早餐非常简单 就是法式小面包加纯牛奶 还有卫生间装修很落后 居然没有做干湿分离 洗澡水也比较小 不是很舒服', '短评打分': 5}
{'短评内容': '酒店大堂和走廊装修有那么点艺术气息。空调很暖和，就是噪音有点大，电脑上网速度比较快。终于看到了前面点评里传说中的卫生间玻璃门，呵呵，四周果然是透明的，也没有帘，要是普通朋友一起住确实有点尴尬，建议酒店在外侧装个帘子。早餐是送到房间里，没有餐厅，但因为七点半才送，我们早上急着赶路，就没体验到这项服务。酒店旁边有家川菜馆，晚上吃饭方便些。', '短评打分': 5}
{'短评内容': '豪标很舒服，有电脑，环境也不错，就是门外的声音隔不住，虽然不吵。总体还是不错的，有机会我还会来这。', '短评打分': 3}
{'短评内容': '装修有特色，屋子很大，物超所值', '短评打分': 3}
