{'短评内容': '环境不错！挺好的！', '短评打分': 5}
{'短评内容': '非常非常小……进门一眼可以看完整个房间，包括全玻璃的厕所。定之前问老板离万达多远，回答十五分钟走路，入住之后才知道，走路三十分钟不止，关于这点很生气。应该是刚修的，走廊上还有装修的味道。还算干净，可能因为下雨，厕所有点臭。窗户不起作用，通风不好。', '短评打分': 3}
{'短评内容': '很不错睡的很舒适踏实服务卫生都很好下次过来还住这推荐一下', '短评打分': 5}
{'短评内容': '老板和老板娘态度很好，很热情，房间干净又温馨！性价比很高的一个宾馆！', '短评打分': 5}
{'短评内容': '老板娘非常爱干净，房间打扫的很干净；wifi非常强，酒店位置靠近地铁，出行很方便。小店性价比很高，非常适合自费住宿。', '短评打分': 5}
{'短评内容': '还不错，离学校比较近。价格不高，比较亲民。找了半天，只有这家还有房，就赶紧先定了。还行，没有出差错。', '短评打分': 3}
{'短评内容': '第二次选择他们家了，总体感觉不错的', '短评打分': 3}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '还不错，，，，，，，，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '小店挺小，实在订不到房了，没办法了。周边在修路，估计到年底了，对住宿没有要求的，建议入住。', '短评打分': 3}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '老板很热情 就是wifi信号有点弱阿', '短评打分': 4}
{'短评内容': '离工作地点近一些', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
