{'短评内容': '一般般，性价比还算可以，毕竟价格在那里。', '短评打分': 4}
{'短评内容': '环境不错哦，位置也很棒', '短评打分': 5}
{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '地理位置优越 吃饭逛街方便的很', '短评打分': 5}
{'短评内容': '还可以。，很实惠，住着还是舒服的', '短评打分': 4}
{'短评内容': '地段很好，满意，下次来绍兴还选这一家！', '短评打分': 5}
{'短评内容': '还行吧，这几天下雨，有点冷', '短评打分': 4}
{'短评内容': '进门地上乱七八糟的是装修材料，前台只有一个打瞌睡的服务员，态度可以想象。设施真的很旧很破，房间门都打不开，里面墙壁什么的都是破的，只有一个插座，其他都自行脑补吧…反正这是我住过的最差的酒店，就算提前退扣当天钱我也立刻和朋友离开了！', '短评打分': 1}
{'短评内容': '还行吧，价格差不多', '短评打分': 4}
{'短评内容': '第二次住，比第一次房间差很多，反而还贵了。本就是觉得不错才去的，一般吧', '短评打分': 5}
{'短评内容': '过节的时候去，这个价格还是非常优惠的', '短评打分': 5}
{'短评内容': '其实就是一般般吧', '短评打分': 3}
{'短评内容': '交通方便，房间设施也不错～', '短评打分': 5}
{'短评内容': '很满意的、离市区很近很方便。', '短评打分': 5}
{'短评内容': '地面不是很干净，没有吹风机', '短评打分': 3}
{'短评内容': '酒店有点老了，位置在市中心很方便，离店刷交行卡酒店未告知能有折扣，离店银行告知说能有8折优惠 对酒店印象很不好', '短评打分': 1}
{'短评内容': '蛮不错的，早餐也不错。就是在绍兴的话有点小贵', '短评打分': 5}
{'短评内容': '第二次入住了，毛巾浴巾有洞的问题还是没有解决，其他都还不错！', '短评打分': 5}
{'短评内容': '本人也是做酒店的，也许评价会苛刻点，不过总体来讲还算不错，可以给个好评。前台经理还是比较负责的，很有礼貌也很热情。前台服务员和客房服务员可能是新来的，服务还不够标准，在礼貌度和热情度都有待提高。希望下次来时能有所改正。房间的五巾望贵酒店能够及时关注与更换一下，有毛边的，破洞的五巾总是让人觉得心里不舒服吧。其他的都还不错，周边环境也很好，可以给予肯定！', '短评打分': 5}
{'短评内容': '早餐形同虚设，太烂了，房间还凑活，不过感觉有点像钟点房，卫生间很大，但感觉是快捷酒店的样子。', '短评打分': 1}
{'短评内容': '地段很好，出去哪里都方便，早餐略微简单了点', '短评打分': 5}
{'短评内容': '环境还OK，就是前台一个小姐服务态度不好', '短评打分': 3}
{'短评内容': '很舒服，环境也不错', '短评打分': 3}
{'短评内容': '市中心方便', '短评打分': 3}
{'短评内容': '4楼的双人床洗脸盆放在房间走廊边，淋浴喷头冷热不均而且出水量很小，根本不能洗澡。', '短评打分': 5}
{'短评内容': '酒店服务态度非常好,下次再住', '短评打分': 3}
{'短评内容': '还不错。挺好的。', '短评打分': 3}
{'短评内容': '环境不错，交通方便，服务也好，早餐挺丰富的，房间很整洁。', '短评打分': 5}
{'短评内容': '位置不错。服务态度很好~到哪里都是步行~~~性价比高~就是稍微有点旧~~大致是不错的。', '短评打分': 5}
{'短评内容': '很好很干净管理也很好...............', '短评打分': 5}
{'短评内容': '酒店不错,市中心,方便。', '短评打分': 3}
{'短评内容': '酒店环境不错,在繁华区,距古镇很近。', '短评打分': 3}
{'短评内容': '交通方便，就是隔音真心不是太好。', '短评打分': 3}
{'短评内容': '酒店有点旧，但是服务态度蛮好的！很照顾有带宝宝的顾客', '短评打分': 3}
{'短评内容': '酒店蛮好的，晚上睡觉很安静，还有早餐可以吃。', '短评打分': 5}
{'短评内容': '还是很喜欢这家酒店，每次去绍兴每次入住，我和老公都很满意', '短评打分': 5}
{'短评内容': '环境不错，装修有品位，就是空间不够大！交通还是挺方便的，早餐不错！', '短评打分': 5}
{'短评内容': '酒店位于市中心，价格不是很贵，还能提供早餐，下次还会住', '短评打分': 5}
{'短评内容': '还不错 就是洗澡水太黄 早餐木有肉 服务也行 ', '短评打分': 5}
{'短评内容': '不错的。。。。。壁画很漂亮，客服太度很好。。。', '短评打分': 3}
{'短评内容': '酒店还不错 靠马路这边有些吵', '短评打分': 3}
{'短评内容': '酒店的地理位置还可以，打车也比较方便，房间也比较整洁。靠近马路的房间实在太吵了，隔音效果很不好，严重影响睡眠，早餐就更不值得提了，品种少的可怜，没甚麽可吃的', '短评打分': 1}
{'短评内容': '交通很方便，周围购物吃饭的地方也多的。订的是大床房，房间感觉有点小，还有就是没窗户，屋内很闷，不知道是否有带窗户的房间，睡觉的时候不怎么舒服。早饭7点半去吃，是迟了还是什么原因，基本没啥可吃的。望能有所改进，谢谢。', '短评打分': 5}
{'短评内容': '一直住这里。。。。。一向不错。。。希望以后能更好', '短评打分': 5}
{'短评内容': '标准双人房，面积很大，家具不多，显得比较宽敞。卫生间够大，但是未装淋浴房或浴帘，干湿不分。空调不够强劲，洗澡较冷。卫生不错，设施齐全。没碰到别人说的其他一些问题。位置不错，离鲁迅故居很近，最多15分钟步行，不远的公交站有直达兰亭的公交车。', '短评打分': 5}
{'短评内容': '我住的是大床房，蛮好的宾馆，很温馨，用品齐全，卫生间也挺好，但是不是说有40平米吗，怎么只有20平米的样子？房间明显没有照片上的大，这点让我郁闷', '短评打分': 5}
{'短评内容': '优点:低端绝佳,人民路解放路口全城正中央,住这里在绍兴干什么都方便.\n缺点:临街的大床房非常吵,空调运行时声音很大,写字台没有台灯,房间楼道都有一股淡淡的黑胡椒味.', '短评打分': 5}
{'短评内容': '酒店在市中心，出行非常方便，房间还是比较干净的，晚上也很安静。不错，下次有机会还会去的', '短评打分': 5}
{'短评内容': ',住得还可以，早餐不好，可能是过年的关系吧', '短评打分': 3}
{'短评内容': '酒店的环境还行,只是热水太糟糕了。不是没有就是黄河水一样得泥巴水。愁人。', '短评打分': 3}
{'短评内容': '酒店还行，就是小了点', '短评打分': 3}
{'短评内容': '不错，早餐挺好，地处市中心，交通便利。下次还会入住。', '短评打分': 5}
{'短评内容': '房间较小，空调外机声音较响，价格偏贵，优点是地段很好', '短评打分': 5}
{'短评内容': '房间的隔音效果不是很好，靠窗的房间有点吵。', '短评打分': 5}
