{'短评内容': '位置好，出行方便，飘窗海景赞', '短评打分': 4}
{'短评内容': '离海边很近 房间住的也很舒适 下次来三亚还会选择这里', '短评打分': 5}
{'短评内容': '位置很好，有飘窗正对大海，卫生间简陋了些，性价比不错', '短评打分': 4}
{'短评内容': '环境不错 直接面对海 景观不错', '短评打分': 3}
{'短评内容': '直接面对海 不错 对面的景观也不错', '短评打分': 5}
{'短评内容': '环境挺好 可是态度太差劲了 为了一点点小钱弄的不愉快', '短评打分': 2}
{'短评内容': '价格适中，设施一般，是高层住宅的一个套间做成的几间房，有海景的也有小房间。房东住其中一间。', '短评打分': 4}
{'短评内容': '1、价格很便宜，房间条件很好（当然不要和5星级酒店比较）；\r\n2、小区位置很好，离海近，海景房，若是浪漫的情侣很适合。\r\n3、小区离公路海边很近，汽车和海浪的声音比较大。若是需要安静的人，自己决定。\r\n4,、吃饭是个问题，若想吃好，还是自己做吧。', '短评打分': 5}
{'短评内容': '不错，公交方便，海景也不错。就是吃饭不太方便，不过去市区1块钱公交，几站就到了', '短评打分': 5}
{'短评内容': '很不错的服务，很干净的房间，下次还来', '短评打分': 3}
{'短评内容': '由於各種原因，昨晚半夜兩三點才入住，各種溫馨的房間。老闆也很好。謝謝，給了我們物有所值的入住體驗。', '短评打分': 3}
{'短评内容': '房东叔叔人很好，，，', '短评打分': 3}
{'短评内容': '很好,老板也很好', '短评打分': 3}
{'短评内容': '很好，第一印象，干净，有家的感觉，虽然没能直面海，但是晚上回来静坐阳台吹海风也很爽，下次全家来的时候租他们的套房，期待…', '短评打分': 5}
{'短评内容': '恩，非常不错，小区环境好，房间布置温馨，更难得的是店家一家人都很热情，乐于助人，帮我保存行李，热情推荐美食，下次来三亚这家是首选!', '短评打分': 5}
{'短评内容': '旅舍很干净很舒适，和图片上没差别，很公主系，个人很喜欢。位置也方便，走两步就是海边，出门就是车站，去哪都方便。', '短评打分': 5}
{'短评内容': '收拾的很干净很舒服的旅舍~ 老板和老板娘人也很好~', '短评打分': 5}
{'短评内容': '还是很不错的，性价比很高，酒店就是用沿海的海景商品房改造的，位置很不错，面对大海、水清沙白。\n\n去的时候还免费升级成了豪华套房，自己拿着钥匙想住家一样，感觉还是不错的。', '短评打分': 5}
{'短评内容': '小区环境还不错，过马路就是海边，楼下吃早餐很方便，房间也很温馨，住了5天总体来说还算满意的', '短评打分': 3}
{'短评内容': '酒店蛮好的，各方面都还行，卫生和服务做的都到位，房间舒适度很好', '短评打分': 5}
{'短评内容': '房间卫生条件挺不错的，很干净，硬件齐全，服务还行，价格能接受', '短评打分': 5}
{'短评内容': '位置还行，距离商业街，步行街都蛮近的，酒店门口就是海，环境蛮好的，总体来说我们都比较满意', '短评打分': 5}
