{'短评内容': '总体来说还是可以，酒店的海鲜很新鲜，外观虽然是稍微有些老旧，内部装修还不错，房间够大，不足之处是热水出的满一些，而且总是有人往房间里塞小卡片！！', '短评打分': 5}
{'短评内容': '可以吧', '短评打分': 5}
{'短评内容': '还不错 比较安静', '短评打分': 4}
{'短评内容': '很安静，没有打扰，但地上的一大堆小卡片看着不舒服。早餐很好，品种不是好多，但吃着还是蛮舒服的，不错！', '短评打分': 4}
{'短评内容': '建议增加梯控。', '短评打分': 4}
{'短评内容': '总体不错，性价比还行，小卡片太多酒店管不住，建议增加梯控；', '短评打分': 4}
{'短评内容': '还算物有所值，给好评。', '短评打分': 5}
{'短评内容': '本来有房间说没有', '短评打分': 3}
{'短评内容': '房间很大，很安静，中式早餐还不错，周边交通，吃饭，购物都挺方便，欧尚步行5到10分钟，世纪东方广场打的起步价', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好不错', '短评打分': 5}
{'短评内容': '酒店挺干净的，实惠！', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '面积大，住了几次了，还行!', '短评打分': 5}
{'短评内容': '酒店整体还好，离世纪东方很近。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境好，出行方便，房间整洁干净', '短评打分': 5}
