{'短评内容': '房间较小但卫生搞的很干净，适合快节奏住一晚就行的达人。', '短评打分': 5}
{'短评内容': '性价比比较高，比我再某8订的198元的环境好，干净卫生，出差旅游住这挺划算的。交通方便。', '短评打分': 5}
{'短评内容': '很不错，服务好', '短评打分': 5}
{'短评内容': '价格便宜  环境一般', '短评打分': 4}
{'短评内容': '酒店人员超级好帮我免费升级大床房。床上也挺干净的，后面就是小区，比较安静。相对我来说觉得床太软啦。哈哈，睡硬的习惯了。总体还是不错的', '短评打分': 5}
{'短评内容': '房间进去有臭味！', '短评打分': 1}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '干净卫生，房间隔音较差，房间空间小', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 3}
{'短评内容': '房间隔音效果差，反复被外面的声音吵醒，糟糕。', '短评打分': 3}
{'短评内容': '哈哈，不错的，最主要实惠', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境舒适，服务周到，非常满意', '短评打分': 5}
{'短评内容': '房间较小，卫生一般，浴巾不更换的情况也有。服务一般，位置比较好。离市中心很近，交通便利。不过价格还算便宜。', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '位置不错，小区里很安静', '短评打分': 5}
{'短评内容': '感觉小了点', '短评打分': 3}
{'短评内容': '虽少了点，但设施还算全，麻鸟小，五脏全，有早餐就更好了', '短评打分': 5}
{'短评内容': '定了两间·都不错··就是房间小了点·其他都还不错························', '短评打分': 5}
{'短评内容': '在街区里面··比较安静··楼下就有早餐铺很方便···过一个红路灯有一家粗菜馆还不错··就是房间比较小···', '短评打分': 5}
{'短评内容': '旁边有街道，吵了一点，不过周围小吃多，还可以啦，房间小了一点，性价比得考虑下', '短评打分': 3}
{'短评内容': '地段比较好，离城站比较近，打的的话，起步价内。周围逛街什么的，也很方便。\n订的是特价大床房，虽然房间小，但是比较温馨，也很干净。除了必备的用品外，房间里还有干衣机，很好。下次过来，还会住这里，\n', '短评打分': 1}
{'短评内容': '酒店还算干净＇不错', '短评打分': 3}
{'短评内容': '还可以，就是有点吵，来四季青大酒店开会的，距离还行。', '短评打分': 5}
{'短评内容': '周边环境较差，而且酒店本生也不好，屋顶还发霉，房间很潮湿！', '短评打分': 1}
{'短评内容': '＋房间整洁，通风不是很好，值得入住', '短评打分': 3}
{'短评内容': '挺干净，煎饺很好吃，店的光效也不错，4楼很安静~~~~~~~~', '短评打分': 5}
{'短评内容': '还行，就是特惠房类似半地下室，刚进门的时候有点味道。', '短评打分': 3}
{'短评内容': '＋隔音太差！', '短评打分': 3}
{'短评内容': '楼下的煎饺很好吃,交通还是很方便的,下次还会光临', '短评打分': 5}
{'短评内容': '特惠所以在有些地下的一楼，有些潮湿，空间小，但交通方便，巷口有新丰小吃，超市也很多。比较满意。', '短评打分': 5}
{'短评内容': '房间里有油烟味', '短评打分': 3}
{'短评内容': '房间很小', '短评打分': 3}
{'短评内容': '挺好的，多次来', '短评打分': 3}
{'短评内容': '房间有点小，但还算好。', '短评打分': 3}
{'短评内容': '进门就有很大的味道，房间也很小，地理位置也是很方便能找到，大床房不值那个价格。因为就住一个晚上，只能将就下，以后还是订杭州市中心点的地方好了。', '短评打分': 1}
{'短评内容': '很干净,服务很好,就是一楼有点吵,其他都还好', '短评打分': 5}
{'短评内容': '酒店前台的服务员有待提高服务质量，服务态度不是太好，算是马大哈型的服务和杭州的旅游城市不相符。', '短评打分': 5}
{'短评内容': '性价比高,靠路口的房间有点吵,但总体比不带窗户的房间好多了', '短评打分': 5}
{'短评内容': '房间太小，走动时写字台前的椅子都碍脚，外边煎饺的鼓风机很响，很吵。', '短评打分': 1}
{'短评内容': '如家的老样子，很不错。房间有些憋气。整体不错。', '短评打分': 5}
{'短评内容': '房间还是蛮干净的，就是空间小了一点', '短评打分': 3}
{'短评内容': '房间有点小,但是相对于价格那还是可以的.\n但是洗澡的时候发现下水道有问题 水会积很多.而且浴巾有一条上面还有血渍.希望能改进下', '短评打分': 5}
{'短评内容': 'very good service and well-mannered front desk person.  The location is quite convenient too.', '短评打分': 5}
{'短评内容': '酒店房间太小,没有电梯,有点受不了,而且也不是太好找', '短评打分': 1}
{'短评内容': '非常满意，交通也很方便。靠近城站，我订的是十年感恩标准房。原来很担心没有窗户\n，后来发现是有的。来杭州看病，住住非常好，旁边都是医院。', '短评打分': 5}
{'短评内容': '房间是比较小，但性价比还是很不错的酒店。', '短评打分': 5}
{'短评内容': '地理位置还行 房间么有点小 但是可以接受 就是厕所居然没有门。。。。还有就是隔音效果不咋滴。。。', '短评打分': 5}
{'短评内容': '装修风格不错，很温馨。地理位置不错，离西湖很近。不错', '短评打分': 5}
{'短评内容': '隔音真的很差。其他都还满意，没餐厅，但楼下的煎饺真好吃。', '短评打分': 5}
{'短评内容': '酒店比较安静，在这个地段也还算实惠。房间比较小，没电梯。', '短评打分': 3}
{'短评内容': '不错，不错。价格低，位置也还可以。可以推荐。性价比比较高！', '短评打分': 5}
{'短评内容': '地方不是很大，但是设施很齐全，觉得很温馨~', '短评打分': 5}
{'短评内容': '房间太小，周围的环境不是很好，很嘈杂，隔音效果也不是很好，但是服务很满意，给你好评吧', '短评打分': 1}
{'短评内容': '房间不大，噪音大，地理位置还可以，有停车场，主要是比较经济', '短评打分': 5}
{'短评内容': '房间比较清洁，但无纱窗，有蚊子。周围环境不大好，清早就听见鸡叫。', '短评打分': 5}
{'短评内容': '房间太小，跟其他的如家没法比', '短评打分': 3}
{'短评内容': '虽然很小但很干净,电视节目很多,服务态度也很好,旁边就是小吃很方便', '短评打分': 3}
{'短评内容': '隔音太不好一晚上挺黄片', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '小店还不错，虽然比较小，服务还不错', '短评打分': 3}
{'短评内容': '价格公道，位置不错，房间半地下，采光不提了，服务很到位！', '短评打分': 5}
{'短评内容': '位置不错，周围也方便，在杭州来说这个价钱算是很合理公道的了', '短评打分': 5}
{'短评内容': '酒店位置很好，也很干净，很满意！下次去杭州首选这家。', '短评打分': 5}
{'短评内容': '10月2号晚上住的双人房，那天共订了2个房间，一个汉庭，一个如家，对比起来如家简直是天堂，汉庭是地狱，我不是有意要中伤汉庭，这是事实。反正这次住如家还是很满意的', '短评打分': 5}
{'短评内容': '房间有点小 呆里面感觉有些压抑 隔音效果也是不好 ', '短评打分': 5}
{'短评内容': '位置还可以，房子小了点，设施简陋，住一下而已~~~~', '短评打分': 5}
{'短评内容': '太小了，是我住过的最小的如家，又不能用银行卡，不知道是不是真如家', '短评打分': 1}
{'短评内容': '很小的酒店。 没有电梯， 房间比较小。 胜在位置好，早餐方便。 ', '短评打分': 5}
{'短评内容': '硬件很一般，停车场很小不太方便，而且不好找。', '短评打分': 1}
{'短评内容': '很不错啊，真有家的温馨啊，就是 路不太方便', '短评打分': 5}
