{'descr': '环境不错就是有点吵', 'star': 5}
{'descr': '住的舒适感还行', 'star': 5}
{'descr': '很不错，干净卫生性价比高', 'star': 5}
{'descr': '酒店周边没什么吃饭的地方，定的时候就是图离寒山寺比较近，走路就可以过去了，房价便宜，房间也宽敞，就是吃饭比较不方便。不过走个十分钟，有两家小饭馆，坐的太湖白鱼，白虾之类的特色菜都还不错', 'star': 4}
{'descr': '其他都好就是三楼是KTV晚上睡觉会嘈，卫生可以 没有早餐 有停车场 住四楼以上的就比较麻烦 晚上会闹', 'star': 5}
{'descr': '酒店位置很好找，环境不错，早餐很好唯一的问题楼下KTV有时会有影响。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '不错就是白天太吵了', 'star': 5}
{'descr': '离寒山寺景点比较近，位置交通还算比较方便。价格属于中等价格，房间挺宽敞，卫生不错，作为快捷酒店来说值得推荐', 'star': 4}
{'descr': '还不错', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '去苏州马拉松住的，连锁酒店价格不贵，也比较干净，不过周边吃饭的地方有点少', 'star': 4}
{'descr': '地方还行，就是有点偏', 'star': 4}
{'descr': '酒店很好找，跟寒山寺距离很近，就是隔音效果不怎么好，晚上有人唱KTV有点吵', 'star': 4}
{'descr': '太吵了', 'star': 3}
{'descr': '一般特价房太吵，简直不能睡觉', 'star': 4}
{'descr': '挺好的，都不错', 'star': 5}
{'descr': '挺好的，都不错', 'star': 5}
{'descr': '非常满意哦，在小河边上环境很好，门前可以停车，去寒山寺非常近，离买婚纱的地方也不远。酒店挺新的，电梯还挺高级。。总之下次再去苏州还会住在这里', 'star': 5}
{'descr': '最近住进去老不舒服了！！！房间的吹风机是坏的！地毯很脏！最最重要的是隔壁在装修！吵死啦！吵死啦！吵死啦睡觉！！！', 'star': 3}
{'descr': '莫泰快捷酒店比七天好多了，设施齐全，值得推荐', 'star': 5}
{'descr': '很不错蛮干净\n\n双尾鱼游来游去:-)', 'star': 3}
{'descr': '这个酒店还行，不过提个缺点，房间的隔音效果差了点', 'star': 5}
{'descr': '性价比还好.起初宽带不能用,工作人员非常快地给解决了.不过我订的这个特价房非常冷,也许是因为房间太空.空调明显不起作用.而且周围不知道在干嘛,吵得厉害,基本上没怎么睡好.不过还好只住了一天,如果长住的话,请事先打电话问酒店问清楚这些事情才好.交通还是很便利的,去虎丘或是山塘都很近的.', 'star': 5}
{'descr': '环境很好，最棒的是房间里面有吹风机，很好哦', 'star': 3}
{'descr': '酒店离寒山寺较近，我住的是上午大床房，房间卫生还可以，但设施较简单，装修简洁，比较安静。服务员态度还可以。', 'star': 5}
{'descr': '还不错，就是觉得我住的房间小了点。。。。  ', 'star': 5}
{'descr': '交通不是很方便，门口只有一辆406。到寒山寺很近，附近还有个西园，听说蛮好的，有机会下次去玩玩。附近不是太方便，可能是过年的原因吧，饭店也很少，想买点东西晚上逛逛也没机会，离石路还是蛮远的。酒店的隔间不太好，半夜隔壁小孩哭听得很清楚，走廊上声音也很大，不知道半夜了还在干什么，酒店其他设施还不错，都蛮好的。', 'star': 5}
{'descr': '离虎丘还是满近的 也挺清净的 唯一不好的是出租车经过的很少 而且没有到虎丘的公交车', 'star': 5}
{'descr': '房间干净，床褥舒适，近枫桥及寒山寺景点，在此景点周边可考虑入住；\n周边饮食及交通不够方便（仅406路），打的稍难。\n无矿泉水，不送早餐，房间太小，性价比一般（我入住的可是豪华双人间）。', 'star': 1}
{'descr': '新开的，很干净，房间空间也很大～值得～～～～', 'star': 5}
