{'短评内容': '酒店还行，住得还蛮舒服的', '短评打分': 5}
{'短评内容': '很好，环境不错', '短评打分': 5}
{'短评内容': '价格挺实惠的，房间宽敞，近商业街，楼层低的话有点吵，其他都还好', '短评打分': 4}
{'短评内容': '位置在灵峰广场附近，方便，有停车场', '短评打分': 5}
{'短评内容': '比较便宜，而且处在商业中心，出门就是很繁华的商业街。酒店设施偏老旧，有种冷冷的感觉，就住了一晚', '短评打分': 4}
{'短评内容': '经济型酒店，在灵峰广场附近，容易找，有停车场，靠近贺州商业圈，逛夜市方便，由于靠路边，睡觉有些嘈，总体好评。', '短评打分': 4}
{'短评内容': '位置中心，隔音好，房间干净整洁', '短评打分': 5}
{'短评内容': '房间卫生差得离谱，连小强都有，卫生间的玻璃杯都是污垢，简直没清洗过。要求换房间的时候，房间服务员态度恶劣，最后换了一间也是不理想的，希望大家谨慎入住。', '短评打分': 1}
{'短评内容': '床头没插座。充个电麻烦。。', '短评打分': 5}
{'短评内容': '还行吧。一般般', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '挺好的 女朋友喜欢', '短评打分': 5}
{'短评内容': '很不错的，市中心，购物逛街都很方便！', '短评打分': 5}
{'短评内容': '住在那里喂了一个晚上的蚊子，几乎没睡着过，垃圾得不能再垃圾了！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边吃东西方便，但房间有异味。', '短评打分': 3}
{'短评内容': '给个好评吧，设备设施算是比较陈旧了！', '短评打分': 5}
{'短评内容': '酒店环境设备太差！空调又响又不冷、热水又不热、卫生差、临街吵闹、差差差！', '短评打分': 3}
{'短评内容': '好评，房间很好，交通很方便附近吃东西也很方便。', '短评打分': 3}
{'短评内容': '位置好 方便 就在灵峰广场对面 可前台服务态度实在恶劣 好像求着来住似的 特别影响心情', '短评打分': 3}
{'短评内容': '环境不错，交通便利，值得考虑', '短评打分': 3}
{'短评内容': '酒店设施比较旧了，附近交通便利。睡的还行。', '短评打分': 5}
{'短评内容': '我们于8月19号入住原订二天多住一天酒店管理不错雖然旧了一些但是交通方便于灵峰广场附近生活购物都方便离火车站远一点但是有公交车！', '短评打分': 4}
