{'短评内容': '珠崖石？？我', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '这是我从别人那边复制过来的，他懒得写了，但这也是我想表达的意思。他为什么喜欢在京东买东西，因为今天买明天就可以送到。他为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以他统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用他的这段话来评价，说明这款产品没问题，至少85分以上，而比较垃圾的产品，我也不会偷懒到复制粘贴他的评价，那我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量。', '短评打分': 5}
{'短评内容': '在市中心，就是开始时停车不方便其他都很好', '短评打分': 5}
{'短评内容': '玉山很小 去三清山过渡一下 酒店地段还可以 去车站火车站十元 房间设备比较简陋 灯光太暗 没有梳子竟然 楼下有水果店  周围不远有美食街', '短评打分': 3}
{'短评内容': '酒店位置位于闹市中心，购物吃饭较方便，环境干净，就是设施比较成旧，空调漏水这点不爽！', '短评打分': 5}
{'短评内容': '酒店还算干净，这就可以了。', '短评打分': 5}
{'短评内容': '性价比，一般。', '短评打分': 5}
{'短评内容': '环境还不错，比较实惠', '短评打分': 4}
{'短评内容': '半夜到的，前台服务太差，问需要交多少押金，问了好几遍不回答…我也是醉了。早上打电话要求退房，话没说话直接挂了电话，醉了醉了', '短评打分': 3}
{'短评内容': '周边交通不方便', '短评打分': 4}
{'短评内容': '这个价格是很不错的酒店了', '短评打分': 4}
{'短评内容': '还不错，就是没有梳子。', '短评打分': 5}
