{'短评内容': '不错是真的', '短评打分': 5}
{'短评内容': '员工出差定点单位', '短评打分': 3}
{'短评内容': '房间不错。温馨家园', '短评打分': 5}
{'短评内容': '没停车场、位置一般般！', '短评打分': 3}
{'短评内容': '还不错，只是房间有点小。', '短评打分': 5}
{'短评内容': '酒店的服务很好，就是wifi也太卡了吧。', '短评打分': 5}
{'短评内容': '第二次来了，挺不错的', '短评打分': 5}
{'短评内容': '挺不错的地方', '短评打分': 5}
{'短评内容': '不开空调。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '位置交通方便，环境设施较好，卫生条件较佳，服务质量不错。就是停车稍远（但有专车接送）', '短评打分': 5}
{'短评内容': '酒店很干净，价钱也实惠，附近吃饭很方便。关键是有专门的停车场，还有专车接送过去。', '短评打分': 3}
{'短评内容': '一般般吧，房间有点小', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '环境很好,价格不贵,必须推荐,早餐葱油饼、粥、还有西瓜.', '短评打分': 5}
{'短评内容': '价格实惠   早餐不太好\n价格实惠   早餐不太好', '短评打分': 5}
{'短评内容': '还可以！早餐很烂！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '位置在小区与马路中间，噪音非常大。注重睡眠质量的游客，不推荐入住。', '短评打分': 1}
{'短评内容': '很不错，环境卫生，服务都非常到位。以后还会经常过去', '短评打分': 5}
{'短评内容': '都是很不错的！就是早餐要是好一点就可以了', '短评打分': 5}
{'短评内容': '内部设施有点陈旧 但是提供两人的早餐 总体还是不错的', '短评打分': 3}
{'短评内容': '酒店服务态度不错，就是免费早餐有点坑人，是直接送到房间的，两个包子，一碗粥，没的选！~', '短评打分': 5}
{'短评内容': '服务还是很不错的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '第一次网上订房，比挂牌价便宜些。这个价位下。这个宾馆值得推荐', '短评打分': 5}
{'短评内容': '空调很暖和，环境也很好，洗澡的热水也很热，都不错，就是最好每个房间都有电脑。', '短评打分': 5}
{'短评内容': '服务周到早餐可以送到房间', '短评打分': 3}
{'短评内容': '不错的一个酒店，值得推荐，下次还去住。很好，很好!', '短评打分': 5}
{'短评内容': '酒店不错，只是没有电梯，卫生倒是干净，相比附近锦江等别的，性价比较高一点。', '短评打分': 5}
{'短评内容': '住过几次了，可是为什么每次都是那么冷，前几个月还好，可现在是冬天呀，经常暖风变冷风。。。。还停电。。。停电了就没暖风了啊、、、冷啊！浴室能不能安装一个浴霸呢，洗澡很冷的。。别的不说，我不能挨冻吧！！！！！', '短评打分': 1}
{'短评内容': '位置不错，离市中心不是很远，环境也很好，很干净！', '短评打分': 5}
{'短评内容': '条件很不错,就是卫生间的隐蔽性差了点!', '短评打分': 3}
{'短评内容': '还不错,干净。服务好', '短评打分': 3}
{'短评内容': '很不错，值得推荐！只不过淋浴热水好像不是很热~', '短评打分': 5}
{'短评内容': '周围的环境有点吵，但酒店的服务态度很好，前台很亲切', '短评打分': 5}
{'短评内容': '酒店位置在许昌火车站西面，房间环境及设施较新，有早餐还可以送到房间。\n不推荐的理由主要有：一是在从火车站过立交桥才到，酒店在城区西部，去火车站和商业区要再过立交桥；二是房间外面是道路，影响休息；三是不能使用消费劵。\n对许昌印象不错，城市整洁干净，物价水平不高，也更加突显酒店价格没有优势。', '短评打分': 1}
{'短评内容': '很好，很干净，很温馨，价钱合理，就是没有电梯，还送了20元优惠劵，但只有一个月使用期限，能不能不设期限？', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '服务较好，环境也好，挺温馨舒适的，就是晚上睡觉离菜市场那比较近附近的鸡鸭较吵。。。比较影响睡眠。。', '短评打分': 5}
{'短评内容': '还算对得起这个价位的快捷酒店。房间设施一般，楼梯部分看着还可以。', '短评打分': 5}
{'短评内容': '就是早餐不太好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '总体来说还行，在许昌这样的城市已经非常不错了。单人间放床的地方有点小了，但是洗漱间挺大的，被子有股味道不知道是什么味道可能是消毒味吧，希望改进。', '短评打分': 5}
{'短评内容': '房件还可以，物有所值', '短评打分': 3}
{'短评内容': '还可以吧，可能路边施工，有些噪音，但相信等施工完了会有一些改观。', '短评打分': 3}
{'短评内容': '酒店不错，干净，交通比较方便，服务态度更好！\nOPPO A105', '短评打分': 3}
{'短评内容': '就是早餐差点，一碗小米粥  两片面包  一个鸡蛋  我晕……', '短评打分': 5}
{'短评内容': '服务态度好··环境不错··没有噪音··晚上没有骚扰电话··', '短评打分': 5}
{'短评内容': '环境舒适，早餐清淡可口养胃，而且打电话就有专人送到房间，服务周到热情，一家值得推荐的酒店', '短评打分': 5}
{'短评内容': '清静、卫生、性、价比不错，位置有些不好找，房间电视台少，面积较小。实惠、值得入住！', '短评打分': 5}
{'短评内容': '没有停车场，周边环境不好，全是菜市场。没有电梯，地毯又脏又旧，像是10年前的宾馆，说是送早餐，早餐就是一碗小米粥，一个鸡蛋一个素包子，无语。。。最崩溃的是枕头，睡一会就变成薄薄的一点点了搞的一晚上没有睡好。卫生间的下水管不通，不说了，郁闷！！下次不会去了，花差不多的钱可以住到更好的。', '短评打分': 1}
{'短评内容': '\u3000前台接待人员比较热情，环境也比较舒适，干净，要是洗手间能多一个吹风机就更完美了！', '短评打分': 3}
{'短评内容': '环境不错，服务也很好\n房间很干净，也很正规', '短评打分': 5}
{'短评内容': '很好，尤其早餐非常丰盛还有专人送进放假，而且2点才退房，比平时12点的人性化', '短评打分': 5}
