{'descr': '位置可以，但酒店条件太差', 'star': 2}
{'descr': '没带身份证，没住上…', 'star': 4}
{'descr': '酒店提供的WiFi 无法连接。电视信号差，收看时断断续续。唯一的优点是离办事的地方近，房价便宜。房间灯光还算明亮，地板干净。临时将就一两晚还是可以的，比较适合临时出差', 'star': 3}
{'descr': '', 'star': 5}
{'descr': '哦哦哦哦哦哦', 'star': 3}
{'descr': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品', 'star': 5}
{'descr': '还行吧。主要是在小区内离亲戚家近，来回方便！', 'star': 3}
{'descr': '房间卫生好，二楼的小伙子非常认真、负责，赞一个！这样的价位有这样的交件比较好了！缺点：是房间床头周围没有插座，手机充电不方便！', 'star': 5}
{'descr': '无窗，比较潮，味道略大，胜在价格实惠，位置较理想，周边方便。定下以后只能本人去办理入住不太人性化，希望改进。', 'star': 4}
{'descr': '还凑合吧 订不到酒店了 周围只有1000+的酒店了 无奈定了这个。没住过100多的酒店 不好对比 所以很难评价客观 只能说还凑合', 'star': 4}
{'descr': '好评', 'star': 5}
{'descr': '一坨屎', 'star': 1}
{'descr': '位置还不错，但是在一个小区里，停车要交停车费', 'star': 4}
{'descr': '房间太小 让人感觉在地下室 也没有吹风机…', 'star': 3}
{'descr': '热水供应不足，前台妹子挺好滴～附近有个羊蝎子很好吃～', 'star': 4}
{'descr': '正在装修，电钻打的人心跳', 'star': 4}
{'descr': '房间还可以小了点', 'star': 3}
{'descr': '店主服务很好价位和位置和社施成正比！不错！', 'star': 3}
{'descr': '没有暖气，空调效果很差，很冷！卫生间没有任何洗漱用品，连香皂都没有。不如住如家！', 'star': 3}
{'descr': '太脏了，，卫生不好。。。', 'star': 3}
{'descr': '酒店地理位置不错，整体感觉还可以吧，就是面积小了点，服务不怎么样。建议提高服务质量，遵循客户第一的原则。\n', 'star': 1}
{'descr': '服务好，三人间有点小。只是导航找不到酒店的准确位置，找望和宾馆很费劲，希望宾馆能标注的更清楚一点。点评要求的字有点多。', 'star': 5}
{'descr': '环境一般，价格也比较贵，运气不好，把我心爱的洗漱套装（还有刮胡刀）忘在宾馆里了，不知道能不能找回。', 'star': 5}
{'descr': '服务很好 条件也不错', 'star': 3}
