{'短评内容': '有停车场很好', '短评打分': 4}
{'短评内容': '还是挺好的', '短评打分': 5}
{'短评内容': '隔音差，房间有味道！', '短评打分': 3}
{'短评内容': '还不错，有停车场。', '短评打分': 5}
{'短评内容': '还不错，送早餐。', '短评打分': 5}
{'短评内容': '不错的酒店。已多次入住', '短评打分': 4}
{'短评内容': '酒店住着不错了', '短评打分': 4}
{'短评内容': '多次入住了，都住这里，习惯了，房间有点小，不过有早餐吃，早餐还一般般吧', '短评打分': 5}
{'短评内容': '酒店外观大气气派，大堂明亮宽敞，但是房间设施差的不能说，就一个小小灯，床头一股怪怪的味道，缝里全是垃圾，窗户不隔音！设施陈旧，中央空调不能用，独立空调没有出风口没挡板！！', '短评打分': 2}
{'短评内容': '……没空调，浴室门设计的有问题', '短评打分': 1}
{'短评内容': '房间挺干净的，房间设施挺好，房间大，周边的环境安静，就是房间的灯有点暗，无伤大雅，下次过来还住在这边！', '短评打分': 5}
{'短评内容': '与介绍的区别太大，标准欺骗人……空调差的要死，淋浴水滴滴的，水温太低……', '短评打分': 3}
{'短评内容': '价格便宜，视野好，房间稍有异味，但可以克服。热水不错。', '短评打分': 4}
