{'短评内容': '价位有点高，服务还可以，主要是离我要账的地方近，很满意！', '短评打分': 5}
{'短评内容': '性价比超级底，这个价格提供这样的房间不值，与其它酒店相比差不少，价格定位很不合理。', '短评打分': 3}
{'短评内容': '网速差的不的了', '短评打分': 4}
{'短评内容': '网速太慢', '短评打分': 3}
{'短评内容': '酒店环境不错，交通和饮食方便；房间整洁卫生，设施齐全。', '短评打分': 5}
{'短评内容': '没有早餐是个缺点', '短评打分': 4}
{'短评内容': '8月份去的，还可以吧，定的是大房间，挺宽敞。', '短评打分': 4}
{'短评内容': '不错，还可以', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '非常不错的酒店，地理位置好，设备齐全，干净卫生，环境优雅！', '短评打分': 5}
{'短评内容': '非常不错的酒店，地理位置好，设备齐全，干净卫生，环境优雅！', '短评打分': 5}
{'短评内容': '空间很大，不错，服务很好，灵活就是没早餐', '短评打分': 5}
{'短评内容': '不错，房间很大宽敞，网速稍微有点慢', '短评打分': 5}
{'短评内容': '不错，一连住了好几天。还在住', '短评打分': 3}
{'短评内容': '光线好，空间大，服务热情，没有早餐。', '短评打分': 3}
{'短评内容': '整体环境还可以，吃饭到对面的城中村', '短评打分': 3}
{'短评内容': ' 环境很好', '短评打分': 3}
{'短评内容': '酒店的桌椅太脏了，并且服务很差，出了点问题，折腾了才给解决', '短评打分': 1}
{'短评内容': '是一个人旅店 卫生说得过去 就是价位高啦 像这样的旅店180就可以了 和网上的宣传太不一样啦  不真实 说是离昌吉几公里 实际有30几公里呢', '短评打分': 1}
{'短评内容': '不错 挺新 也算干净 就是晚上有骚扰电话', '短评打分': 5}
{'短评内容': '早餐还不错，10块钱也不贵。交通还算方便，比较物有所值', '短评打分': 5}
{'短评内容': '价格实惠，就是有些规定不太人性化，需要现金交易', '短评打分': 5}
{'短评内容': '优点和缺点都很突出。可以免费打长途电话。但是不能刷卡，必须带着现金交房费。无论吃早餐还是在大厅买瓶饮料，都必须交现金，不能直接记入房费。', '短评打分': 1}
{'短评内容': '环境还不错，交通便利，房间很大，就是空调有点问题，总的来说不错，性价比挺高。', '短评打分': 5}
