{'短评内容': '服务差，以后都不会去的', '短评打分': 5}
{'短评内容': '每次到东莞必选的酒店。', '短评打分': 5}
{'短评内容': '好，很好，不错，优秀，棒！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好，这个服务卫生都很好，房间也干净，下次来还住这里。', '短评打分': 5}
{'短评内容': '环境很不错，有自助，而且又便宜', '短评打分': 5}
{'短评内容': '呵呵呵呵，，，,，，，，，', '短评打分': 1}
{'短评内容': '交通方便，房间够大，床够大，早餐对得起这个价格。离高速公路口不远不近，刚刚好。', '短评打分': 5}
{'短评内容': '全部不错。 价钱便宜，房间大，床舒服。 早餐没有很多东西不过不错。有fresh的咖啡。 酒店附近有很多便利店。', '短评打分': 5}
{'短评内容': '环境一般 有送水果但不是很新鲜 ', '短评打分': 5}
{'短评内容': '性价比超高的，房间空间很大，早餐非常精细。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '要个房间睡觉，确给了个麻将房', '短评打分': 3}
{'短评内容': '初次入住，印象还不错，比之前住的长安大酒店要好。  周围吃饭的地方也有，选了一家酒店门童推荐的湘菜馆，味道还不错。  早餐也还可以，说的过去。有机会还会入住。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境不错，服务也不错。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店很不错，标间面积很大，价格也不贵，服务挺好，下次还住', '短评打分': 5}
{'短评内容': '有蒸汽很少见，房间很干淨隔音很好', '短评打分': 3}
{'短评内容': '很好！房间大，干净。早餐还好！服务也还好！', '短评打分': 5}
{'短评内容': '自助海鲜餐厅挺好，服务态度很好，下午还有水果送', '短评打分': 5}
{'短评内容': '服务员的态度是很好，房间非常干净，暖的空调没有，所以，比较冷。', '短评打分': 5}
{'短评内容': ' 比较干净，管理还不错。', '短评打分': 3}
{'短评内容': '本次入住房间稍小，设施还算可以。', '短评打分': 3}
{'短评内容': '条件不错，性价比还可以，就是离市中心有点元，该酒店客人是以香港，台湾和韩国人为主，早餐不错。', '短评打分': 3}
{'短评内容': '性价比很高，服务很好，酒店很干净，前台服务很好', '短评打分': 5}
{'短评内容': '这个富苑酒店很好，前台的服务员，停车场的服务员，餐厅的服务员都，应付，态度很好。下次也想住。', '短评打分': 5}
{'短评内容': '：第二住富苑酒店，停车场帅哥，前台服务员，餐厅的服务员态度很好，房间是麻雀室，有意思。但是，厕所地面不干净，有尿。', '短评打分': 3}
{'短评内容': '这个酒店我第一次住的。前台的服务员的态度很好，停车场，大厅的男的服务员都很好的问候。电梯用时候，服务员按键给我了。房间非常干净，洗澡地方也很好。空调很好。上网的desk很好。现在，省道358施工中，所以，窗不干净没办法。价格300多，有一点贵，但是，酒店的内容很好。哦，晚上八点左右，我去一楼的自助餐厅了，但是，料理没有了，真遗憾。', '短评打分': 5}
{'短评内容': '酒店设施比较旧，服务不错！整体环境不怎么样！', '短评打分': 5}
{'短评内容': '定的是套房，进去一看吓一跳，原来有两个卧室，可只有我一人入住，真浪费啊，房间设施还行，就是大堂和酒店的周边环境与4星完全不符，只是价格确实便宜。', '短评打分': 5}
{'短评内容': '酒店不错，离办事的地方非常近，服务员非常热情，大堂的经理能够准确说出你的姓名，很佩服，去长安几次了，每次均住在这家，总体很不错。', '短评打分': 5}
{'短评内容': '酒店还可以、', '短评打分': 3}
{'短评内容': '都说这里好，我就纳闷了，都是托吧。房间确实超大，但里面的烟味和霉味足够让你睡不着觉，被子也是一股怪味。到前台登记时就应该发现这个问题，离开时都闻到前台的那股发霉的味道，脏兮兮的凳子。不说了，谁住谁知道。', '短评打分': 1}
{'短评内容': '价格实惠，床很大，服务挺好，位置稍偏，但周围吃喝挺方便', '短评打分': 5}
{'短评内容': '酒店地理位置很好, 可惜的是门前修路时间太久. 到晚上还是比较安静的.\n服务态度很好, 微笑服务做的很到位, 给住客温馨之感. ', '短评打分': 5}
{'短评内容': '1,位置比较偏，周边不方便，打车不方便。\n2，酒店比较旧，霉味很重。\n3，服务还不错。\n4，早餐品种不少，但质量比较差', '短评打分': 1}
{'短评内容': '总体还不错,是原来的凯莱酒店改的，就是在路边，外面的路比较堵', '短评打分': 5}
{'短评内容': '酒店位置还行，但修路不是很方便，但早餐很不错。如果出差是不错的选择。', '短评打分': 5}
{'短评内容': '酒店装修挺不错的.房间很大,床也很大很舒服.性价比高.很喜欢!唯一不好就是门前修路,沙尘很大,车比较难打.', '短评打分': 3}
{'短评内容': '不错不错，虽然门面不气派点，但房间很大，硬件不错，而且服务态度不错，自助火锅也很实惠，大伙很满意，不足就是现在在修路，很多出租车司机不愿意到那里，有些嘛干脆说不知道那个地方，网吧是免费，但电脑太旧点了，建议换换。总体来说，性价比很高。', '短评打分': 5}
{'短评内容': '服务很好的，每次服务员很热情的帮你拿行李，在其他的酒店不多见的。', '短评打分': 5}
{'短评内容': '这个酒店比较新，但是他们酒店本身也办理会员卡的。让后入住就便宜很多了。', '短评打分': 5}
{'短评内容': '早餐很不错，种类很多，味道也很好\n房间也很舒适，装修也很好', '短评打分': 5}
{'短评内容': '酒店装修很新，环境也很好，性价比很高,这个价格住这个酒店很值得', '短评打分': 5}
{'短评内容': '该酒店卫生状况很好，设施和服务还不错，地理位置离S358不远，周围还有超市和不少餐馆，总体上很不错', '短评打分': 5}
{'短评内容': '该酒店卫生状况很好，设施和服务还不错，地理位置离深圳西站不远，周围还有超市和不少餐馆，总体上很不错', '短评打分': 5}
{'短评内容': '商务性酒店，这个价位还可以了。服务很好的，也没有骚扰电话。就在省道上，方便。', '短评打分': 3}
{'短评内容': '酒店很好，房间很大。但是省道358在修路，很难走，也不好找了。修路的影响，周边环境很不好了。酒店服务很好。', '短评打分': 3}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '性价比很不错，住的很舒心，服务很好，又延住了几天', '短评打分': 3}
{'短评内容': '服务非常好，早餐很不错，选择种类很多，很值得一住', '短评打分': 5}
{'短评内容': '房间大小还可以，卫生条件很好，很干净，床也蛮大的，内部设施很齐全，服务很好，住的舒服', '短评打分': 5}
{'短评内容': '酒店早餐不错，蛮丰富的，可以选择，另外房间硬件设施齐全，服务很好。卫生条件也很干净，入住的很放心', '短评打分': 5}
{'短评内容': '酒店的位置很不错，在358道上，旁边就是高速，而且附近购物，吃饭都很方便，座公交车也很不远', '短评打分': 5}
{'短评内容': '酒店的装修比较豪华，很有档次，餐厅服务不错，而且酒店里面还有ktv，娱乐休闲措施很完善，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '我觉得房间很宽敞，比价舒服，硬件设施齐全，卫生间设计的很人性化，用起来很方便，早餐丰盛，口味好，住宿条件还不赖', '短评打分': 5}
{'短评内容': '酒店交通很好，出行特别的方便，大堂人员服务很好，很有素质，特别的周到，还帮我按电梯，指引我座那部电梯可以到客房，蛮贴心的', '短评打分': 5}
{'短评内容': '房间比较大，硬件很好，床睡的特别舒服，另外酒店门口可以停车，也有地下车库，24小时监控的，自驾过来很方便', '短评打分': 5}
{'短评内容': '服务员态度亲切，着装很整洁，酒店在繁华地带，附近有大超市，购物很方便，房间很干净，设施齐全，下次还会住的', '短评打分': 5}
{'短评内容': '酒店在镇中心位置，交通比较方便，总体不错！', '短评打分': 5}
{'短评内容': '房間內空間很大，床很好睡，下次有機會會再入住', '短评打分': 5}
