{'短评内容': '方便快捷！卫生好！能停车！火车汽车都方便！', '短评打分': 4}
{'短评内容': '离火车站特别近，出行很方便，坐车的可以常住这里', '短评打分': 5}
{'短评内容': '服务很温馨很不错。银座佳驿很不错的连锁酒店。', '短评打分': 5}
{'短评内容': '定的房间与实际不符！', '短评打分': 3}
{'短评内容': '床小   床小   床小，这么小的床也能叫大床房，晕了', '短评打分': 4}
{'短评内容': '床很舒服，整体干净清洁，交通方便', '短评打分': 5}
{'短评内容': '很好，，，，，，，，，', '短评打分': 5}
{'短评内容': '很好，，，，，，，，，', '短评打分': 5}
{'短评内容': '感后非要不错！', '短评打分': 5}
{'短评内容': '环境很好，屋内整洁干净，价格经济实惠，强烈推荐', '短评打分': 5}
{'短评内容': '环境很好，价格经济实惠，屋里干净整洁，强烈推荐', '短评打分': 5}
{'短评内容': '服务态度很好，房间卫生也非常干净', '短评打分': 5}
{'短评内容': '酒店环境好 服务态度也好 房间住着很舒服 房嫂阿姨 也及时打扫房间 酒店位置也很好地铁客运站 火车站都在这里 ', '短评打分': 5}
{'短评内容': '对于去火车站还是挺方便的，就是位置不太好找。', '短评打分': 5}
{'短评内容': '공항버스에서 내려서(SK커윈짠) 걸어서 3분 정도 거리에 있습니다. 반대로 공항 갈 때도 육교로 길 하나만 건너면 바로 SK커윈짠이 나오구요. 선양기차역과도 걸어서 5분 거리입니다. 주변에 월마트나 쇼핑 상가들, 그리고 향신료/견과류 등 대형 재래 시장이 있어 편리합니다. 실내는 평가대로 매우 좁은 편인데 딱히 불편한 것은 없었습니다. 화장실도 청결하구요.', '短评打分': 4}
{'短评内容': '房间太小了，说好的双人床，就比单人床大那么一点', '短评打分': 3}
{'短评内容': '不错，价格合理，离机场大巴很近', '短评打分': 3}
{'短评内容': '房间干净 地理位置好 前台服务周到', '短评打分': 3}
