{'短评内容': '一般般，附近宾馆少，否则不会去', '短评打分': 2}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间太小 、过道卫生太差、酒店门口卫生也不行', '短评打分': 3}
{'短评内容': '停车还要停在后边的小区，看门大爷很牛，没有牛过宾馆', '短评打分': 4}
{'短评内容': '前台服务差的一比，以后不会住了', '短评打分': 3}
{'短评内容': '一般话吧，就是有点吵，附近交通不是很方便，有点偏', '短评打分': 3}
{'短评内容': '还好，房间在马路旁边，进去地上还有卫生纸，总体还好！', '短评打分': 4}
{'短评内容': '挺好的，卫生也挺干净的，下次还来。', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '垃圾箱中最大叉了不起床下', '短评打分': 3}
{'短评内容': '服务很好，房间环境不错，价位适中。', '短评打分': 4}
{'短评内容': '晚上竟没有热水，向前台反馈了，也没有及时处理', '短评打分': 3}
{'短评内容': '经济+实惠！还不错哟', '短评打分': 5}
