{'短评内容': '一般。。。', '短评打分': 3}
{'短评内容': '酒店还行，周边吃饭购物交通便利，店内设施一般，出差住往挺不错', '短评打分': 4}
{'短评内容': '挺好的，价格便宜，房间不冷！', '短评打分': 4}
{'短评内容': '环境好，性价比高', '短评打分': 4}
{'短评内容': 'WiFi断了，整个酒店都没有网。后来联系携程退房了。', '短评打分': 3}
{'短评内容': '一般，一般，一般般吧。估计下次不会住了', '短评打分': 3}
{'短评内容': '环境很好，房间很宽敞，屋内设施很齐全，热水很好，卫生间干净卫生，一次性用品都很到位，朋友下次来还会住这里。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '住过很多次了，不错～～～～～', '短评打分': 4}
{'短评内容': '总体满意，从外面看酒店挺一般的，不过内部还挺不错。安静卫生。只是有一点，电视节目太少了，想看个电视都找不到好节目。', '短评打分': 5}
{'短评内容': '好评！老板也热情。', '短评打分': 5}
{'短评内容': '没什么可说 很旧 位置不明显 环境不是很好', '短评打分': 3}
{'短评内容': '房间大，也干净，有停车位，附近有家乐福，方便', '短评打分': 4}
{'短评内容': '隔音效果不太好，早上很吵。', '短评打分': 3}
{'短评内容': '房间很宽敞 交通夜比较便利', '短评打分': 3}
{'短评内容': '住过两次，位置不错，酒店条件一般，若是夏天去族游，还行，商务出差，就差点，不如锦江之星。', '短评打分': 5}
{'短评内容': '休息的很好！舒适', '短评打分': 3}
{'短评内容': '位置不错。旁边有五粮液酒店。距离环岛很近', '短评打分': 5}
{'短评内容': '房价偏高，地方比较偏，性价比不高，不建议住', '短评打分': 1}
{'短评内容': '很一般，地理位置也不好，没有任何好的地方，虽然也没有很差但是我不太喜欢，不知道为什么~', '短评打分': 1}
{'短评内容': '与其他同等价格酒店比较还算一般可以，服务较差。', '短评打分': 1}
{'短评内容': '酒店已入住，挺干净，就是当地路标不多，自驾不太好找', '短评打分': 3}
{'短评内容': '很不错的一家店！很舒适！早餐也很丰盛！', '短评打分': 3}
{'短评内容': '已入住侯斌', '短评打分': 3}
{'短评内容': '酒店环境不错，房间也很大，住的很舒服。也有不不足之处，晚上想写点东西，房间灯光太暗了。建议在每个房间写字台上放在台灯。这样就完美了。', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 3}
{'短评内容': '这个酒店不错，楼下有洗车的，也有小超市，上次和同事及家人入住过，挺不错。同事推荐的。', '短评打分': 5}
{'短评内容': '环境什么的都不错，价格不知道算不算贵~，交通还算可以。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间大卫生条件较好，酒店餐饮比较便宜，个人推存你去看看。', '短评打分': 5}
{'短评内容': '不错，挺好的，比较舒服．下次再来住．交通也比较方便．', '短评打分': 5}
{'短评内容': '不错，下次还住这。', '短评打分': 3}
{'短评内容': '新开的酒店，地暖，很干净。', '短评打分': 3}
{'短评内容': '这个酒店房间都比较大，设施很新，布局比较简单，东西都是新的。但没有暖气，不太适合冬天去居住。网速很快，空调制热效果不好，一晚上冻得都没敢洗澡！早上洗脸的时候，热水半天来不了。服务员服务态度很好。另外，除住宿外，在酒店内的其他消费都无法开具发票。等夏天过来的时候再去。', '短评打分': 5}
{'短评内容': '房间不错，就是没有暖气，虽然空调一直开着但还是有点冷。总的来说推荐吧', '短评打分': 5}
{'短评内容': '酒店位置不错,闹中取静.房间够大,被褥干净,缺点:卫生间淋浴没有隔断到处都是水!刷卡机不好用.总体还是不错的下次还会选择这里.', '短评打分': 3}
{'短评内容': '很好  很不错  就是周围吃饭不是很方便  离吃饭的地方比较远 ', '短评打分': 3}
{'短评内容': '干净的快捷酒店  很不错 价格便宜  就是位置不是超好  呵呵 ', '短评打分': 5}
{'短评内容': '房间的灯光不好~网速很快！交通很方便！床很大', '短评打分': 5}
{'短评内容': '位置不错，距离火车站和长途汽车站不算远，周边环境很好', '短评打分': 5}
{'短评内容': '刚开业,设施新.位置较偏,但秦皇岛市区本身就不大.房间比快捷酒店大一些', '短评打分': 5}
{'短评内容': '卫生间的水流太小。电视也太小。房间隔音太差。', '短评打分': 1}
{'短评内容': '比较干净，设施较新，宽带不错。', '短评打分': 5}
{'短评内容': '酒店条件不太达标.硬件条件不是很好.服务还是蛮到位的,服务人员都挺热情的,位置也好,综合来讲还可以.', '短评打分': 5}
{'短评内容': '早餐比较好.吃起来很顺口,而且室内的硬件和软件条件也不错.', '短评打分': 5}
{'短评内容': '环境特别好比同档次的酒店都要好的多，房间也很大装修挺不错的，但是早餐稍微差一些不过还好，服务和价格都不错。', '短评打分': 5}
{'短评内容': '离高速出口很近，卫生非常好，', '短评打分': 5}
{'短评内容': '电视小了点', '短评打分': 1}
{'短评内容': '宾馆房间很好，就是位置有点偏，其他的很好。', '短评打分': 5}
