{'短评内容': '风景很好的', '短评打分': 4}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '早餐一般，不知道能不能加床，酒店挺大的，停车很方便。唯独就是床铺非常潮湿，必须要先打开电热毯去湿。', '短评打分': 3}
{'短评内容': '环境很好，餐厅小哥超级好！', '短评打分': 5}
{'短评内容': '设施陈旧，老房间没有WIFI，床垫不平整，洗手槽破了也没有更换，可以想象21世纪的黑白电视吗。。。糟糕的体验', '短评打分': 4}
{'短评内容': '周边环境不错', '短评打分': 4}
{'短评内容': '总体来说还是不错的，早餐虽说没有特别丰富，该有的鸡蛋稀饭豆浆咸菜都有，还有打乒乓球和羽毛球的地方，不错了', '短评打分': 5}
{'短评内容': '不是很满意，地毯极差，淋浴花洒差，服务员态度差。保安大爷态度好，不错！', '短评打分': 3}
{'短评内容': '第一次去重庆北温泉，周边看得上眼的酒店都订完了，只能选这家，果然设施很差，辛苦熬了一夜，天亮就逃离了。并且开的发票居然写餐费，我勒个去，铁打的住宿费嘛，这让人家怎么报销嘛！', '短评打分': 2}
{'短评内容': '设施比较旧了，但是很干净。旁边可以爬山和钓鱼，幽静养心', '短评打分': 5}
{'短评内容': '环境优美，服务态度很好，非常耐心，赞一个。', '短评打分': 5}
{'短评内容': '给前台服务员点赞，就是房间设施差了点，电视机很小，早餐就一份泡萝卜加白稀饭，包子，馒头。不过酒店在山上空气好。', '短评打分': 4}
{'短评内容': '有点老了，设施有点陈旧。有点对不起这个价格。', '短评打分': 4}
{'短评内容': '设施太陈旧了', '短评打分': 2}
{'短评内容': '房间电视机超袖珍网络信号时断时续其它尚好外部环境幽静。', '短评打分': 3}
{'短评内容': '酒店环镜还不错，尤其是在山上，空气特别清新，很安静', '短评打分': 5}
{'短评内容': '早上热水不稳定。我定的一间单间，但是被迫选择了双人间，酒店只给留了一间噪音很大的单间。不过服务态度还是很好的', '短评打分': 5}
