{'短评内容': '早餐太差，九点去就没东西吃了', '短评打分': 5}
{'短评内容': '还不错，性价比高', '短评打分': 5}
{'短评内容': '不错啊！！！', '短评打分': 5}
{'短评内容': '酒店不错，环境好，位置很好找，又干净。房间很大，早餐丰富，停车场很宽敞。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '常年性价比较高', '短评打分': 5}
{'短评内容': '這個是號稱老舊四星酒店，但是個人以為已達不到那標準了，甚至不如一般快捷酒店。中央空調說壞了或晚上九點才開，吃碗泡麵全身汗如雨下。電視不清楚質量差，更慘的是只有中央台。客房外廊走到，感覺讓人很不舒服！入住兩小時后，果斷認賠退房，換酒店', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店近高速出口，环境不错，设施也比较新，有较大的地下停车场，房间比较宽大，是来这里出差的比较好的选择，非常值得推荐，也是石井镇的携程首选酒店，前台的服务也不错，我盆友进来住时要的一些物品都有，就是黄页要充足一下，起码把大堂电话给写上', '短评打分': 5}
{'短评内容': '是不是不错，应该还行吧！可以再次入住。', '短评打分': 4}
{'短评内容': '是不是不错，应该还行吧！可以再次入住。', '短评打分': 4}
{'短评内容': '是不是不错，应该还行吧！可以再次入住。', '短评打分': 4}
{'短评内容': '是不是不错，应该还行吧！可以再次入住。', '短评打分': 4}
