{'短评内容': '这里市中心，什么都很方便', '短评打分': 5}
{'短评内容': '早餐一般般，没有什么好吃的。酒店年代比较久，装修什么的，很多年没有变化了，就是地理位置比较好，市中心，到哪里都很方便。', '短评打分': 4}
{'短评内容': '环境不错  而且床单被套设备都很整洁', '短评打分': 5}
{'短评内容': '我的订单付款后 被京东取消 晚上取消的 早上才发现 只得加钱重订 当时没投诉 现在给个差评', '短评打分': 4}
{'短评内容': '老宾馆 设施还好 停车居然收费 虽然只是5元过夜', '短评打分': 4}
{'短评内容': '还行 老宾馆 交通比较堵', '短评打分': 4}
{'短评内容': '今天没有那个特惠价了，订的经济单房的，也还不错，一个人住的话足够了，离办事地点近，周边的话也可以去逛逛什么的，总的来说还可以', '短评打分': 5}
{'短评内容': '当天订的一个特惠价，比较划算了，商务双人间，跟经济单房价格差不多，环境还好吧，主要离办事的地方很近，', '短评打分': 5}
{'短评内容': '用的全品类的券，真是**的优惠券，抢不到还有人**，优惠不少', '短评打分': 5}
{'短评内容': '服务不错，价格适中，位置蛮好，。', '短评打分': 5}
{'短评内容': '很好的酒店，以前经常去，位置便利，周围热闹安全，有停车场，推荐', '短评打分': 5}
{'短评内容': '位置好，但是酒店就差了', '短评打分': 5}
{'短评内容': '不错，很好。服务态度好，很不错，很好，很舒服', '短评打分': 5}
{'短评内容': '666666666', '短评打分': 5}
{'短评内容': '环境不错，床很舒适，挺不错的酒店', '短评打分': 5}
{'短评内容': '代人预定，服务态度很好，下次还会继续选择', '短评打分': 5}
{'短评内容': '代人预定，服务态度很好，下次还会继续选择', '短评打分': 5}
{'短评内容': '到前台一问，比别人开的价格都低，心里觉得挺值的，以后出门就用京东定房啦，', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '就是干净卫生', '短评打分': 5}
{'短评内容': '花洒固定的，最不满意', '短评打分': 4}
{'短评内容': '酒店很好，晚上临八一大道因修地铁有点吵，最主要的是单独洗脚不太方便，花洒是固定的。', '短评打分': 4}
{'短评内容': '位置很好，价格也可以，不错', '短评打分': 5}
{'短评内容': '地段好、老字号', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位于市中心非常方便，下次还选。', '短评打分': 5}
{'短评内容': '经常住，酒店性价比高', '短评打分': 4}
{'短评内容': '个人觉得不够4星标准，服务员从前台到餐厅再到会议室根本没有服务意识，更别提热情服务啦。早餐也特别简陋，像招待所就餐，样式少还难吃，连个面包也没有，玉米咬不动，炒米线也硬！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '卫生好', '短评打分': 4}
{'短评内容': '很好的酒店  出差首选', '短评打分': 5}
{'短评内容': '位置好！机场大巴停靠附近，避免被的士宰。房间大，虽然设施老了些，但政府定点饭店的底子还在；早餐不错。', '短评打分': 5}
{'短评内容': '一般房间不太好，设施略微旧了一点。停车场开始收费了，而且出示了住房卡还要再收5元钱，没有收据的。', '短评打分': 5}
{'短评内容': '地处中心，交通不错，服务还行，一楼房间差一点。', '短评打分': 5}
{'短评内容': '还行吧，这一次算是比较顺利，虽然设施一般。', '短评打分': 5}
{'短评内容': '环境服务都还好，但是房间没有指示图  服务台都对房间布局不是很熟悉', '短评打分': 3}
{'短评内容': '酒店卫生很干净，服务态度很好。下次去南昌还会住那里。', '短评打分': 5}
{'短评内容': '酒店设施和服务都达标了', '短评打分': 3}
{'短评内容': '满意!', '短评打分': 3}
{'短评内容': '  位置挺好的，打车方便', '短评打分': 3}
{'短评内容': '服务满意', '短评打分': 3}
{'短评内容': '地处黄金地段，交通方便，闹中取静\n早餐自主很丰富，有当地特色，白糖糕、瓦罐汤相当棒\n卫生间马桶的位置太太太别扭，右腿处空间极其狭窄', '短评打分': 5}
{'短评内容': '不好!性价比低~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '江西饭店挺好的，在市中心，一出门往右步行就可以上中山路逛街。', '短评打分': 5}
{'短评内容': '酒店不错，四星级，就是房间不是很大，四星级的标准勉勉强强了。有点老！早餐也不怎么样！', '短评打分': 5}
{'短评内容': 'h环境还不错，交通要道！~~\n\n就是打车不好打', '短评打分': 5}
{'短评内容': '还不错的酒店，价格比较便宜 位置比较好.。。。。', '短评打分': 5}
{'短评内容': '还行,环境很好,主要是打车方便,经常举办一些会议会没房须预定', '短评打分': 5}
{'短评内容': '这次入住江西饭店,给我的是一间侧配楼的小房间,厕所和浴室都是窗户边用玻璃隔出来的,价格仍然是386元.只能长叹息！', '短评打分': 3}
{'短评内容': '入住及退房时间太长。', '短评打分': 3}
{'短评内容': '房间足够大，设施比较陈旧，而且席梦思上面没有垫东西，睡觉的时候，还可以感觉到弹簧。服务一般，里面一堆东西都是付费项目。', '短评打分': 1}
{'短评内容': '卫生间很大很干净，卫生也不错，就是房间有点小，总体不错！', '短评打分': 5}
{'短评内容': '房间稍微有些小,服务—般,但酒店整体气质还不错.', '短评打分': 3}
{'短评内容': '酒店在八一公园旁边，交通也很方便，房间稍微有点小，但还比较舒适', '短评打分': 3}
{'短评内容': '房间虽说有点旧，但设施还比较齐全，酒店位置非常好', '短评打分': 5}
{'短评内容': '+设备还好,房间小.', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '位置好方便出行,服务也比较到位.硬件和软件条件也不错,综合性价比很高.', '短评打分': 5}
{'短评内容': '一切皆好', '短评打分': 3}
{'短评内容': '位置好，服务好，价格合理，值得一住。', '短评打分': 5}
{'短评内容': '整体感觉很不错的酒店，下次还会住的', '短评打分': 5}
{'短评内容': '太贵了，感觉不到四星酒店的氛围，简直就是在圈块地抢钱。设施简陋，服务不到家。早餐简单到无法评论，说是到上午九点半结束，其实九点以后就基本没东西可吃，而且九点二十差不多就收场了。', '短评打分': 1}
{'短评内容': '当时选择这家酒店是因为位置比较方便出行所以才选择的.不过硬件和软件服务相对来讲要差一些,我个人感觉不是很好.', '短评打分': 1}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，服务也很到位，下次还会住的。', '短评打分': 5}
{'短评内容': '周边环境较乱，尤其有些客房，紧挨员工宿舍，停车场较小。', '短评打分': 5}
{'短评内容': '卫生间太狭小，床还行，房间有电脑还不错，总台服务态度不好，饭店早餐一般，中餐厅性价比不高，服务态度差，总之就是达不到四星标准，是一家老牌酒店，设施相较而言还行，就是房间格局不太好。', '短评打分': 1}
{'短评内容': '服务太差，早餐太差', '短评打分': 5}
{'短评内容': '价格有点小贵。其他都不错', '短评打分': 5}
{'短评内容': '可以想象到的那种老牌的3星酒店，房间不是特别大。早餐的种类和口味都不错。唯一不足的就是周边吃饭的地方太少了，晚上饿了想吃点夜宵，要打车才能找到地方。房间提供电脑。', '短评打分': 5}
{'短评内容': '酒店应该是新装修的,所以里的各方面条件都很理想,很干净,而且床的软硬度也很合适,地理位置也很好,在比较中心的位置,很方便的,最主要的是酒店的房间里都配有电脑,而且可以免费上网,这样要是需要查点什么东西都很方便的,很满意!', '短评打分': 5}
