{'短评内容': '房间很好，卫生环境都不错', '短评打分': 5}
{'短评内容': '附近吃的多', '短评打分': 4}
{'短评内容': '还好我的好', '短评打分': 5}
{'短评内容': '还好吧……', '短评打分': 5}
{'短评内容': '酒店位置蛮好的 周围都有吃的还有大超市', '短评打分': 5}
{'短评内容': '睡觉都会变得不到你的妈妈', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常好，非常好，非常好，非常好，非常好', '短评打分': 5}
{'短评内容': '环境不错，早餐好吃', '短评打分': 5}
{'短评内容': '不错， 很新不错， 很新', '短评打分': 5}
{'短评内容': '不错， 很新不错， 很新', '短评打分': 5}
{'短评内容': '设施比较陈旧，卫生真的很一般，周边比较嘈杂。最不能理解的是在携程预订时候明明写明含双早，到了酒店前台却说在网上订本来是没有的如果办个金卡就送个早餐券。这算什么？是酒店管理问题还是携程服务明细有误', '短评打分': 3}
{'短评内容': '酒店位置不错，周边吃的不少。房间中规中矩的连锁酒店。就是小卡片太多，希望能禁止。', '短评打分': 4}
{'短评内容': '酒店位置较好，周围吃饭的地方多，旁边还有个利客隆超市。房间不大，但还算干净。', '短评打分': 5}
{'短评内容': '还好 就是小贵了', '短评打分': 4}
{'短评内容': '环境还行，就是香水味不太舒服。', '短评打分': 3}
{'短评内容': '酒店环境很好，景色很美，很热闹的，酒店的设施设备都是新的，住着很舒服，附近好吃的东西又特别多。真的是住酒店的首选，很棒，安静，干净，舒适，条件还不错，房间内干净利落，服务经理态度非常好，周围交通比较方便，快捷。硬件设施都比较新、比较干净。城市便捷我很喜欢，床很舒服，餐厅我很喜欢，菜品很多，很好吃，餐厅的光线很好，很舒服，前台服务态度很好。赞！房间卫生也很不错，客房大姐特别有礼貌，设备也齐全，赞，赞', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '东葛华城店的设施设备维护很好，住着很舒服，晚上这里也很安静，附近好吃的东西又特别多。真的是住酒店的首选，很棒，安静，干净，舒适，条件还不错，房间内干净利落，值班经理态度非常好，周围交通比较方便，快捷。硬件设施都比较新、比较干净。城市便捷我很喜欢，床很舒服，餐厅我很是喜欢，很舒服，前台服务态度很不错。赞！房间卫生也很不错，客房大姐特别的有礼貌，设备也齐全，很有家的感觉，每次都住这边', '短评打分': 3}
