{'短评内容': '哈哈哈哈哈斤斤计较斤斤计较斤斤计较', '短评打分': 5}
{'短评内容': '酒店位置不错，属中心位置，办事方便！', '短评打分': 3}
{'短评内容': '到浠水办事，酒店位置离办事地点很方便。早參牛肉粉很好吃。', '短评打分': 4}
{'短评内容': '早餐丰盛，味道不错，有停车位。', '短评打分': 5}
{'短评内容': '酒店建的比较早，设备设施较陈旧了。性价比不合适。浠水来讲，天泽不错，还有个威尼诗很不错，澳门人建的，政府补贴，价格偏宜。', '短评打分': 3}
{'短评内容': '不错，也很安静，靠近商业街。', '短评打分': 5}
{'短评内容': '每次回老家住该酒店，不错！', '短评打分': 4}
{'短评内容': '闹中取静，卫生不错，就是遗留了洗涤用品没人通知。', '短评打分': 5}
{'短评内容': '还不错，亲戚朋友们住了都说挺好', '短评打分': 4}
{'短评内容': '还不错，亲戚朋友们住了都说挺好', '短评打分': 4}
{'短评内容': '还不错，亲戚朋友们住了都说挺好', '短评打分': 5}
{'短评内容': '还可以，早餐也还好', '短评打分': 5}
{'短评内容': '环境还行，大堂在六楼', '短评打分': 5}
{'短评内容': '感觉还可以，但设施旧了一些，早餐吃不下。', '短评打分': 5}
{'短评内容': '还不错，也很安静，吃饭的地方比较少，靠近商业街。', '短评打分': 5}
{'短评内容': '县城最后几家酒店之一', '短评打分': 5}
{'短评内容': '估计是浠水最好的酒店了，但是新装修，味道太重了。建议目前还是先别住的好，不然帮商家当人体净味器了！', '短评打分': 5}
{'短评内容': '新酒店，有点味儿，服务周到，交通便利，视野开阔，推荐！', '短评打分': 5}
{'短评内容': ' 新酒店服务很好，很干净，推荐入住。', '短评打分': 3}
