{'短评内容': '还不错！挺好的。', '短评打分': 5}
{'短评内容': '附近吃饭和超市不方便。但是早餐不错！', '短评打分': 5}
{'短评内容': '走廊电梯异味较大', '短评打分': 3}
{'短评内容': '5号晚上才下订的，6号入住酒店时说当天房价调整了才209元，因为是订的闪住不能取消原订单，感觉真是有点儿不爽，后来酒店前台说调个258元的贵宾房，看到房间还算可以，经验教训，小县城长假后期住房基本不要提前预定！酒店在中心道路旁，整体装修已陈旧，短途旅行也还可以吧！有一可放十部车左右的地下室停车库！', '短评打分': 4}
{'短评内容': '正常的三星酒店，中规中矩，价格感觉比较值', '短评打分': 5}
{'短评内容': '很满意，好几次来都是住这里，地理位置又方便，房间很安静，前台服务超好，满意！', '短评打分': 5}
{'短评内容': '总的来说不值这个价格。外观 前台的着装倒是很像三星级的，不过里面就一普通商务酒店', '短评打分': 4}
{'短评内容': '总的来说不值这个价格。外观 前台的着装倒是很像三星级的，不过里面就一普通商务酒店', '短评打分': 4}
{'短评内容': '还好吧，价格便宜，设施齐全，早饭餐厅里的粥非常不错，唯一的建议是该装修了，有些陈旧了。', '短评打分': 4}
{'短评内容': '总的来说不值这个价格。外观 前台的着装倒是很像三星级的，不过里面就一普通商务酒店，而且马桶盖都掉了，热水得开好长时间才热。', '短评打分': 3}
{'短评内容': '新丰镇中心位置，交通方便，购物方便，周边吃饭吃早餐方便，服务态度好，房间干净，毛巾，床品干净，就是晚上楼下ktv有些吵。', '短评打分': 5}
{'短评内容': '之前已经想要入住的，但由于价格问题一直没有预定成功！现在有机会入住了，感觉比交通大酒店要好，但就比皇天星悦差少少，毕竟已经有一定历史了！但楼下饮早茶的地方不错哦！！', '短评打分': 4}
{'短评内容': '之前已经想要入住的，但由于价格问题一直没有预定成功！现在有机会入住了，感觉比交通大酒店要好，但就比皇天星悦差少少，毕竟已经有一定历史了！但楼下饮早茶的地方不错哦！！', '短评打分': 4}
{'短评内容': '还凑合吧', '短评打分': 3}
{'短评内容': '酒店残旧', '短评打分': 1}
{'短评内容': '三星级，性价比还可以，出差住了一个晚上，够安静', '短评打分': 5}
{'短评内容': '还可以，就是有点旧，味道较重。凑够20个字吧', '短评打分': 5}
