{'短评内容': '老板人热情', '短评打分': 4}
{'短评内容': '宾馆环境一般，交通便利', '短评打分': 3}
{'短评内容': '宾馆环境一般，交通便利', '短评打分': 3}
{'短评内容': '旅馆服务非常还错，房间很大，还有个麻将台免费娱乐，以性价比来说，五星评价！', '短评打分': 5}
{'短评内容': '旅馆服务非常还错，房间很大，以性价比来说，五星评价！', '短评打分': 5}
{'短评内容': '服务还不错，就是房价太贵，也许去的是节日。设备设施一般。', '短评打分': 4}
{'短评内容': '又干净，东西齐全，老板人很好，顶楼还有自动洗衣机和晾衣服', '短评打分': 5}
{'短评内容': '位置处的不错，地点很好找，老板待人热情况好客，赞。环境一般吧！总体满意。', '短评打分': 4}
{'短评内容': '感觉不错，适合家庭，情侣，居住，老板人不错，服务态度好周到，而且靠近景区非常方便出门就是热闹大街，下次还来。祝老板生意兴隆。', '短评打分': 5}
{'短评内容': '不错的，老板夫妇很好说，价格也实惠', '短评打分': 5}
{'短评内容': '一般般，尤其是那个床。。。感觉随时会塌', '短评打分': 3}
{'短评内容': '老板很热情，推荐住宿', '短评打分': 3}
{'短评内容': '老板还是很热情。离河边很近，不知道是不是在镇远这种景点的价格都不便宜。去的时候镇远交通管制，离宾馆本来只有百来米，在街边的小院落里，老板不到街边来才知道走。', '短评打分': 4}
{'短评内容': '老板夫妇不错，和蔼可亲！', '短评打分': 4}
{'短评内容': '挺好！我们运气好，找到了合适的车位。', '短评打分': 5}
