{'短评内容': '太差了', '短评打分': 1}
{'短评内容': '附近也没啥好酒店，出差地在这，只能选择这儿。比较简单的招待所，离机场近。没热水！！！服务员态度不错！！！', '短评打分': 3}
{'短评内容': '附近也没啥好的酒店，出差只能选择这儿了。比较简单。服务员还行吧，没有评论的那么差。', '短评打分': 3}
{'短评内容': '老酒店了，设施肯定略旧。但是服务很好，我忘记开发票了还给我寄。', '短评打分': 4}
{'短评内容': '很安静，前台和餐厅的美女很热情，帮着推荐线路，房价在10.1都不变，很讲信誉！给赞，就是去了自带无线路由', '短评打分': 3}
{'短评内容': '房间窗户大，没异味。但是设施旧，洗澡水不热', '短评打分': 3}
{'短评内容': '房间很大，就是有点陈旧，但是性价比高，热水差点', '短评打分': 3}
{'短评内容': '地点方便，交通便利。价钱便宜，总之是不错的选择。', '短评打分': 3}
{'短评内容': '环境还可以，就是设备有点旧，洗澡需要水循环', '短评打分': 3}
{'短评内容': '离机场很近。 设施齐全，整洁，安静。 小缺点：某些设备有些旧了，有待更换，比如电视和空调的遥控不太好用。洗澡水不热，常温的。现在天热了也无妨，不知道冬天咋样。 重点称赞：服务热情周到，每个楼层都有服务员，随叫随到。 顺便说一下，含自助早餐的，在一部，很不错哦。 总体来说，不错。', '短评打分': 5}
{'短评内容': '酒店太老，提供免费瓶装水的服务也没有', '短评打分': 3}
{'短评内容': '有点坑爹，这家还分两个部，但问题是宾馆房间任何部位都没标注，酒店电话不同部还分不同电话，都不知道打哪个，搞个送餐服务这边推那边那边推这边，最后还是自己去餐厅吃饭了事。最可怕的是我出门时房卡忘拿了，一开始以为掉了准备再办一张收点费用吧，前台居然什么信息都不核实直接帮我办了，这要是谁想动点歪脑子我房间里的东西就随便拿了啊......', '短评打分': 1}
{'短评内容': '离机场比较近，所以能听见飞机的声音。其他方面条件不错。总体满意', '短评打分': 5}
{'短评内容': '很好很实惠', '短评打分': 3}
