{'descr': '价格、卫生、设施一般、地理位置还行', 'star': 4}
{'descr': '屋内干净，主要是交通非常便利，去天津之眼、火车站等地很近。在酒店可以看到天津之眼。服务也不错。下次去还会选择这里', 'star': 5}
{'descr': '还行，挺干净的，还可以看见天津之眼', 'star': 3}
{'descr': '找了一小会，房间感觉不错，网速我满意，可以入住！', 'star': 5}
{'descr': '酒店非常好。就是中央空调有点热', 'star': 3}
{'descr': '床特软 用着晃悠', 'star': 3}
{'descr': '酒店离海河、天津眼很近，服务人员态度很好，以后还会入住。', 'star': 5}
{'descr': '  空调好差，热死了', 'star': 3}
{'descr': '干净舒适，透过窗户可看到天津之眼 夜景很美吆', 'star': 5}
{'descr': '＋没到酒店之前还担心订的房间不好，结果还是没有让我们失望，酒店环境干净舒适，站在窗前就能看到天津之眼，太爽了。同事们都很满意。', 'star': 3}
{'descr': '环境挺干净，有个窗户。周围有个美术学院，都是卖绘画用品的，而且很安静。离海河比较近，走过去就能看到天津之眼。河边夜景很美。', 'star': 5}
{'descr': '\u3000不错.很安静.床略硬.', 'star': 3}
{'descr': '＋挺好的，交通便利', 'star': 3}
{'descr': '整体不错~~只是走廊隔音差点,不过也无大碍。挨河边和摩天轮近~~', 'star': 3}
{'descr': '酒店还可以，住的挺舒服', 'star': 3}
{'descr': ' 床太硬 不是很干净 环境一般 离天津眼很近 走路十多分钟即到', 'star': 3}
{'descr': '环境很干净。前台效率有待提高。总体很满意。', 'star': 3}
{'descr': '挺好，安静，靠近大悲禅院方便礼佛，离天津站也不远，到古文化街和南市食品街、意式风情街这些景点都不远。', 'star': 5}
{'descr': '床有点高，挺干净的，但是隔音太差。', 'star': 3}
{'descr': '位置不错。干净，温馨，体贴。空调效果很好。', 'star': 5}
{'descr': '很干净 很舒服 ', 'star': 3}
{'descr': '房间还好，很暖和！', 'star': 3}
{'descr': '很好，住宿环境不错，在五楼的视线也很好~~', 'star': 5}
