{'descr': 'kkllkkkklll', 'star': 1}
{'descr': '不错不错', 'star': 5}
{'descr': '还可以 就睡一觉 ', 'star': 5}
{'descr': '可以  服务不错', 'star': 5}
{'descr': '没有早餐 ！', 'star': 5}
{'descr': '好几次入住。还不错', 'star': 4}
{'descr': '不错，服务很好，环境也不赖，下次还去这家。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '挺好的！干净！房间还好', 'star': 5}
{'descr': '出门这么多次，头一次给差评，真的是很不好，空调冷的要命，30度还只是穿外衣不会冷，房间和照片相差的不是一点半点啊！还有很多飞的那种潮虫，睡觉时玩手机，一个劲儿往我脸上扑，3层楼，没有电梯，行李都要自己提上去，退房的时候，金额有偏差，让我自己找网站处理，虽然不是他们的原因，但是，这态度，我也真是醉了……建议亲们定附近的酒店吧，有7天连锁', 'star': 1}
{'descr': '弄的很干净的，就是周围没什么超市', 'star': 4}
{'descr': '老宾馆了，这个价钱很划算了', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '挺好的', 'star': 3}
{'descr': '前台的那个长头发男生，哎！', 'star': 1}
{'descr': '离地铁及大悦城步行需要15分钟。', 'star': 5}
{'descr': '离地铁及大悦城步行15分钟，比较便利。', 'star': 5}
{'descr': '服务人员  服务周到  环境优美', 'star': 4}
{'descr': '给朋友定的，虽然外表看上去平平无奇，里面还算干净整洁，让人看着很舒服，周边环境也很好，很安静。唯一不好的一点就是朋友在住的有一间窗子打不开，屋子有烟味，希望以后当客人退房以后，在整理房间的同时打窗子也打开一会儿，换换新空气，有些异味儿开空调也是无法去除的。', 'star': 5}
{'descr': '住的是大床房，环境和设施都一般，地点因为个人原因还可以。总体感觉就是一般。', 'star': 5}
{'descr': '装潢不错，整体还可以，住的地方离办事的地儿近，当地也没有太多选择', 'star': 5}
{'descr': '酒店环境不错，交通还算可以，安静。就是商务间没有团购。', 'star': 5}
{'descr': '房间有点小，偏暗。有蚊子。就是安静些，出行还算方便吧，\n。挨着马路。', 'star': 5}
{'descr': '其实我感觉很好。如果追求好的地方那还不如就去高价位的了。还不想出大价钱，还要求好的，无语。我感觉还不错，住了四天，最起码该有的热水之类的都很好。网络很快，下载4M每秒，无限速，很爽。', 'star': 5}
{'descr': ' 就像大家说的一样，房间很小，商务大床的房间比标准间还能大些。房间通风不好！', 'star': 3}
{'descr': '房间很小,窗户对着公路,太吵了,好久才睡着', 'star': 1}
{'descr': '环境还可以，就是房间不提供付费饮料和食品！也没有一次拖鞋！', 'star': 3}
{'descr': '环境还可以，设施有些老，早餐不是很丰富，性价比比较高', 'star': 5}
{'descr': '外面看起来很小 其实里面布置的还挺温馨 喜欢里面的小红被罩 下次还会去的', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '很实惠的地方，但是卫生略差，可能是北方的关系吧，南方人不适应', 'star': 5}
{'descr': '出机场20分钟不堵的情况就能到，距离东四环也只有10分钟车程，交通情况还是比较通达的。这次入店住的是一楼，卫生间的地漏不太顺畅，洗澡不爽。', 'star': 5}
{'descr': '性价比高，就是偏僻了点，服务挺好的，有宽带，但没有电脑，不过是无线网络，还算可以吧，装修还可以，有热水，舒服~', 'star': 5}
{'descr': '空调不太好用，而且不能定餐……不过性价比还是挺划算的', 'star': 3}
{'descr': '位置不是很好，而且隔音效果也不是很好，墙面也很脏……周围都在施工，而且周围都是村，总是觉得不是很安全……', 'star': 1}
{'descr': '价格比较合适，\n通风效果不好，\n比较干净。', 'star': 5}
{'descr': '不错，价格实惠。\n\n临街，噪音不太大。\n\n离家乐福超市不远。', 'star': 5}
{'descr': '＋一般', 'star': 3}
{'descr': '总的来说还算是经济实惠，位置有点偏但是价格在这里', 'star': 5}
{'descr': '  已入住，不错', 'star': 3}
{'descr': ' 经济实惠', 'star': 3}
{'descr': '很经典的酒店啊。。。老字号。服务到位，价格合理。交通不是很方便，北京的交通就这样了。', 'star': 5}
{'descr': '\r\n很好.', 'star': 3}
{'descr': '不错，性价比高', 'star': 3}
{'descr': '安静，实惠', 'star': 5}
{'descr': '性价比较高，标准间168元，但也不是最低的。附近1公里左右有家乐福超市及商场，车行等，但只能步行去，没有公交车。离朝阳公园10-15分钟的车程，很近，到北京站或天安门乘车要1-2小时，很久，附近没地铁，交通不方便。宾馆可以订送票，服务，卫生均一般，室内没有地毯，隔音不是很好，有热水澡，休息还行，在附近办事还是推荐的', 'star': 3}
{'descr': '只是价位可以，性价比较高。其他均一般化，交通不方便', 'star': 5}
{'descr': '挺好的，性价比相当好！', 'star': 5}
{'descr': '朋友来北京入住房在这个宾馆，总体来说我觉得在这附近是性价比还可以的一个宾馆，总体还是比较经济，就是一层的房间感觉有点降档次', 'star': 5}
{'descr': '和爸爸妈妈住的三人间，宽敞舒适，配套设施完善，价位合理，感觉很好。', 'star': 5}
{'descr': '酒店房间太小，特别是位置不好，吃饭很不方便。', 'star': 1}
{'descr': '1', 'star': 5}
{'descr': '这家酒店我住了两次，感觉环境不错，但是隔音效果不太好，要是价格在低点就更好了 ', 'star': 3}
{'descr': '我很喜欢这家酒店,位置很好,离我办事的地方很近,而且出去购物也很方便,房间的条件也都不错,住着很舒适,而且性价比也是比较高的.', 'star': 3}
{'descr': '酒店设施很简陋，都是简易钢构产品，最好别靠马路，但是还是可以满足基本商旅出行的，交通还比较方便啦。推荐了', 'star': 3}
{'descr': '隔音不好，其他还算可以', 'star': 5}
{'descr': '就点数是都很好,卫生服务都不错.房间门缝比较大隔音不好.门的质量很差,位置很好交通便利.', 'star': 3}
{'descr': '客观的讲，本店虽然装修有些简单，但是可以满足商务出行，本人推荐。客房里边被子是粉色的，比较温馨，后楼比前面的客房姚安静些。', 'star': 3}
{'descr': '性价比较好，酒店客房里边的设施尚且可以，只是算不上好。出门办事可以考虑。', 'star': 5}
{'descr': '服务还是比较满意的.房间也很不错很干净,就是交通是稍微差一些.性价比还是比较不错的.', 'star': 3}
{'descr': '服务态度差的很，假如要不是离机场近，嘿嘿……，不好说', 'star': 1}
{'descr': '非常差，价格其实不低，服务差', 'star': 1}
{'descr': '替我出国的舅舅预定的，住了两晚。\r\n虽然房间小了点，但卫生条件不错，而且也比较安静，离朝阳公园，农展馆等都很近，对得起这个价位，不错!', 'star': 3}
{'descr': '距离市区比较远,交通不便!', 'star': 1}
{'descr': '价格很便宜，房间条件也不错，只是房子小了点，唯一的缺点是不能上网', 'star': 5}
{'descr': '酒店条件挺好的，硬件设施完善，服务周到 ，房间干净整洁，位置也挺好的，比较方便。', 'star': 5}
{'descr': '酒店的位置不好，交通不便利的，服务卫生以及设施都可以的，价格还可以接受的，入住的环境都还可以的', 'star': 5}
{'descr': '设施很好，但交通不太方便', 'star': 1}
{'descr': '酒店之前安排的房间通风不是很好,要求酒店换其他的房间,酒店当时没有满房,但是酒店不给调整,感觉酒店的态度不是很好,其他的都还可以的', 'star': 5}
{'descr': '酒店的服务卫生方面还是不错的,价格也蛮合适的,就是位置有点偏交通不太方便', 'star': 5}
{'descr': '厕所下水很差，门口也没有隔挡，洗的时间稍微长一点水就会漫进房间，浴室内装璜较旧，房间里的漆倒应该是重新刷过的，而且没什么味道。房间偏小，位置一般，退房倒是很快。以这种水平的房间来说170有点儿贵了，不推荐入住。', 'star': 1}
{'descr': '总体来讲性价比还可以，二楼的房间要比其它层设施要新一点，房间稍显有点小，比较适合出差入住，总体还满意。', 'star': 5}
{'descr': '前台服务态度不错。&lt;br /&gt;\n卫生间积水严重，淋浴热水迟迟不见。', 'star': 1}
