{'短评内容': '不错的酒店，各方面很好，适合短期出差。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '也不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，就是靠近马路有些吵', '短评打分': 4}
{'短评内容': '环境很优美 ', '短评打分': 5}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '说是四星，实际也就2星半。', '短评打分': 5}
{'短评内容': '一般！', '短评打分': 2}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '还不错，帮朋友预定的，离家比较近', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '靠窗的房间有点不隔音', '短评打分': 5}
{'短评内容': '永远都订不到不靠马路的房间', '短评打分': 3}
{'短评内容': '无', '短评打分': 5}
{'短评内容': '对于该价位同档次的酒店，性价比不错。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
