{'短评内容': '离湖边很近，整体也很安静。', '短评打分': 5}
{'短评内容': '每次来苏州都住这里非常好', '短评打分': 5}
{'短评内容': '性价比很高，服务好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境优美，房间干净整洁。', '短评打分': 5}
{'短评内容': '环境不错，去市区较远。', '短评打分': 5}
{'短评内容': '非常好，下次还会去住这酒店', '短评打分': 5}
{'短评内容': 'very good，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '苏州金陵观园国际酒店 金陵贵宾楼层豪华单间', '短评打分': 5}
{'短评内容': '京东酒店 服务', '短评打分': 5}
{'短评内容': '给朋友订的 没上去 应该不错的', '短评打分': 5}
{'短评内容': '酒店还不错，如果能有更多优惠就好了', '短评打分': 4}
{'短评内容': '早餐一直很棒', '短评打分': 5}
{'短评内容': '不错还是比较好的', '短评打分': 5}
{'短评内容': '不错还蛮好吧', '短评打分': 5}
{'短评内容': '设备有点老～但是住的也好啊～书桌有台灯房间看书～晚上有点声音，但也不怎么影响…总体还是不错！', '短评打分': 4}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '非常好，地铁旁，服务周到，环境还行', '短评打分': 5}
{'短评内容': '进店送了张贵宾卡，下次就只要398', '短评打分': 5}
{'短评内容': '感受还不错', '短评打分': 4}
{'短评内容': '各方面都不错，周围环境很好。', '短评打分': 5}
{'短评内容': '设施很好，服务总体来说不错，是去苏州的一个良好选择。', '短评打分': 3}
{'短评内容': '整体非常不错的酒店，早点很不错，房间很大很整洁，下次来继续入住。', '短评打分': 5}
