{'短评内容': '位置不错，酒店有点老', '短评打分': 4}
{'短评内容': '一般，就是离西湖较近', '短评打分': 3}
{'短评内容': '酒店还可以。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '服务态度非常好！', '短评打分': 3}
{'短评内容': '去跑马拉松，里起点很近。房间整洁。', '短评打分': 5}
{'短评内容': '宾馆交通方便，步行2公里㎞就到了西湖风景区，坐11路公交车2站就到了武林广场地铁站，酒店设施很好，是老牌国营的，客服服务态度很好，酒店内外都有美食店，下次来杭州还会住这里', '短评打分': 5}
{'短评内容': '宾馆交通方便，步行2公里㎞就到了西湖风景区，坐11路公交车2站就到了武林广场地铁站，酒店设施很好，是老牌国营的，客服服务态度很好，酒店内外都有美食店，下次来杭州还会住这里', '短评打分': 5}
{'短评内容': '宾馆交通方便，步行2公里㎞就到了西湖风景区，坐11路公交车2站就到了武林广场地铁站，酒店设施很好，是老牌国营的，客服服务态度很好，酒店内外都有美食店，下次来杭州还会住这里', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '设施偏老，还有蟑螂，位置不错', '短评打分': 3}
{'短评内容': '好okokokokokokokokokokokokokoko', '短评打分': 3}
{'短评内容': '建设厅的招待所，房子比较旧，房间里的设施也比较陈旧。但是房间面积比较宽敞，住着还是比较舒适的，性价比比较高。这里离西溪校区很近，挺方便的。总体来说还不错', '短评打分': 3}
{'短评内容': '地理位置好，大堂服务很热情', '短评打分': 3}
{'短评内容': '酒店服务不错，干净整洁，开始安排的房间由于临近排水管道有些吵，要求调换后前台及时予以解决，态度温和，有礼貌。不足之处：酒店设施略显陈旧，马桶的冲水按钮很费力才能按下去，有待更换了。', '短评打分': 5}
{'短评内容': '此酒店离我的奶奶家比较近，出行比较方便，就是内部的停车场较为拥挤，虽然没有早餐提供，但周边有菜场和许多小吃店，加上楼下餐厅衢记三宝的味道还不错，可以推荐入住，不过节日的价格稍稍有点高！', '短评打分': 5}
{'短评内容': '地理位置还可以，酒店要是能多点一些服务，比如：设置交通指南，哪条公交到哪个景点，这样会更加好。', '短评打分': 5}
{'短评内容': '＋4月3日入住杭州建设饭店感觉房间明亮，干净，很舒服，性价比较高。', '短评打分': 3}
{'短评内容': '预定该酒店是为了去黄龙世贸中心参加展会方便，从酒店到展会步行也就几分钟，到西湖步行大概要十多分钟。酒店环境不错，价格经济实惠，房间整洁卫生，前台服务较好，我们一行共住宿了五晚，总体感觉不错。四周交通也方便……推荐！', '短评打分': 5}
{'短评内容': '酒店位置蛮好，离西湖很近，周边也很热闹。房间不错', '短评打分': 5}
{'短评内容': '各方面都差', '短评打分': 3}
{'短评内容': '一开始给的两间房吓人的，床有高低，房间又旧又不大，后来换了一间还行。服务还不错。', '短评打分': 3}
{'短评内容': '很好，下次会再光顾。', '短评打分': 3}
{'短评内容': '服务态度很好，离西湖很近，价格还算不错。', '短评打分': 5}
{'短评内容': '总体情况还可以，离西湖很近，里面餐厅也不错，停车场也蛮大的。', '短评打分': 5}
{'短评内容': '房间设施陈旧了点，交通还算方便，性价比还行', '短评打分': 3}
{'短评内容': '房间设施陈旧了点，交通还算方便', '短评打分': 3}
{'短评内容': '周末入住杭州建设饭店，感觉很好。服务态度不错，房间不小，交通很方便。下次来杭州，还住建设饭店。', '短评打分': 3}
{'短评内容': '环境还好，卫生打扫不错，设施有些陈旧了，离西湖挺近，游玩挺方便的。', '短评打分': 3}
{'短评内容': '房间不大，卫生方面还好，隔音效果还好，设施需要改进一下了。', '短评打分': 3}
{'短评内容': '整体感觉还不错，干净整洁，服务热情，位置也挺好。', '短评打分': 5}
{'短评内容': '酒店挺大众化的，没什么特殊，总体感觉还算舒适，位置很好，离西湖挺近，游玩挺方便。', '短评打分': 3}
{'短评内容': '房间布置的比较温馨，周边环境很好，离西湖很近，附近吃饭的地方也挺多的。', '短评打分': 5}
