{'短评内容': '满客酒店 实际住的一锦二巷 套路深啊', '短评打分': 3}
{'短评内容': '房间还挺大，就是不好找，满客两个字晚上根本看不到，转了半天，想不到那个名字是精品酒店的就是，另外房间卫生有点差，穿鞋子在地上走会粘粘的，酒店装修的也不是很精致，墙皮开裂的地方很多，房间没有电话，电视打开没频道，也懒得再下去找人看了', '短评打分': 3}
{'短评内容': '服务态度不是很好，917门开不了，刚好一服务员路过说：“哪个服务员给你开的房，你找哪个？”有点郁闷！', '短评打分': 4}
{'短评内容': '设施略微陈旧，总体还不错', '短评打分': 4}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '成都满客酒店地理位置标识虚假，且未设前台，造假顾评好评信息，误导坑害广大顾客......', '短评打分': 1}
{'短评内容': '条件挺好的，有冰箱、抽油烟机、洗衣机等干净卫生，主要是出行方便，楼下有银行、旅行社，到天府广场、耍都、人民公园都只有几分钟路程，相信我的选择。', '短评打分': 5}
{'短评内容': '这家酒店的电梯太难等了，大家请一定记得到旁边D6旅馆那里进去从1楼乘电梯，从这家酒店前台上到2楼乘电梯会因为1楼已经满载而不停2楼。', '短评打分': 4}
{'短评内容': '优点:1、离人民公园，宽窄老子，武候祠，锦里近。2、房间大。缺点:1、是麻将酒店，有人打麻将，很吵。2、服务差。先住的房问临街，窗子坏的，将就了一晚上。酒店答应修窗或换房间，但第二天服务员竟然忘了。3、第三天晚上才换到第二个房间，发现没有饮用水，前台让我在房间里等，会让人送来，结果到了第四天也没有人送。只能自己出去买了两瓶水。4、房间里电源播座少。5、卫生间没有挂毛巾的钩子。6、第三天就没有了给打', '短评打分': 3}
{'短评内容': '酒店改了名字，在那幢楼外立面看不到满客酒店的招牌，害得我到处找。房间设施一般。价格也算合理。', '短评打分': 4}
{'短评内容': '酒店很好，装修的也很好，价格也便宜，真心值得推荐', '短评打分': 5}
{'短评内容': '环境，卫生都还可以', '短评打分': 3}
{'短评内容': 'The staff were friendly and seemed to want to be helpful.  The hotel is run down and spread out through a very large building. There are three other hotels listed in c-trip with this address.  Use the', '短评打分': 3}
{'短评内容': '房间一般，不算优惠', '短评打分': 4}
