{'短评内容': '酒店位置很好，很方便。', '短评打分': 5}
{'短评内容': '有早餐 虽然简单 但也能吃饱 门前停车方便 服务不错 吃饭方便 房间宽敞', '短评打分': 5}
{'短评内容': '餐厅不好，吃的太不好了。', '短评打分': 2}
{'短评内容': '除了无停车场  早餐不好 热水不够热外  其余的还好', '短评打分': 5}
{'短评内容': '除了无停车场  早餐不好 热水不够热外  其余的还好', '短评打分': 5}
{'短评内容': '干净，', '短评打分': 5}
{'短评内容': '在鸡西勉强住着吧', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '感觉一般，就是热水真是来的太慢了，各别房间洗浴设施不好，', '短评打分': 4}
{'短评内容': '感觉一半，就是热水真是来的太慢了，各别房间洗浴设施不好，', '短评打分': 4}
{'短评内容': '感觉一半，就是热水真是来的太慢了，各别房间洗浴设施不好，', '短评打分': 4}
{'短评内容': '还好，就是有点冷{{{(_)}}}', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务周到，卫生情况良好，地理位置方便。', '短评打分': 5}
{'短评内容': '不错，艺龙价钱比较便宜，挺好的。', '短评打分': 3}
{'短评内容': '前台服务一般，房间一般，靠马路的比较吵，房间灯太昏暗，价位便宜些就更好哦！', '短评打分': 3}
