{'短评内容': '环境挺好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '早餐还可以，加床不知道呢。我觉得可以带孩子，位置不错，有停车位的，蛮宽敞的。前台服务还不错，隔音也还可以，如家连锁', '短评打分': 5}
{'短评内容': '早餐一般吧，还可以。环境还不错，位置很好，有停车位', '短评打分': 5}
{'短评内容': '宾馆的位置不错，在一个环型公路旁，窗户外边景色很漂亮。酒店服务也不错，毕竟如家。下次还会来，很不错的', '短评打分': 5}
{'短评内容': '环境不错，I酒店 干净卫生，', '短评打分': 5}
{'短评内容': '环境卫生不错，服务态度很好，周边买东西吃饭很方便', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，服务态度很好，', '短评打分': 5}
{'短评内容': '不错的！', '短评打分': 5}
{'短评内容': '还可以的！', '短评打分': 5}
{'短评内容': '不错，多开几家……挺好', '短评打分': 5}
{'短评内容': '通过携程订的房间，价格很优惠，房间也比较干净。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '还行，标准服务', '短评打分': 5}
{'短评内容': '干净卫生，相当的不错啊！很好很好', '短评打分': 5}
{'短评内容': '不错。   环境好。 挺方便的', '短评打分': 4}
{'短评内容': '乱糟糟的环境，狭窄的房间，', '短评打分': 1}
{'短评内容': '一直推销会员卡，门市价格和携程上一样，携程完全没有价格优势', '短评打分': 3}
{'短评内容': '不错！还可以！', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也可以。用携程价格也能接受', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
