{'短评内容': '酒店地理位置挺好', '短评打分': 5}
{'短评内容': '临时预定的，服务还不错，休息的也挺好，饭菜好吃，补充了满满的能量，很满意！推荐！', '短评打分': 5}
{'短评内容': '五台山一游感觉好极了，一路的美丽景色尽收眼底，山庄离景点不远，晚上还可以逛一下热闹的杨柏峪街，来回都很方便，回到酒店却是很安静的呢，很适合休息，房间干净温馨，住得很满意！', '短评打分': 5}
{'短评内容': '客观的说，比起其它大酒店真的很好也不是，但就地方以及价格来讲，可以了，满分！', '短评打分': 5}
{'短评内容': '酒店上下井井有条，还是很正规的，不用担心被坑，且附属设施齐全比较方便的，服务也很热情，不错！', '短评打分': 5}
{'短评内容': '本来用携程定的景区内别的酒店，结果去了说没收到携程的订单，推荐去他们二店，老板说比我们订的房间又好又便宜，一会来了两个人领着我们去，结果是往山下走，果断掉头又回到山上，携程立马协调了灵峰山庄酒店，并承诺给补差价，于是我们就住了进去。酒店在景区内很上档次，干净卫生，设施挺新的，灵峰山庄内自带饭店和土特产超市，本次入住愉快，点赞！！！', '短评打分': 5}
{'短评内容': '反正不好', '短评打分': 2}
{'短评内容': '硬件设施很差，环境不好，饭的味道很浓，一楼声音很大，影响睡眠。', '短评打分': 2}
{'短评内容': '在五台山属于不错的酒店，就是被子有点潮，房子隔音效果很一般，一早可以听到很多香客起床的声音。服务员的态度不错，有问题马上会帮忙解决。', '短评打分': 4}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '环境不错，距离每个景点都比较方便，就是价格有点小贵。', '短评打分': 5}
{'短评内容': '离真容寺较近，酒店装修一般，暖气足，热水出水较慢，比较浪费。', '短评打分': 3}
{'短评内容': '价格适中，性价比还算可以，餐厅用餐还给打了折，下次还会入住', '短评打分': 5}
{'短评内容': '看着评价还不错，就入住，在景区算不错的酒店，还算满意，楼下有餐厅和超市，挺方便！', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 5}
