{'短评内容': '还可以，在夫子庙附近。就是房间有点小，空调是在床上方。', '短评打分': 5}
{'短评内容': '额，怎么说呢！这个价格这个位置就不能要求太多吧！起码床还有', '短评打分': 4}
{'短评内容': '很为客人着想，能够理解客人的需要，把客房提高一个等级，给了旅客一个惊喜。义务为旅客介绍南京的风土人情。', '短评打分': 5}
{'短评内容': '交通便利，老板也挺客气。', '短评打分': 4}
{'短评内容': '位置很好~去哪都挺方便的', '短评打分': 4}
{'短评内容': '房间不大，但景区旁能用这样也不错了', '短评打分': 5}
{'短评内容': '环境很明亮，卫生也还行，不吵，隔音效果还行，最主要是距离夫子庙超近的，走路几分钟就到了，总体不错吧！', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '设施老旧，空气很差，房间小，尤其隔音效果不好，一晚上都听见别人在打电话，开门，一点也没睡好，要说好处，就是地理位置比较好，离乌衣巷很近，可以夜游秦淮，真实一分钱一分货呀', '短评打分': 3}
{'短评内容': '房间服务到位，管理完善。特别是当时没有发票，工作人员邮寄发票后反复确认是否收到。服务非常贴心。全五好评', '短评打分': 5}
{'短评内容': '服务态度好，干净卫生，离夫子庙景区很近，后面就是小吃一条街，挺好的！', '短评打分': 5}
{'短评内容': '感觉价格便宜，环境还好，总体过关。', '短评打分': 4}
{'短评内容': '卫生不行', '短评打分': 3}
{'短评内容': '房间很干净。住的挺舒心的。下次来还住这里。', '短评打分': 5}
{'短评内容': '地理位置不错！老板不错！', '短评打分': 5}
{'短评内容': '价格低，空间小些，总体感觉还好。值得工薪人士，学生朋友入住。', '短评打分': 5}
{'短评内容': '经济实惠，该有的东西都有，就是小了点，关键是价格给力', '短评打分': 5}
{'短评内容': '有可能因为要装修，空调噪音比较大。刚刚去，有个打扫卫生的清洁工，很好。', '短评打分': 1}
{'短评内容': ' 网上说离南京南站1.7公里，实际远远不止，坑爹呀。总体一般化，不过钱摆那你的。', '短评打分': 3}
{'短评内容': '首先老板还是很客气的，但是房间设计很差，完全没考虑客人入住的方便和舒适度，所以，我不推荐朋友们去他家住，其实比他家便宜点的，一般的酒店，即使没空调，没室内厕所，住起来都比他家方便舒服啊。', '短评打分': 1}
{'短评内容': '房间小，卫生间臭，空调声响，与夫子庙位置近，就是指示的地址与实际不一样。', '短评打分': 1}
{'短评内容': '就在夫子庙景区边上，很方便，就是房间比较小', '短评打分': 5}
{'短评内容': '  总体还不错，主要是位置比较好，就在夫子庙美食节边上。不过找起来也挺费劲的、服务态度一般。88大床房无窗。上网我反正是没上去。其他都还可以。性价比比较高。', '短评打分': 5}
{'短评内容': '住宿一般，脏点，在那个地段价格适中吧，感觉不正规', '短评打分': 3}
{'短评内容': '设施比较旧，卫生条件超出了我的接受范围。', '短评打分': 1}
