{'短评内容': '性价比很高，非常划算，交通便捷出门办事都方便！好评！', '短评打分': 5}
{'短评内容': '挺好的酒店，床很舒服，酒店有暖气', '短评打分': 5}
{'短评内容': '在贵阳还是不错的酒店', '短评打分': 4}
{'短评内容': '酒店很好，會再次預訂。', '短评打分': 5}
{'短评内容': '酒店很好，會再次預訂。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '各方面都很好，本来想入住同名新一点那家的，不过已经在携程上付款了，就将错就错入住了。这两天贵阳超冷，房间空调声音大，暖风吹一晚上都不是很热。不过，过道的空调一来就暖风阵阵，不知道是什么情况，难道不是中央空调吗？', '短评打分': 4}
{'短评内容': '不错的酒店，帮同事们预订的，听说很不错', '短评打分': 5}
{'短评内容': '不错的酒店，帮同事们预订的，听说很不错', '短评打分': 5}
{'短评内容': '比较一般，酒店房间内部还可以，外面太寒颤了', '短评打分': 4}
{'短评内容': '酒店很安静，也干净，交通很便利，附近人多杂乱，还好治安较好。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
