{'短评内容': '还不错。就是特价房下水管好吵！', '短评打分': 5}
{'短评内容': '住宿挺好的，经济实惠', '短评打分': 5}
{'短评内容': '酒店位置方便，就是停车不方便，其余的还行，可以入住', '短评打分': 4}
{'短评内容': '紫薯紫薯紫薯紫薯紫薯紫薯紫薯紫薯紫薯紫薯紫薯', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '很棒！很不错的一次住宿体验', '短评打分': 5}
{'短评内容': '舒适干净，前台接待服务很好，很高兴能住在这家，以后还会去的！', '短评打分': 5}
{'短评内容': '很不错，干净卫生，感觉不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '快捷酒店该有的，该达到的标准都到了。交通方便，出门就是公交站，位于繁华区域，前台解答细致。', '短评打分': 5}
{'短评内容': '周边环境有点儿吵，房间很干净就是有点儿小、', '短评打分': 4}
{'短评内容': '离当地两大夜市都不远，交通很便利，门口就是公交站，去嘉峪关景区很方便', '短评打分': 5}
{'短评内容': '多次入住该酒店，吃了酒店的早餐，比想象中的要好。酒店前台人员服务是非常不错的，客气有礼貌，最后还电话回访我，不错！入住的房间的喷水淋头有点问题，酒店要去检查下', '短评打分': 5}
{'短评内容': '价格太坑爹了。很一般。', '短评打分': 3}
